date,TSS
2015-01-02,33.0442055264
2015-01-05,32.7540895867
2015-01-06,32.2415514267
2015-01-07,32.5800200229
2015-01-08,33.3826741227
2015-01-09,32.7347485241
2015-01-12,32.551008429
2015-01-13,32.7540895867
2015-01-14,32.521996835
2015-01-15,32.1738577074
2015-01-16,33.0055234011
2015-01-20,33.063546589
2015-01-21,32.9765118071
2015-01-22,33.4890499672
2015-01-23,33.7114721876
2015-01-26,33.7114721876
2015-01-27,33.092558183
2015-01-28,35.2200750738
2015-01-29,35.4908499508
2015-01-30,34.204669285
2015-02-02,34.6688547884
2015-02-03,35.3651330436
2015-02-04,34.9493001968
2015-02-05,35.3941446376
2015-02-06,35.2780982617
2015-02-09,34.8816064775
2015-02-10,35.287768793
2015-02-11,35.316780387
2015-02-12,35.7036016399
2015-02-13,35.8680006723
2015-02-17,35.9066827976
2015-02-18,36.0323997048
2015-02-19,36.2838335192
2015-02-20,36.7770306166
2015-02-23,36.6513137094
2015-02-24,36.7867011479
2015-02-25,37.0671465562
2015-02-26,37.1348402755
2015-02-27,36.9414296491
2015-03-02,37.4539678091
2015-03-03,36.9124180551
2015-03-04,36.8640653985
2015-03-05,36.8253832732
2015-03-06,36.2548219252
2015-03-09,36.5836199902
2015-03-10,35.9260238603
2015-03-11,36.1774576746
2015-03-12,36.7867011479
2015-03-13,36.6513137094
2015-03-16,37.1154992128
2015-03-17,37.2895687766
2015-03-18,37.8325266163
2015-03-19,37.5416563451
2015-03-20,37.3283514795
2015-03-23,37.745265535
2015-03-24,37.5804390479
2015-03-25,36.9017417483
2015-03-26,36.7272195855
2015-03-27,36.6011758013
2015-03-30,37.2216990467
2015-03-31,36.9890028297
2015-04-01,36.8047849912
2015-04-02,36.979307154
2015-04-06,36.9890028297
2015-04-07,37.0180898568
2015-04-08,37.3283514795
2015-04-09,37.1053509382
2015-04-10,37.0956552625
2015-04-13,36.8144806669
2015-04-14,36.7369152612
2015-04-15,36.9211330997
2015-04-16,37.2798731009
2015-04-17,36.9502201268
2015-04-20,36.9986985054
2015-04-21,36.9405244511
2015-04-22,37.0956552625
2015-04-23,37.4059168851
2015-04-24,37.2701774252
2015-04-27,37.0665682353
2015-04-28,37.2216990467
2015-04-29,38.9960077014
2015-04-30,38.3560931046
2015-05-01,38.6469633759
2015-05-04,39.0638774314
2015-05-05,38.9863120257
2015-05-06,39.3159649998
2015-05-07,39.4226174326
2015-05-08,39.8589228395
2015-05-11,39.7328790553
2015-05-12,39.8298358124
2015-05-13,39.7522704067
2015-05-14,40.0722277051
2015-05-15,40.1400974351
2015-05-18,40.6345768962
2015-05-19,40.6442725719
2015-05-20,40.5667071663
2015-05-21,40.4115763549
2015-05-22,40.2370541922
2015-05-26,39.5389655411
2015-05-27,40.0722277051
2015-05-28,39.975270948
2015-05-29,39.9461839209
2015-06-01,39.9267925695
2015-06-02,40.043140678
2015-06-03,40.3243152735
2015-06-04,39.8201401367
2015-06-05,40.1788801379
2015-06-08,39.7134877039
2015-06-09,39.6359222982
2015-06-10,40.4697504092
2015-06-11,40.5860985177
2015-06-12,40.3340109492
2015-06-15,39.9074012181
2015-06-16,40.576402842
2015-06-17,40.576402842
2015-06-18,41.247006865
2015-06-19,41.1400989773
2015-06-22,41.4899793371
2015-06-23,41.3344769549
2015-06-24,41.159536775
2015-06-25,41.3053202583
2015-06-26,41.5191360338
2015-06-29,40.576402842
2015-06-30,40.5958406397
2015-07-01,40.8388131118
2015-07-02,40.7707808197
2015-07-06,40.8679698085
2015-07-07,40.9748776962
2015-07-08,40.3528681676
2015-07-09,40.5666839431
2015-07-10,41.1498178761
2015-07-13,41.499698236
2015-07-14,41.9078919891
2015-07-15,41.9759242813
2015-07-16,42.6173716077
2015-07-17,42.7339983943
2015-07-20,43.4629158106
2015-07-21,44.0071741481
2015-07-22,43.6961693838
2015-07-23,43.258818934
2015-07-24,43.4629158106
2015-07-27,42.7048416976
