date,AMT
2015-01-02,75.7500644712
2015-01-05,74.6556519816
2015-01-06,74.4580497265
2015-01-07,75.24085866
2015-01-08,75.9400666395
2015-01-09,75.5524622161
2015-01-12,75.2256584866
2015-01-13,74.3896489459
2015-01-14,73.9184435684
2015-01-15,73.1736350686
2015-01-16,74.0400449562
2015-01-20,73.8196424409
2015-01-21,73.530839145
2015-01-22,75.1116571856
2015-01-23,75.696863864
2015-01-26,77.3384825984
2015-01-27,76.297270716
2015-01-28,75.1496576192
2015-01-29,74.8000536295
2015-01-30,73.6828408797
2015-02-02,74.3668486857
2015-02-03,75.3092594406
2015-02-04,74.3668486857
2015-02-05,75.6892637773
2015-02-06,72.7556302982
2015-02-09,73.4928387114
2015-02-10,73.2420358492
2015-02-11,72.9304322931
2015-02-12,72.9380323798
2015-02-13,73.2648361094
2015-02-17,73.1280345482
2015-02-18,73.1128343747
2015-02-19,72.3984262218
2015-02-20,73.3636372369
2015-02-23,73.9716441756
2015-02-24,71.934820931
2015-02-25,74.3668486857
2015-02-26,75.1496576192
2015-02-27,75.3472598743
2015-03-02,75.5448621294
2015-03-03,74.6936524152
2015-03-04,74.9064548438
2015-03-05,75.4232607416
2015-03-06,73.4244379308
2015-03-09,73.4016376706
2015-03-10,71.8740202372
2015-03-11,71.9196207576
2015-03-12,73.1660349818
2015-03-13,71.623217375
2015-03-16,71.9044205841
2015-03-17,71.5320163342
2015-03-18,72.5884283901
2015-03-19,71.8892204106
2015-03-20,74.245247298
2015-03-23,74.2072468643
2015-03-24,73.8424427011
2015-03-25,72.5580280432
2015-03-26,72.3528257014
2015-03-27,72.991232987
2015-03-30,73.0824340278
2015-03-31,71.5548165944
2015-04-01,73.3104366298
2015-04-02,73.5536394052
2015-04-06,74.5112503336
2015-04-07,73.6220401858
2015-04-08,73.6828408797
2015-04-09,72.7744954881
2015-04-10,72.5684003153
2015-04-13,72.3470388333
2015-04-14,72.1333105059
2015-04-15,72.6447318608
2015-04-16,73.8584034344
2015-04-17,73.354615234
2015-04-20,73.1561532157
2015-04-21,72.4997019243
2015-04-22,73.2172184521
2015-04-23,73.3088163067
2015-04-24,72.759229179
2015-04-27,72.6599981699
2015-04-28,73.0950879793
2015-04-29,71.3776282053
2015-04-30,72.1562099695
2015-05-01,71.3547287417
2015-05-04,72.2401746696
2015-05-05,70.9883373232
2015-05-06,70.8814731595
2015-05-07,71.4692260599
2015-05-08,72.4768024607
2015-05-11,71.484492369
2015-05-12,71.4463265963
2015-05-13,70.9425383959
2015-05-14,72.3699382969
2015-05-15,72.9042591155
2015-05-18,72.6676313244
2015-05-19,72.8584601882
2015-05-20,71.9959137239
2015-05-21,71.6753212328
2015-05-22,72.0188131876
2015-05-26,72.2172752059
2015-05-27,72.6370987062
2015-05-28,72.2096420514
2015-05-29,70.8280410777
2015-06-01,71.927215333
2015-06-02,71.8661500966
2015-06-03,70.7440763776
2015-06-04,72.2630741332
2015-06-05,70.6219459048
2015-06-08,70.8585736959
2015-06-09,70.27845395
2015-06-10,70.7593426867
2015-06-11,71.3089298144
2015-06-12,71.1410004142
2015-06-15,70.7593426867
2015-06-16,71.526298493
2015-06-17,72.1858804864
2015-06-18,73.7658094473
2015-06-19,73.604748728
2015-06-22,73.4666966828
2015-06-23,73.8194963537
2015-06-24,72.9221580604
2015-06-25,72.6613930863
2015-06-26,72.2779151831
2015-06-29,71.280872635
2015-06-30,71.5493071672
2015-07-01,72.1015153477
2015-07-02,72.7917755733
2015-07-06,72.8454624798
2015-07-07,73.3439837538
2015-07-08,72.4619845766
2015-07-09,72.3929585541
2015-07-10,73.1829230345
2015-07-13,73.3976706603
2015-07-14,73.2289403829
2015-07-15,73.5894096118
2015-07-16,75.0236169696
2015-07-17,74.3563654181
2015-07-20,74.4407305568
2015-07-21,74.3563654181
2015-07-22,74.0419135376
2015-07-23,75.1616690147
2015-07-24,74.2336524891
2015-07-27,73.9958961892
2015-07-28,74.1492873504
2015-07-29,73.8731832602
2015-07-30,72.8224538056
2015-07-31,72.9451667346
2015-08-03,73.1369056861
2015-08-04,73.7197920989
2015-08-05,74.1186091182
2015-08-06,75.437773105
2015-08-07,76.4271460951
2015-08-10,77.0713889723
2015-08-11,77.4625364335
2015-08-12,76.6725719531
2015-08-13,76.8873195788
2015-08-14,77.523892898
2015-08-17,77.8076665463
2015-08-18,77.0713889723
2015-08-19,77.0023629498
2015-08-20,75.81358145
2015-08-21,74.1646264666
2015-08-24,70.5139168287
2015-08-25,68.6502142195
2015-08-26,70.1994649481
2015-08-27,71.9941415348
2015-08-28,71.6720200962
2015-08-31,70.7056557803
2015-09-01,69.0490312387
2015-09-02,69.9233608579
2015-09-03,69.8083174869
2015-09-04,68.2744058744
2015-09-08,69.0643703548
2015-09-09,68.0289800164
2015-09-10,67.73753681
2015-09-11,68.4584752679
2015-09-14,68.1286842712
2015-09-15,68.6808924517
2015-09-16,69.4861960483
2015-09-17,70.1917953901
2015-09-18,69.4018309096
2015-09-21,69.6779349999
2015-09-22,68.6449840883
2015-09-23,68.3828920659
2015-09-24,67.8587080212
2015-09-25,68.4831037215
2015-09-28,67.226603732
2015-09-29,67.0724319542
2015-09-30,67.8201650768
2015-10-01,68.1285086325
2015-10-02,69.1768767218
2015-10-05,72.0444717899
2015-10-06,71.9750944898
2015-10-07,72.6457417235
2015-10-08,73.6709840462
2015-10-09,73.185342946
2015-10-12,73.0774227015
2015-10-13,72.2294779233
2015-10-14,71.7361282342
2015-10-15,72.9617938681
2015-10-16,74.1026650242
2015-10-19,74.6114318911
2015-10-20,74.7039349578
2015-10-21,74.0487049019
2015-10-22,76.6773337143
2015-10-23,76.4460760475
2015-10-26,76.7235852477
2015-10-27,76.5231619365
2015-10-28,77.7565361593
2015-10-29,78.5967723486
2015-10-30,78.8049042487
2015-11-02,80.215576016
2015-11-03,79.6143060824
2015-11-04,78.8049042487
2015-11-05,77.7565361593
2015-11-06,75.5672969138
2015-11-09,74.8581067357
2015-11-10,74.8735239134
2015-11-11,75.2512447692
2015-11-12,75.0431128691
2015-11-13,74.2953797465
2015-11-16,75.5827140916
2015-11-17,75.8139717583
2015-11-18,76.8237969033
2015-11-19,76.8006711366
2015-11-20,77.4636097813
2015-11-23,77.0396373923
2015-11-24,76.5154533476
2015-11-25,76.3844073364
2015-11-27,76.839214081
2015-11-30,76.6079564143
2015-12-01,77.987793826
2015-12-02,76.6696251254
2015-12-03,75.4593766693
2015-12-04,75.1972846469
2015-12-07,75.3052048914
2015-12-08,74.6808091911
2015-12-09,73.6478582795
2015-12-10,73.2855546016
2015-12-11,72.2140607455
2015-12-14,72.8692908014
2015-12-15,74.085845316
2015-12-16,75.5503599865
2015-12-17,74.4577855498
2015-12-18,73.3032210741
2015-12-21,74.0471015417
2015-12-22,74.7134944605
2015-12-23,76.3252354736
2015-12-24,76.0462802983
2015-12-28,76.2245016603
2015-12-29,77.0303721668
2015-12-30,76.0152852788
2015-12-31,75.1241784687
