date,DO
2015-01-02,36.565143506808234
2015-01-05,33.38300370121977
2015-01-06,33.324075186301464
2015-01-07,32.68568294135316
2015-01-08,32.36157610930248
2015-01-09,32.803539971189764
2015-01-12,31.605326834517566
2015-01-13,32.48925455829214
2015-01-14,31.664255349435873
2015-01-15,29.817828548662316
2015-01-16,31.084791619405873
2015-01-20,31.14372013432418
2015-01-21,31.58568399621146
2015-01-22,31.359791355691296
2015-01-23,31.53657690044621
2015-01-26,32.22407624115977
2015-01-27,33.66782485665824
2015-01-28,32.27318333692502
2015-01-29,30.181221057325196
2015-01-30,30.966934589569263
2015-02-02,32.27318333692502
2015-02-03,33.30443234799536
2015-02-04,32.28300475607807
2015-02-05,33.225860994770954
2015-02-06,32.99996835425079
2015-02-09,33.78568188649485
2015-02-10,33.38300370121977
2015-02-11,32.92139700102638
2015-02-12,34.22764574838214
2015-02-13,34.58121683789197
2015-02-17,36.29014377052282
2015-02-18,33.57452137470426
2015-02-19,33.909675140629076
2015-02-20,33.6632385480373
2015-02-23,33.14079297174272
2015-02-24,30.35113074360376
2015-02-25,29.769540385087158
2015-02-26,28.635932059164965
2015-02-27,29.996262050271596
2015-03-02,30.222983715456035
2015-03-03,29.89768741323488
2015-03-04,29.996262050271596
2015-03-05,30.27227103397439
2015-03-06,29.089375389533842
2015-03-09,27.74876032583455
2015-03-10,26.437717653246278
2015-03-11,27.275602068058333
2015-03-12,27.147455039910607
2015-03-13,26.329285552505894
2015-03-16,26.93059083842984
2015-03-17,26.427860189542603
2015-03-18,27.59104090657581
2015-03-19,26.61515199991236
2015-03-20,27.285459531762005
2015-03-23,27.40374909620606
2015-03-24,26.112421351025123
2015-03-25,26.506719899171976
2015-03-26,26.358857943616904
2015-03-27,26.240568379172853
2015-03-30,26.30957062509855
2015-03-31,26.408145262135264
2015-04-01,26.565864681394004
2015-04-02,27.058737866577566
2015-04-06,28.576787276942934
2015-04-07,29.375241836940308
2015-04-08,28.813366405831047
2015-04-09,30.02583444138261
2015-04-10,29.187950026570554
2015-04-13,28.783794014720034
2015-04-14,30.390560598418443
2015-04-15,31.021438275453406
2015-04-16,30.81443153767631
2015-04-17,30.006119513975268
2015-04-20,30.42013298952946
2015-04-21,29.661108284346774
2015-04-22,29.64139335693943
2015-04-23,29.966689659160583
2015-04-24,29.39495676434765
2015-04-27,29.365384373236637
2015-04-28,29.56253364731006
2015-04-29,31.149585303601132
2015-04-30,32.992931016187654
2015-05-01,32.992931016187654
2015-05-04,32.62820485915182
2015-05-05,34.09696695099884
2015-05-06,34.3138311524796
2015-05-07,32.7366369598922
2015-05-08,33.3182273184088
2015-05-11,32.68734964137384
2015-05-12,33.44637434655653
2015-05-13,34.111753146554335
2015-05-14,33.11253995983682
2015-05-15,32.76627796443967
2015-05-18,33.12243315970532
2015-05-19,31.470268781667446
2015-05-20,31.420802782324998
2015-05-21,32.15289957259327
2015-05-22,32.18257917219874
2015-05-26,30.817317590347088
2015-05-27,30.71838559166219
2015-05-28,30.31276439705409
2015-05-29,30.01596840099938
2015-06-01,29.768638404287124
2015-06-02,31.015181587716896
2015-06-03,29.956609201788442
2015-06-04,29.402590009152984
2015-06-05,29.917036402314476
2015-06-08,29.55098800718034
2015-06-09,29.244298811257142
2015-06-10,29.956609201788442
2015-06-11,28.70017281849018
2015-06-12,28.165940025591706
2015-06-15,27.948289628484922
2015-06-16,28.047221627169826
2015-06-17,27.79989163045757
2015-06-18,27.146940439137214
2015-06-19,26.741319244529112
2015-06-22,27.146940439137214
2015-06-23,27.10736763966325
2015-06-24,26.69185324518666
2015-06-25,25.979542854655367
2015-06-26,26.60281444637025
2015-06-29,25.544242060441793
2015-06-30,25.534348860573303
2015-07-01,25.069368466754263
2015-07-02,25.178193665307653
2015-07-06,24.57470847332975
2015-07-07,24.9308636685954
2015-07-08,24.436203675170887
2015-07-09,24.861611269515965
2015-07-10,24.060262080168258
2015-07-13,24.693426871751633
2015-07-14,24.980329667937852
2015-07-15,23.73378648450808
2015-07-16,24.12951447924769
2015-07-17,22.9027576955549
2015-07-20,22.54660250028925
2015-07-21,22.596068499631702
2015-07-22,21.735360111073053
2015-07-23,22.0915153063387
2015-07-24,21.1813409184376
2015-07-27,21.26048651738552
2015-07-28,22.02226290725927
2015-07-29,22.80382569687
2015-07-30,22.07172890660172
2015-07-31,21.71557371133607
2015-08-03,20.993370120936284
2015-08-04,20.943904121593835
2015-08-05,20.726253724487048
2015-08-06,22.08162210647021
2015-08-07,21.765039710678522
2015-08-10,23.644747685691666
2015-08-11,23.229233291215078
2015-08-12,23.8673446827327
2015-08-13,23.022042891885917
2015-08-14,21.977846562016364
2015-08-17,22.226464735794828
2015-08-18,22.485027636524432
2015-08-19,22.18668582799027
2015-08-20,21.68944948043334
2015-08-21,21.450776033606015
2015-08-24,20.97342913995136
2015-08-25,21.381162944948045
2015-08-26,21.599946937873092
2015-08-27,22.902706168472253
2015-08-28,24.15574176431572
2015-08-31,23.57894760114968
2015-09-01,22.58447490603582
2015-09-02,22.097183285430024
2015-09-03,22.77342471810745
2015-09-04,21.868454565553833
2015-09-08,22.32591200530621
2015-09-09,22.107128012381164
2015-09-10,22.355746186159628
2015-09-11,21.868454565553833
2015-09-14,21.967901835065224
2015-09-15,22.19663055494141
2015-09-16,22.85298253371656
2015-09-17,22.156851647136858
2015-09-18,20.068458987397744
2015-09-21,19.988901171788637
2015-09-22,19.89939862922839
2015-09-23,19.59111209374309
2015-09-24,19.24304665045324
2015-09-25,18.238629228388238
2015-09-28,17.293880168030068
2015-09-29,17.701613973026753
2015-09-30,17.20437762546982
2015-10-01,16.717086004864026
2015-10-02,18.08945832412116
2015-10-05,18.517081583020122
2015-10-06,19.30271501216007
2015-10-07,19.839730267521556
2015-10-08,20.058514260446607
2015-10-09,20.207685164713688
2015-10-12,19.660725182401062
2015-10-13,19.282825558257795
2015-10-14,19.45188591642715
2015-10-15,19.76017245191245
2015-10-16,20.207685164713688
2015-10-19,19.929232810081803
2015-10-20,20.426469157638735
2015-10-21,20.277298253371658
2015-10-22,20.346911342029628
2015-10-23,20.39663497678532
2015-10-26,19.551333185938535
2015-10-27,19.213212469599824
2015-10-28,19.799951359717003
2015-10-29,19.412107008622595
2015-10-30,19.770117178863586
2015-11-02,21.977846562016364
2015-11-03,23.370108335175768
2015-11-04,22.91265089542339
2015-11-05,23.08171125359275
2015-11-06,23.051877072739334
2015-11-09,23.031987618837057
2015-11-10,22.49
2015-11-11,21.94
2015-11-12,21.27
2015-11-13,21.63
2015-11-16,21.99
2015-11-17,21.77
2015-11-18,22.37
2015-11-19,21.88
2015-11-20,22.04
2015-11-23,22.39
2015-11-24,23.25
2015-11-25,23.22
2015-11-27,22.38
2015-11-30,22.63
2015-12-01,22.83
2015-12-02,21.88
2015-12-03,22.54
2015-12-04,21.75
2015-12-07,20.95
2015-12-08,20.21
2015-12-09,20.14
2015-12-10,20.49
2015-12-11,20.15
2015-12-14,20.87
2015-12-15,21.85
2015-12-16,21.99
2015-12-17,21.17
2015-12-18,20.47
2015-12-21,20.3
2015-12-22,21.43
2015-12-23,22.29
2015-12-24,22.07
2015-12-28,21.04
2015-12-29,21.13
2015-12-30,20.85
2015-12-31,21.1
