date,LVLT
2015-01-02,49.35
2015-01-05,48.57
2015-01-06,47.02
2015-01-07,47.02
2015-01-08,47.24
2015-01-09,47.21
2015-01-12,47.18
2015-01-13,47.44
2015-01-14,47.88
2015-01-15,47.3
2015-01-16,47.8
2015-01-20,48.33
2015-01-21,49.52
2015-01-22,50.09
2015-01-23,49.94
2015-01-26,50.04
2015-01-27,50.18
2015-01-28,49.77
2015-01-29,50.05
2015-01-30,49.74
2015-02-02,50.19
2015-02-03,51.39
2015-02-04,52.5
2015-02-05,53.38
2015-02-06,52.42
2015-02-09,52.83
2015-02-10,53.55
2015-02-11,53.69
2015-02-12,54.01
2015-02-13,53.49
2015-02-17,53.47
2015-02-18,53.31
2015-02-19,52.86
2015-02-20,54.08
2015-02-23,53.86
2015-02-24,53.91
2015-02-25,53.87
2015-02-26,53.39
2015-02-27,53.86
2015-03-02,54.0
2015-03-03,54.9
2015-03-04,54.7
2015-03-05,55.46
2015-03-06,54.58
2015-03-09,54.47
2015-03-10,53.48
2015-03-11,53.54
2015-03-12,54.82
2015-03-13,54.41
2015-03-16,54.55
2015-03-17,54.42
2015-03-18,55.31
2015-03-19,54.67
2015-03-20,55.4
2015-03-23,55.28
2015-03-24,54.99
2015-03-25,53.51
2015-03-26,53.65
2015-03-27,53.95
2015-03-30,54.47
2015-03-31,53.84
2015-04-01,53.92
2015-04-02,54.23
2015-04-06,54.06
2015-04-07,54.05
2015-04-08,54.22
2015-04-09,53.63
2015-04-10,53.68
2015-04-13,53.0
2015-04-14,52.82
2015-04-15,53.14
2015-04-16,53.13
2015-04-17,52.12
2015-04-20,53.45
2015-04-21,54.28
2015-04-22,54.24
2015-04-23,54.62
2015-04-24,54.67
2015-04-27,54.12
2015-04-28,54.66
2015-04-29,56.68
2015-04-30,55.94
2015-05-01,55.71
2015-05-04,56.9
2015-05-05,55.79
2015-05-06,55.77
2015-05-07,55.47
2015-05-08,56.42
2015-05-11,56.53
2015-05-12,55.81
2015-05-13,54.92
2015-05-14,55.28
2015-05-15,55.48
2015-05-18,56.68
2015-05-19,55.78
2015-05-20,55.47
2015-05-21,55.28
2015-05-22,55.33
2015-05-26,54.75
2015-05-27,55.92
2015-05-28,55.55
2015-05-29,55.48
2015-06-01,55.49
2015-06-02,55.65
2015-06-03,55.98
2015-06-04,55.07
2015-06-05,54.78
2015-06-08,54.49
2015-06-09,54.59
2015-06-10,55.76
2015-06-11,55.55
2015-06-12,54.75
2015-06-15,54.31
2015-06-16,54.77
2015-06-17,54.75
2015-06-18,55.26
2015-06-19,54.83
2015-06-22,55.27
2015-06-23,55.54
2015-06-24,54.45
2015-06-25,54.32
2015-06-26,53.79
2015-06-29,52.11
2015-06-30,52.67
2015-07-01,53.13
2015-07-02,52.43
2015-07-06,51.74
2015-07-07,52.2
2015-07-08,50.91
2015-07-09,50.94
2015-07-10,51.92
2015-07-13,52.4
2015-07-14,52.61
2015-07-15,51.93
2015-07-16,53.0
2015-07-17,53.04
2015-07-20,54.16
2015-07-21,53.1
2015-07-22,52.44
2015-07-23,52.6
2015-07-24,52.24
2015-07-27,52.1
2015-07-28,52.5
2015-07-29,49.39
2015-07-30,50.06
2015-07-31,50.5
2015-08-03,50.55
2015-08-04,50.07
2015-08-05,50.32
2015-08-06,49.08
2015-08-07,48.72
2015-08-10,49.14
2015-08-11,48.93
2015-08-12,48.12
2015-08-13,48.18
2015-08-14,48.58
2015-08-17,49.47
2015-08-18,49.11
2015-08-19,49.02
2015-08-20,47.33
2015-08-21,46.11
2015-08-24,44.42
2015-08-25,43.15
2015-08-26,44.53
2015-08-27,45.73
2015-08-28,45.37
2015-08-31,44.73
2015-09-01,43.25
2015-09-02,45.12
2015-09-03,45.63
2015-09-04,44.96
2015-09-08,45.88
2015-09-09,45.44
2015-09-10,45.43
2015-09-11,45.17
2015-09-14,44.96
2015-09-15,45.55
2015-09-16,44.44
2015-09-17,45.51
2015-09-18,46.36
2015-09-21,46.32
2015-09-22,45.0
2015-09-23,44.18
2015-09-24,43.72
2015-09-25,43.53
2015-09-28,41.57
2015-09-29,41.64
2015-09-30,43.69
2015-10-01,43.0
2015-10-02,43.18
2015-10-05,44.77
2015-10-06,44.08
2015-10-07,44.33
2015-10-08,44.98
2015-10-09,44.98
2015-10-12,45.21
2015-10-13,45.38
2015-10-14,45.51
2015-10-15,46.96
2015-10-16,47.38
2015-10-19,47.44
2015-10-20,48.09
2015-10-21,47.36
2015-10-22,48.58
2015-10-23,48.96
2015-10-26,48.37
2015-10-27,47.49
2015-10-28,51.89
2015-10-29,50.93
2015-10-30,50.95
2015-11-02,52.1
2015-11-03,51.31
2015-11-04,51.29
2015-11-05,50.83
2015-11-06,50.86
2015-11-09,50.57
2015-11-10,50.79
2015-11-11,50.74
2015-11-12,50.27
2015-11-13,49.84
2015-11-16,50.93
2015-11-17,50.76
2015-11-18,50.68
2015-11-19,50.71
2015-11-20,50.94
2015-11-23,50.76
2015-11-24,50.9
2015-11-25,50.84
2015-11-27,50.74
2015-11-30,50.83
2015-12-01,52.85
2015-12-02,51.95
2015-12-03,51.41
2015-12-04,51.79
2015-12-07,51.48
2015-12-08,52.79
2015-12-09,52.64
2015-12-10,53.21
2015-12-11,51.52
2015-12-14,50.47
2015-12-15,51.06
2015-12-16,52.67
2015-12-17,52.11
2015-12-18,50.85
2015-12-21,51.9
2015-12-22,52.69
2015-12-23,54.29
2015-12-24,54.4
2015-12-28,53.93
2015-12-29,54.45
2015-12-30,54.2
2015-12-31,54.36
