Date,TMO
2015-01-02,123.79856872558594
2015-01-05,122.09793853759766
2015-01-06,120.95773315429688
2015-01-07,124.58123016357422
2015-01-08,125.87601470947266
2015-01-09,125.37355041503906
2015-01-12,124.16574096679688
2015-01-13,124.0111312866211
2015-01-14,121.9433364868164
2015-01-15,119.94316101074219
2015-01-16,121.06402587890625
2015-01-20,121.0157241821289
2015-01-21,121.13165283203125
2015-01-22,122.71634674072266
2015-01-23,120.65819549560547
2015-01-26,121.4022216796875
2015-01-27,120.6678466796875
2015-01-28,120.1460952758789
2015-01-29,123.64396667480469
2015-01-30,120.9867172241211
2015-02-02,121.64380645751953
2015-02-03,123.03522491455078
2015-02-04,122.08826446533203
2015-02-05,122.75499725341797
2015-02-06,120.5905532836914
2015-02-09,119.23776245117188
2015-02-10,120.81280517578125
2015-02-11,121.18965911865234
2015-02-12,122.5521011352539
2015-02-13,123.30579376220703
2015-02-17,123.71162414550781
2015-02-18,123.68264770507812
2015-02-19,123.47968292236328
2015-02-20,126.74569702148438
2015-02-23,126.56209564208984
2015-02-24,127.40274810791016
2015-02-25,126.6490478515625
2015-02-26,125.75047302246094
2015-02-27,125.61520385742188
2015-03-02,126.91967010498047
2015-03-03,125.354248046875
2015-03-04,124.5426254272461
2015-03-05,127.02591705322266
2015-03-06,124.17540740966797
2015-03-09,123.77924346923828
2015-03-10,122.74533081054688
2015-03-11,123.6246566772461
2015-03-12,124.40827178955078
2015-03-13,123.26668548583984
2015-03-16,128.63584899902344
2015-03-17,128.0359649658203
2015-03-18,129.52581787109375
2015-03-19,130.3674774169922
2015-03-20,132.176513671875
2015-03-23,133.37600708007812
2015-03-24,131.22840881347656
2015-03-25,129.3516845703125
2015-03-26,128.73255920410156
2015-03-27,129.3323211669922
2015-03-30,131.1510467529297
2015-03-31,129.96112060546875
2015-04-01,127.69745635986328
2015-04-02,128.77125549316406
2015-04-06,129.1485137939453
2015-04-07,128.68417358398438
2015-04-08,128.49066162109375
2015-04-09,129.21624755859375
2015-04-10,129.37098693847656
2015-04-13,128.39398193359375
2015-04-14,128.35523986816406
2015-04-15,129.26458740234375
2015-04-16,128.1714630126953
2015-04-17,127.79415893554688
2015-04-20,129.6612091064453
2015-04-21,130.05792236328125
2015-04-22,126.43011474609375
2015-04-23,125.32723999023438
2015-04-24,125.78195190429688
2015-04-27,123.1216049194336
2015-04-28,123.46985626220703
2015-04-29,122.98613739013672
2015-04-30,121.58340454101562
2015-05-01,123.49890899658203
2015-05-04,123.61494445800781
2015-05-05,122.52180480957031
2015-05-06,123.49890899658203
2015-05-07,123.58594512939453
2015-05-08,125.74327087402344
2015-05-11,125.63680267333984
2015-05-12,125.38533782958984
2015-05-13,125.61749267578125
2015-05-14,126.82674407958984
2015-05-15,125.91742706298828
2015-05-18,125.73358154296875
2015-05-19,126.29472351074219
2015-05-20,127.71678924560547
2015-05-21,128.510009765625
2015-05-22,127.84249114990234
2015-05-26,125.56909942626953
2015-05-27,126.7203598022461
2015-05-28,125.88837432861328
2015-05-29,125.40470123291016
2015-06-01,125.24021911621094
2015-06-02,125.34661865234375
2015-06-03,125.74327087402344
2015-06-04,125.27889251708984
2015-06-05,125.34661865234375
2015-06-08,124.08901977539062
2015-06-09,124.37919616699219
2015-06-10,125.93673706054688
2015-06-11,126.41130828857422
2015-06-12,125.92705535888672
2015-06-15,125.462158203125
2015-06-16,124.74547576904297
2015-06-17,124.59049224853516
2015-06-18,125.59774017333984
2015-06-19,125.87862396240234
2015-06-22,125.99484252929688
2015-06-23,125.4718246459961
2015-06-24,126.16914367675781
2015-06-25,127.38947296142578
2015-06-26,128.0481719970703
2015-06-29,125.37503814697266
2015-06-30,125.67523193359375
2015-07-01,126.70188903808594
2015-07-02,126.82772827148438
2015-07-06,126.28540802001953
2015-07-07,126.82772827148438
2015-07-08,124.16436004638672
2015-07-09,123.79633331298828
2015-07-10,126.517822265625
2015-07-13,130.06259155273438
2015-07-14,132.29017639160156
2015-07-15,130.99237060546875
2015-07-16,132.35806274414062
2015-07-17,131.47669982910156
2015-07-20,131.88343811035156
2015-07-21,132.1740264892578
2015-07-22,135.65101623535156
2015-07-23,136.17404174804688
2015-07-24,133.59771728515625
2015-07-27,132.70668029785156
2015-07-28,134.285400390625
2015-07-29,135.22486877441406
2015-07-30,134.74063110351562
2015-07-31,135.13763427734375
2015-08-03,134.08200073242188
2015-08-04,133.43310546875
2015-08-05,134.3241729736328
2015-08-06,132.60983276367188
2015-08-07,131.73818969726562
2015-08-10,132.8616180419922
2015-08-11,130.34353637695312
2015-08-12,130.4694061279297
2015-08-13,129.51068115234375
2015-08-14,130.76968383789062
2015-08-17,132.01904296875
2015-08-18,131.0602264404297
2015-08-19,129.5202178955078
2015-08-20,128.17401123046875
2015-08-21,123.93189239501953
2015-08-24,117.83990478515625
2015-08-25,116.2708969116211
2015-08-26,121.31687927246094
2015-08-27,123.88347625732422
2015-08-28,122.53723907470703
2015-08-31,121.4234390258789
2015-09-01,117.62686157226562
2015-09-02,118.91496276855469
2015-09-03,118.90526580810547
2015-09-04,117.35565185546875
2015-09-08,119.79633331298828
2015-09-09,117.79146575927734
2015-09-10,118.18856048583984
2015-09-11,119.17769622802734
2015-09-14,118.46012115478516
2015-09-15,121.30136108398438
2015-09-16,122.45530700683594
2015-09-17,124.34625244140625
2015-09-18,121.97044372558594
2015-09-21,122.5038070678711
2015-09-22,121.45653533935547
2015-09-23,120.84556579589844
2015-09-24,120.24435424804688
2015-09-25,118.93527221679688
2015-09-28,114.55216979980469
2015-09-29,116.21036529541016
2015-09-30,118.57646179199219
2015-10-01,118.40190887451172
2015-10-02,120.71953582763672
2015-10-05,122.71714782714844
2015-10-06,120.3316421508789
2015-10-07,121.40800476074219
2015-10-08,122.03833770751953
2015-10-09,122.68805694580078
2015-10-12,122.08683013916016
2015-10-13,121.6795654296875
2015-10-14,120.21527099609375
2015-10-15,121.66985321044922
2015-10-16,122.57171630859375
2015-10-19,125.12202453613281
2015-10-20,124.72443389892578
2015-10-21,123.26016235351562
2015-10-22,120.24435424804688
2015-10-23,122.6395492553711
2015-10-26,123.1825942993164
2015-10-27,122.94987487792969
2015-10-28,125.33533477783203
2015-10-29,127.40084838867188
2015-10-30,126.81902313232422
2015-11-02,130.46514892578125
2015-11-03,130.19363403320312
2015-11-04,131.15367126464844
2015-11-05,130.8627166748047
2015-11-06,130.23243713378906
2015-11-09,130.23243713378906
2015-11-10,131.91001892089844
2015-11-11,130.77545166015625
2015-11-12,128.42877197265625
2015-11-13,128.32211303710938
2015-11-16,131.43478393554688
2015-11-17,131.33782958984375
2015-11-18,133.5585174560547
2015-11-19,133.23854064941406
2015-11-20,133.66517639160156
2015-11-23,133.43243408203125
2015-11-24,133.78158569335938
2015-11-25,134.4603729248047
2015-11-27,135.72097778320312
2015-11-30,134.20826721191406
2015-12-01,134.15977478027344
2015-12-02,132.62759399414062
2015-12-03,128.5548095703125
2015-12-04,132.91856384277344
2015-12-07,131.4251708984375
2015-12-08,131.92941284179688
2015-12-09,130.31968688964844
2015-12-10,131.03724670410156
2015-12-11,130.28005981445312
2015-12-14,131.4547119140625
2015-12-15,133.47398376464844
2015-12-16,136.34751892089844
2015-12-17,134.1243438720703
2015-12-18,130.58103942871094
2015-12-21,133.5321807861328
2015-12-22,135.4543914794922
2015-12-23,136.90086364746094
2015-12-24,137.19212341308594
2015-12-28,136.59022521972656
2015-12-29,138.85214233398438
2015-12-30,138.6870880126953
2015-12-31,137.70657348632812
