Date,MCO
2015-01-02,85.5462417602539
2015-01-05,83.86902618408203
2015-01-06,82.98578643798828
2015-01-07,84.25263214111328
2015-01-08,85.0733871459961
2015-01-09,83.69949340820312
2015-01-12,82.97689819335938
2015-01-13,84.29722595214844
2015-01-14,83.628173828125
2015-01-15,82.673583984375
2015-01-16,83.97607421875
2015-01-20,84.02069091796875
2015-01-21,82.71820068359375
2015-01-22,84.18126678466797
2015-01-23,83.663818359375
2015-01-26,84.06531524658203
2015-01-27,83.46758270263672
2015-01-28,80.8447036743164
2015-01-29,82.38809204101562
2015-01-30,81.47811889648438
2015-02-02,79.6849365234375
2015-02-03,82.69143676757812
2015-02-04,82.27214813232422
2015-02-05,83.20885467529297
2015-02-06,87.46430206298828
2015-02-09,87.33048248291016
2015-02-10,88.18695068359375
2015-02-11,86.80416870117188
2015-02-12,87.61595916748047
2015-02-13,87.62488555908203
2015-02-17,87.50000762939453
2015-02-18,87.93867492675781
2015-02-19,86.92704010009766
2015-02-20,86.96285247802734
2015-02-23,86.63162994384766
2015-02-24,86.99867248535156
2015-02-25,87.33882904052734
2015-02-26,86.72112274169922
2015-02-27,86.7837905883789
2015-03-02,86.63162994384766
2015-03-03,86.06761932373047
2015-03-04,85.1097183227539
2015-03-05,86.0497055053711
2015-03-06,84.65314483642578
2015-03-09,86.32722473144531
2015-03-10,85.2439956665039
2015-03-11,85.9422836303711
2015-03-12,88.00135040283203
2015-03-13,86.9449462890625
2015-03-16,87.49104309082031
2015-03-17,90.14092254638672
2015-03-18,92.09253692626953
2015-03-19,91.73445129394531
2015-03-20,93.33689880371094
2015-03-23,92.67442321777344
2015-03-24,92.46852111816406
2015-03-25,91.04510498046875
2015-03-26,91.39424133300781
2015-03-27,91.7523193359375
2015-03-30,93.2115707397461
2015-03-31,92.92510223388672
2015-04-01,93.4891128540039
2015-04-02,93.7308120727539
2015-04-06,93.91880798339844
2015-04-07,93.62338256835938
2015-04-08,94.2858657836914
2015-04-09,94.76032257080078
2015-04-10,94.65289306640625
2015-04-13,94.3753662109375
2015-04-14,93.91880798339844
2015-04-15,94.61709594726562
