date,ALLE
2015-01-02,48.348747529
2015-01-05,48.2521378609
2015-01-06,48.173093587
2015-01-07,48.8317958695
2015-01-08,49.4904981519
2015-01-09,49.0777113882
2015-01-12,48.2960513464
2015-01-13,48.3926610145
2015-01-14,48.5946630478
2015-01-15,47.2509103917
2015-01-16,46.8732544164
2015-01-20,46.3638579847
2015-01-21,46.478033047
2015-01-22,47.7427414292
2015-01-23,47.8481337944
2015-01-26,47.3475200598
2015-01-27,47.2509103917
2015-01-28,47.7339587321
2015-01-29,48.1203974044
2015-01-30,47.4353470307
2015-02-02,47.8569164915
2015-02-03,48.348747529
2015-02-04,48.8581439608
2015-02-05,50.0613734633
2015-02-06,50.5444218037
2015-02-09,49.9823291894
2015-02-10,49.9559810981
2015-02-11,49.8154579445
2015-02-12,50.7288584428
2015-02-13,51.5193011817
2015-02-17,51.4314742107
2015-02-18,49.1831037534
2015-02-19,50.6059006834
2015-02-20,51.4666049991
2015-02-23,51.2382548745
2015-02-24,51.2909510571
2015-02-25,51.4226915136
2015-02-26,51.194341389
2015-02-27,50.7025103515
2015-03-02,51.6598243353
2015-03-03,51.3787780281
2015-03-04,51.3348645426
2015-03-05,51.0362528413
2015-03-06,50.4565948327
2015-03-09,50.9308604761
2015-03-10,50.5971179863
2015-03-11,50.8605988993
2015-03-12,51.2909510571
2015-03-13,51.1679932977
2015-03-16,51.678265583
2015-03-17,51.3263536621
2015-03-18,52.6460233655
2015-03-19,52.7955859319
2015-03-20,53.7897371084
2015-03-23,53.5785899559
2015-03-24,53.5785899559
2015-03-25,53.0595198725
2015-03-26,53.235475833
2015-03-27,53.8689172906
2015-03-30,54.4671675561
2015-03-31,53.8161305025
2015-04-01,53.7369503203
2015-04-02,54.0624688471
2015-04-06,54.2384248075
2015-04-07,54.1680424233
2015-04-08,54.2736159996
2015-04-09,54.0536710491
2015-04-10,53.8777150886
2015-04-13,53.0331264785
2015-04-14,52.7603947398
2015-04-15,53.2178802369
2015-04-16,52.9275529022
2015-04-17,51.9949863118
2015-04-20,52.1797400703
2015-04-21,52.6196299714
2015-04-22,53.1035088626
2015-04-23,52.5580453853
2015-04-24,53.631376744
2015-04-27,53.3058582172
2015-04-28,53.4994097737
2015-04-29,53.2706670251
2015-04-30,53.7985349064
2015-05-01,54.0624688471
2015-05-04,54.7662926889
