Date,URBN
2015-01-02,35.099998474121094
2015-01-05,35.099998474121094
2015-01-06,34.47999954223633
2015-01-07,35.380001068115234
2015-01-08,36.689998626708984
2015-01-09,36.439998626708984
2015-01-12,36.41999816894531
2015-01-13,34.5099983215332
2015-01-14,33.849998474121094
2015-01-15,32.9900016784668
2015-01-16,33.31999969482422
2015-01-20,33.56999969482422
2015-01-21,33.88999938964844
2015-01-22,34.630001068115234
2015-01-23,34.79999923706055
2015-01-26,35.36000061035156
2015-01-27,35.65999984741211
2015-01-28,35.40999984741211
2015-01-29,35.38999938964844
2015-01-30,34.86000061035156
2015-02-02,35.13999938964844
2015-02-03,36.06999969482422
2015-02-04,36.029998779296875
2015-02-05,36.349998474121094
2015-02-06,36.66999816894531
2015-02-09,36.5099983215332
2015-02-10,37.25
2015-02-11,37.65999984741211
2015-02-12,38.20000076293945
2015-02-13,38.470001220703125
2015-02-17,38.2599983215332
2015-02-18,38.04999923706055
2015-02-19,37.900001525878906
2015-02-20,38.34000015258789
2015-02-23,38.540000915527344
2015-02-24,38.29999923706055
2015-02-25,38.83000183105469
2015-02-26,38.349998474121094
2015-02-27,38.959999084472656
2015-03-02,39.02000045776367
2015-03-03,38.84000015258789
2015-03-04,38.84000015258789
2015-03-05,38.7400016784668
2015-03-06,38.88999938964844
2015-03-09,39.5099983215332
2015-03-10,44.060001373291016
2015-03-11,44.33000183105469
2015-03-12,44.52000045776367
2015-03-13,44.83000183105469
2015-03-16,44.52000045776367
2015-03-17,44.34000015258789
2015-03-18,45.099998474121094
2015-03-19,46.70000076293945
2015-03-20,47.0099983215332
2015-03-23,46.970001220703125
2015-03-24,46.18000030517578
2015-03-25,45.65999984741211
2015-03-26,45.459999084472656
2015-03-27,45.470001220703125
2015-03-30,45.779998779296875
2015-03-31,45.650001525878906
2015-04-01,44.75
2015-04-02,43.970001220703125
2015-04-06,44.13999938964844
2015-04-07,43.810001373291016
2015-04-08,43.52000045776367
2015-04-09,43.52000045776367
2015-04-10,43.849998474121094
2015-04-13,43.959999084472656
2015-04-14,43.869998931884766
2015-04-15,43.40999984741211
2015-04-16,43.130001068115234
