Date,USB
2015-01-02,30.177587509155273
2015-01-05,29.4505672454834
2015-01-06,29.06014060974121
2015-01-07,29.315929412841797
2015-01-08,29.531354904174805
2015-01-09,28.918781280517578
2015-01-12,28.649517059326172
2015-01-13,28.339860916137695
2015-01-14,27.828269958496094
2015-01-15,27.558998107910156
2015-01-16,27.949440002441406
2015-01-20,27.740760803222656
2015-01-21,28.407176971435547
2015-01-22,29.235158920288086
2015-01-23,29.161117553710938
2015-01-26,29.302478790283203
2015-01-27,28.93223762512207
2015-01-28,28.339860916137695
2015-01-29,28.6562442779541
2015-01-30,28.21196174621582
2015-02-02,28.76395034790039
2015-02-03,29.13418197631836
2015-02-04,29.33614158630371
2015-02-05,29.618864059448242
2015-02-06,29.89485740661621
2015-02-09,29.733299255371094
2015-02-10,29.96890640258789
2015-02-11,29.800622940063477
2015-02-12,30.372798919677734
2015-02-13,30.339134216308594
2015-02-17,30.339134216308594
2015-02-18,29.97562599182129
2015-02-19,29.83427619934082
2015-02-20,30.03622055053711
2015-02-23,29.941972732543945
2015-02-24,30.103527069091797
2015-02-25,30.18431282043457
2015-02-26,30.244901657104492
2015-02-27,30.029481887817383
2015-03-02,30.21123695373535
2015-03-03,30.12373161315918
2015-03-04,29.89485740661621
2015-03-05,30.009286880493164
2015-03-06,30.06987953186035
2015-03-09,30.21796989440918
2015-03-10,29.42363929748535
2015-03-11,29.4505672454834
2015-03-12,29.93524169921875
2015-03-13,29.814075469970703
2015-03-16,30.271827697753906
2015-03-17,30.258358001708984
2015-03-18,30.191038131713867
2015-03-19,29.915054321289062
2015-03-20,30.19777488708496
2015-03-23,30.0967960357666
2015-03-24,29.75349998474121
2015-03-25,29.228429794311523
2015-03-26,29.113988876342773
2015-03-27,29.015836715698242
2015-03-30,29.645429611206055
2015-03-31,29.56420135498047
2015-04-01,29.44234275817871
2015-04-02,29.591266632080078
2015-04-06,29.32724952697754
2015-04-07,29.347551345825195
2015-04-08,29.40171241760254
2015-04-09,29.49648666381836
2015-04-10,29.618349075317383
2015-04-13,29.848522186279297
2015-04-14,29.46941566467285
2015-04-15,29.40171241760254
2015-04-16,29.06999397277832
2015-04-17,28.73148536682129
2015-04-20,28.948122024536133
2015-04-21,28.772109985351562
2015-04-22,28.995527267456055
2015-04-23,28.988740921020508
2015-04-24,28.934593200683594
2015-04-27,28.812734603881836
2015-04-28,29.022602081298828
2015-04-29,29.097064971923828
2015-04-30,29.022602081298828
2015-05-01,29.04966926574707
2015-05-04,29.4761905670166
2015-05-05,29.27985191345215
2015-05-06,29.178302764892578
2015-05-07,29.178302764892578
2015-05-08,29.692827224731445
2015-05-11,29.618349075317383
2015-05-12,29.71990203857422
2015-05-13,29.88237953186035
2015-05-14,30.04485321044922
2015-05-15,29.74020767211914
2015-05-18,29.923006057739258
2015-05-19,30.25472068786621
2015-05-20,29.848522186279297
2015-05-21,29.692827224731445
2015-05-22,29.49648666381836
2015-05-26,29.361103057861328
2015-05-27,29.692827224731445
2015-05-28,29.584503173828125
2015-05-29,29.18506622314453
2015-06-01,29.090293884277344
2015-06-02,29.19862174987793
2015-06-03,29.767288208007812
2015-06-04,29.44234275817871
2015-06-05,29.780838012695312
2015-06-08,29.557422637939453
2015-06-09,29.834999084472656
2015-06-10,30.335962295532227
2015-06-11,30.363037109375
2015-06-12,30.315654754638672
2015-06-15,30.058399200439453
2015-06-16,30.187026977539062
2015-06-17,30.22087287902832
2015-06-18,30.315654754638672
2015-06-19,30.22087287902832
