date,AES
2015-01-02,8.9117716237
2015-01-05,8.6580788548
2015-01-06,8.4629305711
2015-01-07,8.4759404567
2015-01-08,8.6060393125
2015-01-09,8.3913762004
2015-01-12,8.3783663148
2015-01-13,8.4694355139
2015-01-14,8.5474948274
2015-01-15,8.5214750562
2015-01-16,8.6971085115
2015-01-20,8.5149701134
2015-01-21,8.5865244841
2015-01-22,8.404386086
2015-01-23,8.248267459
2015-01-26,8.2807921729
2015-01-27,8.2807921729
2015-01-28,8.0140895185
2015-01-29,8.092148832
2015-01-30,8.0140895185
2015-02-02,8.1059039647
2015-02-03,8.1846020614
2015-02-04,8.2108347604
2015-02-05,8.3092073813
2015-02-06,7.9157168976
2015-02-09,7.7714370535
2015-02-10,7.9747404701
2015-02-11,7.8239024514
2015-02-12,7.7779952283
2015-02-13,7.7779952283
2015-02-17,7.6337153842
2015-02-18,7.7583207041
2015-02-19,7.7714370535
2015-02-20,7.7976697524
2015-02-23,7.8173442766
2015-02-24,7.9485077712
2015-02-25,7.8698096745
2015-02-26,8.2829746824
2015-02-27,8.5059526231
2015-03-02,8.2960910318
2015-03-03,8.5256271473
2015-03-04,8.3616727791
2015-03-05,8.3288819055
2015-03-06,8.0206476932
2015-03-09,7.9944149943
2015-03-10,7.9485077712
2015-03-11,7.9026005481
2015-03-12,7.9353914218
2015-03-13,7.8173442766
2015-03-16,7.8763678492
2015-03-17,7.9944149943
2015-03-18,8.2895328571
2015-03-19,8.2108347604
2015-03-20,8.4206963517
2015-03-23,8.4469290506
2015-03-24,8.3223237307
2015-03-25,8.1977184109
2015-03-26,8.171485712
2015-03-27,8.1846020614
2015-03-30,8.3551146044
2015-03-31,8.4272545264
2015-04-01,8.4141381769
2015-04-02,8.4206963517
2015-04-06,8.7420469134
2015-04-07,8.6174415935
2015-04-08,8.6043252441
2015-04-09,8.558418021
2015-04-10,8.6567906419
2015-04-13,8.5059526231
2015-04-14,8.702697865
2015-04-15,8.7551632628
2015-04-16,8.7092560397
2015-04-17,8.630557943
2015-04-20,8.6830233408
2015-04-21,8.7420469134
2015-04-22,8.8928849321
