date,ABT
2015-01-02,36.0052207541
2015-01-05,36.0132397343
2015-01-06,35.604271748
2015-01-07,35.8929550324
2015-01-08,36.6307012038
2015-01-09,36.2457901578
2015-01-12,36.5505114025
2015-01-13,35.9651258535
2015-01-14,35.6990758304
2015-01-15,35.4330258073
2015-01-16,35.8683803906
2015-01-20,35.6507030989
2015-01-21,35.5217091483
2015-01-22,35.8683803906
2015-01-23,35.3604667101
2015-01-26,35.5942682455
2015-01-27,35.2153485156
2015-01-28,34.997671224
2015-01-29,36.4891637779
2015-01-30,36.0860576822
2015-02-02,36.4649774121
2015-02-03,36.9487047269
2015-02-04,36.4166046806
2015-02-05,36.8035865325
2015-02-06,36.6826547038
2015-02-09,35.8925667563
2015-02-10,36.2150516328
2015-02-11,36.2231137547
2015-02-12,36.4569152902
2015-02-13,37.1583198966
2015-02-17,37.4163077978
2015-02-18,37.4163077978
2015-02-19,37.5775502361
2015-02-20,38.2789548425
2015-02-23,38.1499608919
2015-02-24,38.2708927206
2015-02-25,38.2144578672
2015-02-26,38.3837624274
2015-02-27,38.1902715015
2015-03-02,38.0693396728
2015-03-03,37.9645320879
2015-03-04,37.9000351126
2015-03-05,38.2467063549
2015-03-06,37.4888668951
2015-03-09,37.7549169182
2015-03-10,37.2228168719
2015-03-11,37.3276244568
2015-03-12,38.0935260385
2015-03-13,37.7952275278
2015-03-16,38.5611291095
2015-03-17,37.9645320879
2015-03-18,38.2063957453
2015-03-19,38.2467063549
2015-03-20,38.2708927206
2015-03-23,38.2708927206
2015-03-24,37.8919729907
2015-03-25,37.5130532608
2015-03-26,37.4888668951
2015-03-27,37.7146063086
2015-03-30,37.956469966
2015-03-31,37.3518108225
2015-04-01,36.9970774584
2015-04-02,37.1905683843
2015-04-06,37.3276244568
2015-04-07,37.2389411158
2015-04-08,37.5775502361
2015-04-09,37.8919729907
2015-04-10,38.0129048194
2015-04-13,37.7065441867
2015-04-14,37.8443071893
2015-04-15,37.9496553678
2015-04-16,37.6984404807
2015-04-17,37.4796404177
2015-04-20,37.7875812471
2015-04-21,38.1846628429
2015-04-22,39.1814186853
2015-04-23,39.2705594517
2015-04-24,39.1571075672
2015-04-27,38.4844999662
2015-04-28,38.5655370266
2015-04-29,38.225181373
2015-04-30,37.6174034203
2015-05-01,37.8362034833
2015-05-04,38.0874183704
2015-05-05,37.9658627799
2015-05-06,37.7146478927
2015-05-07,37.6822330686
2015-05-08,38.5493296145
2015-05-11,38.3548406696
2015-05-12,38.1927665489
2015-05-13,38.1117294885
2015-05-14,39.4407372785
2015-05-15,39.4731521026
2015-05-18,39.5785002811
2015-05-19,39.7162632837
2015-05-20,39.8216114622
2015-05-21,39.9836855829
2015-05-22,39.7324706958
2015-05-26,39.3840113362
2015-05-27,39.7162632837
2015-05-28,39.9188559346
2015-05-29,39.3840113362
2015-06-01,39.6595373415
2015-06-02,39.6595373415
2015-06-03,39.5947076932
2015-06-04,39.4488409845
2015-06-05,39.2624557457
2015-06-08,39.2543520396
2015-06-09,39.0436556827
2015-06-10,39.3029742759
2015-06-11,39.7567818139
2015-06-12,39.4407372785
2015-06-15,38.9545149163
2015-06-16,39.2867668638
2015-06-17,39.3597002181
2015-06-18,40.4699079451
2015-06-19,40.4293894149
2015-06-22,40.5428412994
2015-06-23,40.4212857089
2015-06-24,40.1133448795
2015-06-25,39.9755818769
2015-06-26,40.4942190632
2015-06-29,39.7162632837
2015-06-30,39.772989226
2015-07-01,40.1295522916
2015-07-02,40.0404115252
2015-07-06,40.3078338244
2015-07-07,40.6887080081
2015-07-08,39.9107522286
2015-07-09,39.8621299924
2015-07-10,40.461804239
2015-07-13,40.4861153571
2015-07-14,40.8769708554
2015-07-15,40.1522596191
2015-07-16,40.5268294715
2015-07-17,40.632686169
2015-07-20,40.7629713351
2015-07-21,40.5186866487
2015-07-22,41.51211104
2015-07-23,41.6912531433
2015-07-24,41.5691108001
2015-07-27,41.2759691765
2015-07-28,41.4795397485
2015-07-29,41.577253623
2015-07-30,41.3411117595
2015-07-31,41.2759691765
2015-08-03,41.1212555418
2015-08-04,41.1293983646
2015-08-05,41.104969896
2015-08-06,40.9746847299
2015-08-07,40.8036854495
2015-08-10,41.2515407078
2015-08-11,41.0316844901
2015-08-12,40.7873998037
2015-08-13,40.5838292317
2015-08-14,40.901399324
2015-08-17,41.0235416672
2015-08-18,41.0723986045
2015-08-19,40.5838292317
2015-08-20,39.5171194345
2015-08-21,38.3771242313
2015-08-24,35.5841359837
2015-08-25,34.9327101533
2015-08-26,35.8121350243
2015-08-27,37.1638436223
2015-08-28,37.4732708917
2015-08-31,36.8788448215
2015-09-01,35.4782792862
2015-09-02,36.0238484192
2015-09-03,35.9424201904
2015-09-04,35.0711381422
2015-09-08,35.8609919616
2015-09-09,35.2014233083
2015-09-10,35.1118522566
2015-09-11,35.3479941201
2015-09-14,35.152566371
2015-09-15,35.6737070353
2015-09-16,35.7144211497
2015-09-17,36.0238484192
2015-09-18,35.2828515371
2015-09-21,35.2584230685
2015-09-22,34.5907115924
2015-09-23,34.3627125517
2015-09-24,34.1509991569
2015-09-25,33.2715742859
2015-09-28,31.8058661675
2015-09-29,32.1641503742
2015-09-30,32.7504336216
2015-10-01,33.1901460571
2015-10-02,33.6950010756
2015-10-05,33.7031438985
2015-10-06,32.4817204665
2015-10-07,33.0842893596
2015-10-08,33.5158589722
2015-10-09,34.1102850425
2015-10-12,33.8497147103
2015-10-13,33.5158589722
2015-10-14,33.3520473448
2015-10-15,34.2939642025
2015-10-16,34.5806345505
2015-10-19,34.5233004809
2015-10-20,34.1874866447
2015-10-21,34.5642533878
2015-10-22,35.6290289661
2015-10-23,35.7109347798
2015-10-26,35.7191253612
2015-10-27,35.9402710582
2015-10-28,36.6610422189
2015-10-29,37.0541901247
2015-10-30,36.6938045444
2015-11-02,37.2098111708
2015-11-03,37.2753358218
2015-11-04,37.0050466365
2015-11-05,37.0050466365
2015-11-06,37.3736227982
2015-11-09,36.8985690787
2015-11-10,37.4801003561
2015-11-11,36.9149502414
2015-11-12,36.1941790807
2015-11-13,36.0057957092
2015-11-16,36.7593291954
2015-11-17,36.6692328003
2015-11-18,37.5128626815
2015-11-19,37.4555286119
2015-11-20,37.6848648904
2015-11-23,37.2180017522
2015-11-24,37.2261923335
