Date,BEN
2015-01-02,33.256351470947266
2015-01-05,32.153594970703125
2015-01-06,31.524307250976562
2015-01-07,31.93785285949707
2015-01-08,32.35737228393555
2015-01-09,32.28545379638672
2015-01-12,31.63218879699707
2015-01-13,31.314542770385742
2015-01-14,30.859066009521484
2015-01-15,30.55940818786621
2015-01-16,31.04485511779785
2015-01-20,30.91301155090332
2015-01-21,31.2066707611084
2015-01-22,32.49522018432617
2015-01-23,31.949838638305664
2015-01-26,32.47123718261719
2015-01-27,31.925853729248047
2015-01-28,31.26660919189453
2015-01-29,31.554271697998047
2015-01-30,30.88303565979004
2015-02-02,31.356510162353516
2015-02-03,32.10565948486328
2015-02-04,31.72808265686035
2015-02-05,32.03373718261719
2015-02-06,32.051719665527344
2015-02-09,31.788028717041016
2015-02-10,32.08768081665039
2015-02-11,32.0037727355957
2015-02-12,32.17158126831055
2015-02-13,32.309425354003906
2015-02-17,32.429283142089844
2015-02-18,32.22552490234375
2015-02-19,32.27946472167969
2015-02-20,32.45925521850586
2015-02-23,32.3274040222168
2015-02-24,32.26747512817383
2015-02-25,32.50120544433594
2015-02-26,32.67501449584961
2015-02-27,32.261478424072266
2015-03-02,32.60309982299805
2015-03-03,32.26747512817383
2015-03-04,31.96181297302246
2015-03-05,32.40532302856445
2015-03-06,31.79401397705078
2015-03-09,31.943836212158203
2015-03-10,30.91301155090332
2015-03-11,31.04485511779785
2015-03-12,31.835969924926758
2015-03-13,31.476369857788086
2015-03-16,32.0037727355957
2015-03-17,31.578250885009766
2015-03-18,31.943836212158203
2015-03-19,31.560279846191406
2015-03-20,31.973798751831055
2015-03-23,32.183570861816406
2015-03-24,31.638181686401367
2015-03-25,30.98493194580078
2015-03-26,31.014892578125
2015-03-27,30.702348709106445
2015-03-30,31.117069244384766
2015-03-31,30.846601486206055
2015-04-01,30.870634078979492
2015-04-02,31.008893966674805
2015-04-06,30.996864318847656
2015-04-07,30.95478630065918
2015-04-08,31.135103225708008
2015-04-09,31.339468002319336
2015-04-10,31.09302520751953
2015-04-13,31.20122528076172
2015-04-14,31.41158676147461
2015-04-15,31.549842834472656
2015-04-16,31.63397979736328
2015-04-17,30.76244354248047
2015-04-20,30.792490005493164
2015-04-21,30.822553634643555
2015-04-22,30.942768096923828
2015-04-23,31.183195114135742
2015-04-24,31.129091262817383
2015-04-27,31.21323585510254
2015-04-28,31.32744026184082
2015-04-29,31.267332077026367
2015-04-30,30.99085235595703
2015-05-01,31.339468002319336
2015-05-04,31.501750946044922
2015-05-05,31.375539779663086
2015-05-06,31.159151077270508
2015-05-07,31.105052947998047
2015-05-08,31.42962646484375
2015-05-11,31.159151077270508
2015-05-12,30.978824615478516
2015-05-13,30.99085235595703
2015-05-14,31.339468002319336
2015-05-15,31.129091262817383
2015-05-18,31.315420150756836
2015-05-19,31.062978744506836
2015-05-20,31.068988800048828
2015-05-21,31.081003189086914
2015-05-22,30.9668025970459
2015-05-26,30.62419891357422
2015-05-27,30.984840393066406
2015-05-28,31.00287628173828
2015-05-29,30.60015869140625
2015-06-01,30.60015869140625
2015-06-02,30.534042358398438
2015-06-03,30.726369857788086
2015-06-04,30.221479415893555
2015-06-05,30.305631637573242
2015-06-08,29.97504997253418
2015-06-09,29.84882354736328
2015-06-10,30.21546745300293
2015-06-11,30.3116455078125
2015-06-12,30.08324432373047
2015-06-15,29.89691162109375
2015-06-16,30.251543045043945
2015-06-17,30.534042358398438
2015-06-18,30.864622116088867
2015-06-19,30.91872215270996
2015-06-22,30.846601486206055
2015-06-23,30.750417709350586
2015-06-24,30.425838470458984
2015-06-25,30.239511489868164
2015-06-26,30.432432174682617
2015-06-29,29.4738826751709
2015-06-30,29.55828857421875
2015-07-01,29.739154815673828
2015-07-02,29.666797637939453
2015-07-06,29.443737030029297
2015-07-07,29.51609230041504
2015-07-08,28.91925621032715
2015-07-09,29.154367446899414
2015-07-10,29.407556533813477
2015-07-13,29.58842658996582
2015-07-14,29.467849731445312
2015-07-15,29.564311981201172
2015-07-16,29.920005798339844
2015-07-17,29.787370681762695
2015-07-20,29.58842658996582
2015-07-21,29.485946655273438
2015-07-22,29.232744216918945
2015-07-23,28.69016456604004
2015-07-24,27.972761154174805
2015-07-27,27.978782653808594
2015-07-28,28.045101165771484
2015-07-29,28.039077758789062
2015-07-30,27.828067779541016
2015-07-31,27.460330963134766
2015-08-03,27.400047302246094
2015-08-04,27.255348205566406
2015-08-05,27.243303298950195
2015-08-06,26.953929901123047
2015-08-07,26.724843978881836
2015-08-10,27.08656120300293
2015-08-11,26.495746612548828
2015-08-12,26.513837814331055
2015-08-13,26.266664505004883
2015-08-14,26.296810150146484
2015-08-17,26.381202697753906
2015-08-18,26.45957374572754
2015-08-19,26.085805892944336
2015-08-20,25.35634422302246
2015-08-21,24.70525360107422
2015-08-24,23.758760452270508
2015-08-25,23.42116355895996
2015-08-26,24.108423233032227
2015-08-27,24.747446060180664
2015-08-28,24.86199951171875
2015-08-31,24.464120864868164
2015-09-01,23.782873153686523
2015-09-02,23.8250732421875
2015-09-03,23.999906539916992
2015-09-04,23.51761817932129
2015-09-08,24.156648635864258
2015-09-09,23.90947723388672
2015-09-10,23.692445755004883
2015-09-11,23.764799118041992
2015-09-14,23.614076614379883
2015-09-15,23.782873153686523
2015-09-16,23.867277145385742
2015-09-17,23.831106185913086
2015-09-18,23.216190338134766
2015-09-21,23.300582885742188
2015-09-22,22.91476058959961
2015-09-23,22.631412506103516
2015-09-24,22.46863555908203
2015-09-25,22.52289390563965
2015-09-28,22.21419906616211
2015-09-29,22.00838851928711
2015-09-30,22.553163528442383
2015-10-01,22.444210052490234
2015-10-02,22.855804443359375
2015-10-05,23.40662384033203
2015-10-06,23.43688201904297
2015-10-07,23.61847496032715
2015-10-08,23.53978157043457
2015-10-09,23.51556968688965
2015-10-12,23.01923370361328
2015-10-13,22.69843101501465
2015-10-14,22.680269241333008
2015-10-15,22.886072158813477
2015-10-16,23.285564422607422
2015-10-19,23.091873168945312
2015-10-20,23.11003303527832
2015-10-21,22.964757919311523
2015-10-22,24.078493118286133
2015-10-23,24.320613861083984
2015-10-26,24.26008415222168
2015-10-27,23.830322265625
2015-10-28,24.193498611450195
2015-10-29,24.278240203857422
2015-10-30,24.671674728393555
2015-11-02,24.907743453979492
2015-11-03,25.05906105041504
2015-11-04,24.895641326904297
2015-11-05,25.161964416503906
2015-11-06,24.732208251953125
2015-11-09,24.6050968170166
2015-11-10,24.69588851928711
2015-11-11,24.72010040283203
2015-11-12,24.459829330444336
2015-11-13,23.981645584106445
2015-11-16,24.51430320739746
2015-11-17,24.46587371826172
2015-11-18,25.071170806884766
2015-11-19,25.168020248413086
2015-11-20,25.022747039794922
2015-11-23,24.93195915222168
2015-11-24,24.99248504638672
2015-11-25,25.307239532470703
2015-11-27,25.168020248413086
2015-11-30,25.373815536499023
2015-12-01,25.3193416595459
2015-12-02,24.835105895996094
2015-12-03,24.46587371826172
2015-12-04,24.901695251464844
2015-12-07,24.707998275756836
2015-12-08,23.800060272216797
2015-12-09,23.309776306152344
2015-12-10,23.285564422607422
2015-12-11,21.899444580078125
2015-12-14,21.25783920288086
2015-12-15,21.548376083374023
2015-12-16,21.88733673095703
2015-12-17,21.457590103149414
2015-12-18,21.185195922851562
2015-12-21,21.330472946166992
2015-12-22,21.68154525756836
2015-12-23,22.61368751525879
2015-12-24,22.48596954345703
2015-12-28,22.455547332763672
2015-12-29,22.747495651245117
2015-12-30,22.522451400756836
2015-12-31,22.39472007751465
