Date,CPB
2015-01-02,30.1995792388916
2015-01-05,29.7397403717041
2015-01-06,29.540693283081055
2015-01-07,30.84476661682129
2015-01-08,31.46817970275879
2015-01-09,31.378339767456055
2015-01-12,31.482011795043945
2015-01-13,31.46817970275879
2015-01-14,31.50274658203125
2015-01-15,31.855224609375
2015-01-16,32.17314529418945
2015-01-20,32.44270706176758
2015-01-21,32.56018829345703
2015-01-22,32.781368255615234
2015-01-23,32.27682113647461
2015-01-26,32.318294525146484
2015-01-27,32.17314529418945
2015-01-28,31.668611526489258
2015-01-29,32.110958099365234
2015-01-30,31.613319396972656
2015-02-02,32.0211067199707
2015-02-03,32.31138229370117
2015-02-04,32.781368255615234
2015-02-05,33.12003707885742
2015-02-06,33.25135803222656
2015-02-09,32.86431121826172
2015-02-10,33.19606018066406
2015-02-11,33.05783462524414
2015-02-12,32.98180389404297
2015-02-13,32.401241302490234
2015-02-17,32.415069580078125
2015-02-18,32.70534133911133
2015-02-19,32.22844696044922
2015-02-20,32.2353630065918
2015-02-23,32.62931442260742
2015-02-24,32.636234283447266
2015-02-25,32.6016731262207
2015-02-26,32.11787796020508
2015-02-27,32.2008056640625
2015-03-02,32.31138229370117
2015-03-03,32.44961166381836
2015-03-04,32.007293701171875
2015-03-05,31.986549377441406
2015-03-06,31.170989990234375
2015-03-09,31.440547943115234
2015-03-10,31.205541610717773
2015-03-11,30.8945369720459
2015-03-12,31.295398712158203
2015-03-13,31.329954147338867
2015-03-16,31.281572341918945
2015-03-17,31.21246337890625
2015-03-18,31.405969619750977
2015-03-19,31.309223175048828
2015-03-20,31.620235443115234
2015-03-23,31.57876968383789
2015-03-24,31.371417999267578
2015-03-25,31.378339767456055
2015-03-26,31.129528045654297
2015-03-27,31.716991424560547
2015-03-30,32.10404586791992
2015-03-31,32.17314529418945
2015-04-01,32.186988830566406
2015-04-02,32.22844696044922
2015-04-06,32.249183654785156
2015-04-07,31.87596893310547
2015-04-08,31.951995849609375
2015-04-09,32.15517807006836
2015-04-10,31.883790969848633
2015-04-13,32.092552185058594
2015-04-14,32.36391830444336
2015-04-15,32.40568161010742
2015-04-16,32.36391830444336
2015-04-17,32.14126205444336
2015-04-20,32.28739547729492
2015-04-21,32.0438346862793
2015-04-22,32.085601806640625
2015-04-23,32.0577507019043
2015-04-24,31.876840591430664
