date,BBT
2015-01-02,18.9462011814
2015-01-05,18.6498279466
2015-01-06,18.3028544034
2015-01-07,18.3968264046
2015-01-08,18.7148854859
2015-01-09,18.2305682485
2015-01-12,18.1438248627
2015-01-13,18.1510534782
2015-01-14,17.8402230124
2015-01-15,17.7462510112
2015-01-16,17.9486522447
2015-01-20,17.7896227041
2015-01-21,17.579992855
2015-01-22,18.2956257879
2015-01-23,18.0859959389
2015-01-26,18.1293676318
2015-01-27,17.9920239376
2015-01-28,18.0787673234
2015-01-29,18.4257408666
2015-01-30,17.9992525531
2015-02-02,18.3968264046
2015-02-03,18.6281421001
2015-02-04,18.4835697904
2015-02-05,18.685971024
2015-02-06,18.9606584123
2015-02-09,18.7437999478
2015-02-10,18.7293427169
2015-02-11,18.889547048
2015-02-12,19.3701600416
2015-02-13,19.4575442222
2015-02-17,19.4138521319
2015-02-18,19.2172377254
2015-02-19,19.1662636201
2015-02-20,19.158981605
2015-02-23,19.1080074996
2015-02-24,19.1808276502
2015-02-25,19.3555960114
2015-02-26,19.4648262372
2015-02-27,19.428416162
2015-03-02,19.7342607942
2015-03-03,19.6250305684
2015-03-04,19.2026736953
2015-03-05,19.2318017555
2015-03-06,19.3191859362
2015-03-09,19.5158003426
2015-03-10,19.2026736953
2015-03-11,19.3264679512
2015-03-12,19.6832866888
2015-03-13,19.6541586286
2015-03-16,19.6104665383
2015-03-17,19.8507730351
2015-03-18,19.6832866888
2015-03-19,19.6177485534
2015-03-20,19.9891313211
2015-03-23,20.1274896071
2015-03-24,20.1493356522
2015-03-25,19.9672852759
2015-03-26,20.0473874415
2015-03-27,20.0692334867
2015-03-30,20.2804119232
2015-03-31,20.1711816974
2015-04-01,20.3386680436
2015-04-02,20.4478982694
2015-04-06,20.3459500587
2015-04-07,20.2658478931
2015-04-08,20.2294378178
2015-04-09,20.0328234114
2015-04-10,20.0401054265
2015-04-13,20.1347716221
2015-04-14,20.0109773662
2015-04-15,20.3313860286
2015-04-16,20.3532320737
2015-04-17,19.9381572157
2015-04-20,20.3241040135
2015-04-21,20.2658478931
2015-04-22,20.3677961038
2015-04-23,20.382360134
2015-04-24,20.2876939383
2015-04-27,20.258565878
2015-04-28,20.4770263296
2015-04-29,20.6008205855
2015-04-30,20.3969241641
2015-05-01,20.0473874415
2015-05-04,20.2367198329
2015-05-05,20.0401054265
2015-05-06,20.0983615469
2015-05-07,20.112925577
2015-05-08,20.0692334867
2015-05-11,20.3750781189
2015-05-12,20.4478982694
2015-05-13,20.3305922916
2015-05-14,20.4332350222
2015-05-15,20.3012657971
2015-05-18,20.5285461292
2015-05-19,20.609193989
2015-05-20,20.4992196348
2015-05-21,20.3965769041
2015-05-22,20.2206179373
2015-05-26,19.9640111107
2015-05-27,20.2206179373
2015-05-28,20.2206179373
2015-05-29,20.1033119594
2015-06-01,19.8833632509
2015-06-02,20.0959803358
2015-06-03,20.169296572
2015-06-04,20.0519905941
2015-06-05,20.6898418488
2015-06-08,20.609193989
2015-06-09,20.7851529558
2015-06-10,20.9831067935
