date,K
2015-01-02,39.9417221141
2015-01-05,39.1975421969
2015-01-06,39.3134390693
2015-01-07,40.2650133896
2015-01-08,40.9969936361
2015-01-09,40.5212064759
2015-01-12,39.9417221141
2015-01-13,40.2406140481
2015-01-14,40.7042015375
2015-01-15,41.3202849116
2015-01-16,41.5520786563
2015-01-20,42.0705646642
2015-01-21,42.1071636765
2015-01-22,42.6012503428
2015-01-23,41.893669438
2015-01-26,42.0156661457
2015-01-27,41.7411735533
2015-01-28,41.1006908376
2015-01-29,41.0762914961
2015-01-30,40.002720468
2015-02-02,40.5456058174
2015-02-03,40.6554028544
2015-02-04,40.649303019
2015-02-05,40.8871965991
2015-02-06,40.4114094389
2015-02-09,40.1369168465
2015-02-10,40.4480084512
2015-02-11,40.4419086158
2015-02-12,38.6119579997
2015-02-13,38.5509596459
2015-02-17,38.5570594813
2015-02-18,38.9108499337
2015-02-19,38.9108499337
2015-02-20,39.0938449953
2015-02-23,39.2158417031
2015-02-24,39.057245983
2015-02-25,39.514733637
2015-02-26,39.4476354478
2015-02-27,39.3317385754
2015-03-02,39.2158417031
2015-03-03,39.5025339663
2015-03-04,39.7770265587
2015-03-05,39.3652433727
2015-03-06,38.394172576
2015-03-09,38.4740708061
2015-03-10,38.4802168238
2015-03-11,38.086871691
2015-03-12,38.2958362928
2015-03-13,38.1975000096
2015-03-16,38.6215752309
2015-03-17,38.2589601866
2015-03-18,38.7567876204
2015-03-19,38.6031371778
2015-03-20,39.3836814258
2015-03-23,39.3037831957
2015-03-24,38.6830354079
2015-03-25,38.8121017797
2015-03-26,38.7199115142
2015-03-27,39.236177001
2015-03-30,40.2564159393
2015-03-31,40.5329867358
2015-04-01,40.674345143
2015-04-02,40.797265497
2015-04-06,40.5821548775
2015-04-07,40.4039203641
2015-04-08,40.3117300986
2015-04-09,40.2502699216
2015-04-10,40.3977743464
2015-04-13,40.2318318685
2015-04-14,40.3055840809
2015-04-15,40.0535973552
2015-04-16,39.9798451428
2015-04-17,39.5742079745
2015-04-20,39.6786902755
2015-04-21,39.2484690364
2015-04-22,39.3222212488
2015-04-23,39.2423230187
2015-04-24,39.1685708063
2015-04-27,39.0948185939
2015-04-28,39.1316947001
2015-04-29,38.9534601868
2015-04-30,38.9227300983
2015-05-01,39.2669070895
