date,BAX
2015-01-02,33.5070863369
2015-01-05,32.6752366965
2015-01-06,32.5015538046
2015-01-07,32.6569542869
2015-01-08,33.5025157345
2015-01-09,33.0820203119
2015-01-12,33.2374207941
2015-01-13,32.8946256127
2015-01-14,32.7849311546
2015-01-15,32.6706660941
2015-01-16,32.9129080223
2015-01-20,32.821495974
2015-01-21,32.6158188651
2015-01-22,33.0271730828
2015-01-23,32.647813082
2015-01-26,32.3964299489
2015-01-27,32.2958766957
2015-01-28,32.0673465747
2015-01-29,32.6249600699
2015-01-30,32.135905611
2015-02-02,32.2410294667
2015-02-03,32.1998940449
2015-02-04,32.026211153
2015-02-05,32.6158188651
2015-02-06,32.4375653707
2015-02-09,31.8662400683
2015-02-10,32.0993407917
2015-02-11,31.852528261
2015-02-12,32.0307817554
2015-02-13,32.1724704304
2015-02-17,31.8982342852
2015-02-18,31.2629205489
2015-02-19,30.8150015118
2015-02-20,31.034390428
2015-02-23,31.372615007
2015-02-24,31.5645803086
2015-02-25,31.4731682602
2015-02-26,31.3863268143
2015-02-27,31.6057157304
2015-03-02,31.9759345264
2015-03-03,31.7291219957
2015-03-04,31.6514217546
2015-03-05,31.6331393449
2015-03-06,30.9566901868
2015-03-09,31.1806497054
2015-03-10,31.1806497054
2015-03-11,30.8628557867
2015-03-12,30.8582500777
2015-03-13,31.0240556005
2015-03-16,31.51686646
2015-03-17,31.5352892958
2015-03-18,31.5721349676
2015-03-19,31.3096095564
2015-03-20,31.4017237358
2015-03-23,31.7057005276
2015-03-24,31.5491064227
2015-03-25,31.3833008999
2015-03-26,31.3280323923
2015-03-27,31.5721349676
2015-03-30,31.6688548559
2015-03-31,31.5491064227
2015-04-01,31.1069583619
2015-04-02,31.3188209744
2015-04-06,31.6089806393
2015-04-07,31.9359859759
2015-04-08,32.0096773194
2015-04-09,32.3090484022
2015-04-10,32.5024881789
2015-04-13,32.1800885512
2015-04-14,32.2307513498
2015-04-15,32.3320769471
2015-04-16,32.3090484022
2015-04-17,32.198511387
2015-04-20,32.4057682906
2015-04-21,32.2629913126
2015-04-22,32.4149797085
2015-04-23,32.9354248217
2015-04-24,32.76501359
2015-04-27,32.4103739995
2015-04-28,32.345894074
2015-04-29,32.1248200436
2015-04-30,31.6596434379
2015-05-01,31.9774373566
2015-05-04,32.2123285139
2015-05-05,32.0787629539
2015-05-06,31.7379404904
2015-05-07,31.931380267
2015-05-08,32.0511287001
2015-05-11,31.9037460132
2015-05-12,31.6135863483
2015-05-13,31.3648780641
2015-05-14,31.7978147069
2015-05-15,31.9451973939
2015-05-18,31.4339636986
2015-05-19,31.5398950048
2015-05-20,31.2957924295
2015-05-21,31.1069583619
2015-05-22,31.0286613095
2015-05-26,30.959575675
2015-05-27,30.8766729136
2015-05-28,31.1668325785
2015-05-29,30.9161983329
2015-06-01,30.795522585
2015-06-02,30.8048053348
2015-06-03,30.5866607137
2015-06-04,30.4567022159
2015-06-05,30.1782197208
2015-06-08,29.9554337247
2015-06-09,29.7419304785
2015-06-10,30.6423572127
2015-06-11,31.6820251944
2015-06-12,31.6820251944
2015-06-15,31.533501197
2015-06-16,31.4917288228
2015-06-17,31.6309700703
2015-06-18,32.1415213114
2015-06-19,32.2157833101
2015-06-22,32.503548555
2015-06-23,32.8005965498
2015-06-24,33.2508099169
2015-06-25,33.5757061612
2015-06-26,33.3807684147
2015-06-29,32.7913138
2015-06-30,32.4571348059
2015-07-01,32.8609344238
2015-07-02,32.3873851886
2015-07-06,32.1675230438
2015-07-07,31.381093064
2015-07-08,30.8652626471
2015-07-09,31.3049869369
2015-07-10,31.8039048811
2015-07-13,31.7954486447
2015-07-14,31.9053797172
2015-07-15,31.8800110081
2015-07-16,31.9392046625
2015-07-17,31.5924989725
2015-07-20,31.8461860628
2015-07-21,32.0068545533
2015-07-22,31.8884672445
2015-07-23,32.1083293894
2015-07-24,31.8292735901
2015-07-27,31.8800110081
2015-07-28,32.2098042255
2015-07-29,32.5565099155
2015-07-30,33.8334016031
2015-07-31,33.8925952575
2015-08-03,33.410589786
2015-08-04,34.0870886933
2015-08-05,35.6261237075
2015-08-06,35.4569989807
2015-08-07,35.414717799
2015-08-10,35.5500175804
2015-08-11,35.3132429629
2015-08-12,34.5183567467
2015-08-13,34.5183567467
2015-08-14,34.5860066375
2015-08-17,34.4676193287
2015-08-18,34.3238633109
2015-08-19,33.9433326755
2015-08-20,33.4951521494
2015-08-21,32.370472716
2015-08-24,31.431830482
2015-08-25,31.2627057552
2015-08-26,31.8546422991
2015-08-27,32.6326160425
2015-08-28,32.767915824
2015-08-31,32.5142287338
2015-09-01,31.4825679001
2015-09-02,31.7235706358
2015-09-03,31.426692301
2015-09-04,30.6548086304
2015-09-08,30.9686514415
2015-09-09,30.7990066788
2015-09-10,30.5954329635
2015-09-11,30.5530217728
2015-09-14,30.5106105821
2015-09-15,30.74811325
2015-09-16,30.7141842974
2015-09-17,30.8329356313
2015-09-18,30.74811325
2015-09-21,30.4936461058
2015-09-22,30.0949809133
2015-09-23,30.3324835812
2015-09-24,29.9338183887
2015-09-25,29.2213103851
2015-09-28,27.6436140915
2015-09-29,27.7284364729
2015-09-30,27.8641522831
2015-10-01,27.7623654254
2015-10-02,28.4579089527
2015-10-05,28.2458529993
2015-10-06,27.3721824711
2015-10-07,27.9150457119
2015-10-08,28.2034418086
2015-10-09,28.169512856
2015-10-12,28.3900510476
2015-10-13,28.0762082365
2015-10-14,28.0337970458
2015-10-15,28.5851425248
2015-10-16,28.7717517638
2015-10-19,28.8565741452
2015-10-20,29.0601478605
2015-10-21,30.196767771
2015-10-22,29.6199755776
2015-10-23,30.0271230082
2015-10-26,30.4597171533
2015-10-27,31.0789205373
2015-10-28,31.5963370637
2015-10-29,31.8847331604
2015-10-30,31.7150883977
2015-11-02,32.0374134469
2015-11-03,32.4191141631
2015-11-04,31.8677686842
2015-11-05,31.8508042079
2015-11-06,32.2070582097
2015-11-09,31.9441088274
2015-11-10,32.2155404478
2015-11-11,32.1307180664
2015-11-12,31.7744640646
2015-11-13,31.8677686842
2015-11-16,32.1731292571
2015-11-17,32.0374134469
2015-11-18,32.2918805911
2015-11-19,32.1561647808
2015-11-20,32.4954543064
2015-11-23,32.2918805911
2015-11-24,32.2664338766
2015-11-25,32.1307180664
2015-11-27,31.9610733037
2015-11-30,31.9356265893
2015-12-01,32.1816114953
2015-12-02,31.7871874218
2015-12-03,31.3702783791
2015-12-04,31.9403376824
2015-12-07,32.1019962909
2015-12-08,31.6510538569
2015-12-09,31.285194901
2015-12-10,31.7191206394
2015-12-11,31.3447533357
2015-12-14,31.0809945535
2015-12-15,31.7021039437
2015-12-16,32.187079769
2015-12-17,31.9403376824
2015-12-18,31.1830947273
2015-12-21,31.2086197707
2015-12-22,32.0084044649
2015-12-23,32.4508385511
2015-12-24,32.4593468989
2015-12-28,32.4508385511
2015-12-29,32.8081891592
2015-12-30,32.3742634208
2015-12-31,32.4593468989
