date,AMG
2015-01-02,203.7007075088
2015-01-05,196.314705521
2015-01-06,192.0844527442
2015-01-07,196.7987161362
2015-01-08,198.8025200831
2015-01-09,198.7734794462
2015-01-12,195.1433998322
2015-01-13,194.7368309155
2015-01-14,191.7069244644
2015-01-15,188.1542865489
2015-01-16,189.1416682039
2015-01-20,191.4649191568
2015-01-21,195.9565376657
2015-01-22,203.8555909056
2015-01-23,199.9351049226
2015-01-26,203.5264636873
2015-01-27,198.2991490433
2015-01-28,199.0348451784
2015-01-29,198.5508345632
2015-01-30,198.9477232676
2015-02-02,200.5933593593
2015-02-03,204.2137587609
2015-02-04,202.8198081891
2015-02-05,206.130440797
2015-02-06,207.5921528549
2015-02-09,207.882559224
2015-02-10,206.4305273785
2015-02-11,206.1691616463
2015-02-12,207.6986351903
2015-02-13,208.869940879
2015-02-17,210.3800539984
2015-02-18,209.7024391371
2015-02-19,210.6123790937
2015-02-20,211.3287148042
2015-02-23,208.9473825774
2015-02-24,211.1447907704
2015-02-25,211.4448773518
2015-02-26,212.0450505147
2015-02-27,209.4991546788
2015-03-02,211.0189480105
2015-03-03,210.0993278416
2015-03-04,205.9465167633
2015-03-05,208.9086617282
2015-03-06,207.5340715811
2015-03-09,207.6986351903
2015-03-10,202.2293152386
2015-03-11,202.5681226692
2015-03-12,206.9822994798
2015-03-13,204.1169566378
2015-03-16,207.021020329
2015-03-17,206.0045980371
2015-03-18,209.4991546788
2015-03-19,206.6144514122
2015-03-20,212.2773756099
2015-03-23,212.2192943361
2015-03-24,210.1670893277
2015-03-25,207.0500609659
2015-03-26,208.2600875039
2015-03-27,207.0791016028
2015-03-30,209.6830787125
2015-03-31,207.9115998609
2015-04-01,207.6308737041
2015-04-02,207.3888683965
2015-04-06,208.2600875039
2015-04-07,207.3211069104
2015-04-08,208.8409002421
2015-04-09,211.706243084
2015-04-10,210.7382218536
2015-04-13,212.0934515762
2015-04-14,212.8291477113
2015-04-15,212.4903402806
2015-04-16,212.8969091974
2015-04-17,211.0479886474
2015-04-20,212.9646706835
2015-04-21,213.1969957788
2015-04-22,213.9714127631
2015-04-23,215.0749569657
2015-04-24,215.2395205749
2015-04-27,215.5686477932
2015-04-28,220.7282009512
2015-04-29,218.1919853276
2015-04-30,218.8986408257
2015-05-01,219.2084076195
2015-05-04,219.5375348378
2015-05-05,216.5560294482
2015-05-06,213.8552502155
2015-05-07,214.4554233783
2015-05-08,216.3237043529
2015-05-11,215.9074552239
2015-05-12,213.9326919139
2015-05-13,213.8939710647
2015-05-14,216.2269022299
2015-05-15,215.2879216364
2015-05-18,217.6111725893
2015-05-19,217.1658828234
2015-05-20,218.492071909
2015-05-21,218.2500666014
2015-05-22,217.6886142878
2015-05-26,215.5105665194
2015-05-27,217.6595736509
2015-05-28,217.8434976846
2015-05-29,216.5076283867
2015-06-01,215.9558562854
2015-06-02,217.5530913155
2015-06-03,218.8405595519
2015-06-04,215.8880947993
2015-06-05,215.0459163288
2015-06-08,213.1679551419
2015-06-09,211.4932784133
2015-06-10,216.7012326328
2015-06-11,216.9819587896
2015-06-12,214.5619057136
2015-06-15,214.1553367969
2015-06-16,216.6625117836
2015-06-17,216.1688209561
2015-06-18,217.8434976846
2015-06-19,217.9306195954
2015-06-22,220.6120384035
2015-06-23,220.6313988281
2015-06-24,219.1793669826
2015-06-25,218.6663157305
2015-06-26,219.5084942009
2015-06-29,212.2580151853
2015-06-30,211.609440961
2015-07-01,213.0324321696
2015-07-02,212.2386547607
2015-07-06,208.8505804544
2015-07-07,208.7537783314
2015-07-08,202.1228329033
2015-07-09,203.8943117549
2015-07-10,206.9822994798
2015-07-13,209.5959568018
2015-07-14,209.7314797741
2015-07-15,209.7992412602
2015-07-16,212.9549904712
2015-07-17,211.8030452071
2015-07-20,211.2609533181
2015-07-21,210.9318260997
2015-07-22,211.6965628717
2015-07-23,209.3345910696
2015-07-24,206.8564567198
2015-07-27,203.4393417766
2015-07-28,201.3677763436
2015-07-29,203.6813470842
2015-07-30,202.5584424569
2015-07-31,201.2516137959
2015-08-03,202.0744318417
2015-08-04,204.2718400347
2015-08-05,205.2979425389
2015-08-06,202.9262905245
2015-08-07,202.335797574
2015-08-10,205.0559372313
2015-08-11,200.8644053038
2015-08-12,196.8277567731
2015-08-13,197.0213610192
2015-08-14,198.9767639045
2015-08-17,199.1413275137
2015-08-18,198.3572303171
2015-08-19,195.3176436537
2015-08-20,190.5549792002
2015-08-21,184.621009058
2015-08-24,176.8865194273
2015-08-25,173.8469327639
2015-08-26,178.8032014634
2015-08-27,183.0237740279
2015-08-28,181.4846202716
2015-08-31,180.477878192
2015-09-01,173.4790846963
2015-09-02,173.1112366288
2015-09-03,171.8915298785
2015-09-04,167.7096781633
2015-09-08,174.8536748435
2015-09-09,171.9302507277
2015-09-10,171.2816765034
2015-09-11,170.3814167591
2015-09-14,169.0552276735
2015-09-15,172.0754539123
2015-09-16,175.0666395142
2015-09-17,173.7791712778
2015-09-18,169.6069997748
2015-09-21,170.3910969714
2015-09-22,166.3544484407
2015-09-23,164.4474466169
2015-09-24,164.5732893768
2015-09-25,165.1347416905
2015-09-28,160.3527168124
2015-09-29,161.2820171936
2015-09-30,165.5219501826
2015-10-01,164.9120968075
2015-10-02,165.057299992
2015-10-05,168.7551410921
2015-10-06,168.5034555722
2015-10-07,171.4075192633
2015-10-08,171.3881588387
2015-10-09,171.4075192633
2015-10-12,169.5295580764
2015-10-13,165.5413106072
2015-10-14,165.1444219028
2015-10-15,169.994208267
2015-10-16,171.0493514081
2015-10-19,167.3999113695
2015-10-20,167.5935156156
2015-10-21,163.3535826266
2015-10-22,171.2235952295
2015-10-23,175.8991377723
2015-10-26,175.2312031233
2015-10-27,172.8595511089
2015-10-28,177.4382915286
2015-10-29,174.1179787084
2015-10-30,174.4955069882
2015-11-02,179.1420088941
2015-11-03,180.7779647734
