Date,MA
2015-01-02,79.84829711914062
2015-01-05,77.60233306884766
2015-01-06,77.4345703125
2015-01-07,78.63911437988281
2015-01-08,79.86231231689453
2015-01-09,78.84451293945312
2015-01-12,77.83610534667969
2015-01-13,78.01350402832031
2015-01-14,77.929443359375
2015-01-15,76.79961395263672
2015-01-16,78.24695587158203
2015-01-20,78.67647552490234
2015-01-21,78.17223358154297
2015-01-22,78.78848266601562
2015-01-23,78.79784393310547
2015-01-26,78.06019592285156
2015-01-27,76.35145568847656
2015-01-28,75.38970947265625
2015-01-29,75.98729705810547
2015-01-30,76.59422302246094
2015-02-02,77.48129272460938
2015-02-03,78.25629425048828
2015-02-04,78.60176849365234
2015-02-05,80.13309478759766
2015-02-06,78.58309936523438
2015-02-09,78.98458862304688
2015-02-10,78.64845275878906
2015-02-11,78.86319732666016
2015-02-12,81.72042846679688
2015-02-13,81.36561584472656
2015-02-17,81.72042846679688
2015-02-18,81.91654205322266
2015-02-19,83.28910827636719
2015-02-20,84.77374267578125
2015-02-23,85.08186340332031
2015-02-24,85.2686538696289
2015-02-25,86.5291748046875
2015-02-26,85.21259307861328
2015-02-27,84.15746307373047
2015-03-02,85.92224884033203
2015-03-03,84.94180297851562
2015-03-04,85.63279724121094
2015-03-05,86.65986633300781
2015-03-06,84.77374267578125
2015-03-09,85.08186340332031
2015-03-10,82.95296478271484
2015-03-11,81.20687103271484
2015-03-12,83.33580017089844
2015-03-13,81.93518829345703
2015-03-16,82.83157348632812
2015-03-17,82.14061737060547
2015-03-18,82.99032592773438
2015-03-19,83.12102508544922
2015-03-20,83.86802673339844
2015-03-23,83.41048431396484
2015-03-24,83.55990600585938
2015-03-25,81.58035278320312
2015-03-26,82.10327911376953
2015-03-27,81.46830749511719
2015-03-30,81.86048889160156
2015-03-31,80.66529846191406
2015-04-01,80.99212646484375
2015-04-02,81.2629165649414
2015-04-06,81.5523452758789
2015-04-07,82.2446060180664
2015-04-08,83.55424499511719
2015-04-09,83.31098937988281
2015-04-10,82.85262298583984
2015-04-13,82.55326080322266
2015-04-14,83.36711120605469
2015-04-15,83.4887466430664
2015-04-16,82.99297332763672
2015-04-17,81.3184814453125
2015-04-20,81.69266510009766
2015-04-21,82.10430908203125
2015-04-22,85.31283569335938
2015-04-23,85.01351165771484
2015-04-24,84.86384582519531
2015-04-27,83.95648956298828
2015-04-28,84.4054946899414
2015-04-29,84.42420196533203
2015-04-30,84.3867416381836
2015-05-01,85.3596420288086
2015-05-04,85.29415893554688
2015-05-05,84.91997528076172
2015-05-06,84.72354125976562
2015-05-07,86.10798645019531
2015-05-08,87.4737548828125
2015-05-11,86.54766845703125
2015-05-12,86.42604064941406
2015-05-13,86.54766845703125
2015-05-14,87.78245544433594
2015-05-15,87.20246887207031
2015-05-18,87.07151794433594
2015-05-19,87.7450180053711
2015-05-20,87.22116088867188
2015-05-21,86.90313720703125
2015-05-22,86.70668029785156
2015-05-26,85.95833587646484
2015-05-27,86.61311340332031
2015-05-28,86.82829284667969
2015-05-29,86.30445861816406
2015-06-01,86.5850830078125
2015-06-02,87.15568542480469
2015-06-03,87.46436309814453
2015-06-04,86.59441375732422
2015-06-05,86.64120483398438
2015-06-08,85.96768951416016
2015-06-09,86.1454086303711
2015-06-10,88.09114837646484
2015-06-11,88.39987182617188
2015-06-12,87.71696472167969
2015-06-15,87.2773208618164
2015-06-16,88.07242584228516
2015-06-17,88.35305786132812
2015-06-18,89.84977722167969
2015-06-19,88.6898422241211
2015-06-22,89.2604751586914
2015-06-23,89.52235412597656
2015-06-24,89.34467315673828
2015-06-25,88.36241912841797
2015-06-26,88.40919494628906
2015-06-29,86.54766845703125
2015-06-30,87.44569396972656
2015-07-01,88.39987182617188
2015-07-02,88.15663146972656
2015-07-06,88.41854858398438
