Date,BIIB
2015-01-02,342.010009765625
2015-01-05,336.739990234375
2015-01-06,334.6499938964844
2015-01-07,353.239990234375
2015-01-08,350.25
2015-01-09,342.3399963378906
2015-01-12,347.8399963378906
2015-01-13,352.739990234375
2015-01-14,348.75
2015-01-15,339.8800048828125
2015-01-16,352.75
2015-01-20,363.2799987792969
2015-01-21,361.8299865722656
2015-01-22,353.6499938964844
2015-01-23,357.5299987792969
2015-01-26,362.44000244140625
2015-01-27,357.8900146484375
2015-01-28,351.17999267578125
2015-01-29,353.25
2015-01-30,389.1600036621094
2015-02-02,390.0
2015-02-03,393.8900146484375
2015-02-04,391.1199951171875
2015-02-05,401.7900085449219
2015-02-06,402.0
2015-02-09,396.8800048828125
2015-02-10,395.1300048828125
2015-02-11,390.0
2015-02-12,392.1099853515625
2015-02-13,391.6600036621094
2015-02-17,397.9100036621094
2015-02-18,401.1199951171875
2015-02-19,406.7300109863281
2015-02-20,408.04998779296875
2015-02-23,408.5799865722656
2015-02-24,404.8900146484375
2015-02-25,408.94000244140625
2015-02-26,410.1000061035156
2015-02-27,409.5899963378906
2015-03-02,415.7900085449219
2015-03-03,412.7900085449219
2015-03-04,414.1300048828125
2015-03-05,425.6099853515625
2015-03-06,417.6300048828125
2015-03-09,415.510009765625
2015-03-10,414.20001220703125
2015-03-11,408.1099853515625
2015-03-12,407.6400146484375
2015-03-13,413.3500061035156
2015-03-16,421.32000732421875
2015-03-17,426.1199951171875
2015-03-18,427.92999267578125
2015-03-19,433.6499938964844
2015-03-20,475.9800109863281
2015-03-23,463.7300109863281
2015-03-24,452.7099914550781
2015-03-25,431.6300048828125
2015-03-26,428.92999267578125
2015-03-27,429.8699951171875
2015-03-30,431.6199951171875
2015-03-31,422.239990234375
2015-04-01,413.80999755859375
2015-04-02,412.44000244140625
2015-04-06,413.4200134277344
2015-04-07,418.0899963378906
2015-04-08,425.3599853515625
2015-04-09,426.6300048828125
2015-04-10,425.6499938964844
2015-04-13,423.3599853515625
