Date,YUM
2015-01-02,42.02469253540039
2015-01-05,41.170841217041016
2015-01-06,40.665496826171875
2015-01-07,42.01306915283203
2015-01-08,42.744937896728516
2015-01-09,42.66942596435547
2015-01-12,42.34995651245117
2015-01-13,42.17570877075195
2015-01-14,42.23996353149414
2015-01-15,41.73759460449219
2015-01-16,42.31006622314453
2015-01-20,41.562347412109375
2015-01-21,41.76679229736328
2015-01-22,43.104515075683594
2015-01-23,43.29143524169922
2015-01-26,43.36738204956055
2015-01-27,42.894222259521484
2015-01-28,42.584617614746094
2015-01-29,43.3848876953125
2015-01-30,42.222442626953125
2015-02-02,42.48530197143555
2015-02-03,42.99936294555664
2015-02-04,43.022727966308594
2015-02-05,43.92815399169922
2015-02-06,43.186283111572266
2015-02-09,42.70729064941406
2015-02-10,43.27391052246094
2015-02-11,43.22134017944336
2015-02-12,43.69450378417969
2015-02-13,43.63023376464844
2015-02-17,44.424678802490234
2015-02-18,44.68756103515625
2015-02-19,44.786869049072266
2015-02-20,45.28923034667969
2015-02-23,45.236663818359375
2015-02-24,45.48200607299805
2015-02-25,46.124568939208984
2015-02-26,46.37574005126953
2015-02-27,47.38048553466797
2015-03-02,47.78356170654297
2015-03-03,47.61414337158203
2015-03-04,46.77881622314453
2015-03-05,47.03584671020508
2015-03-06,46.241390228271484
2015-03-09,46.40494918823242
2015-03-10,45.493682861328125
2015-03-11,44.68756103515625
2015-03-12,45.470314025878906
2015-03-13,45.27754211425781
2015-03-16,45.674766540527344
2015-03-17,45.48200607299805
2015-03-18,46.112892150878906
2015-03-19,45.996055603027344
2015-03-20,46.270606994628906
2015-03-23,46.3056640625
2015-03-24,46.831390380859375
2015-03-25,46.235557556152344
2015-03-26,45.88505935668945
2015-03-27,45.74486541748047
2015-03-30,46.387447357177734
2015-03-31,45.984378814697266
2015-04-01,46.054466247558594
2015-04-02,46.60942077636719
2015-04-06,46.574363708496094
2015-04-07,45.733177185058594
2015-04-08,45.97981643676758
2015-04-09,46.34389877319336
2015-04-10,46.98984909057617
2015-04-13,47.40089797973633
2015-04-14,46.754947662353516
2015-04-15,46.74321365356445
2015-04-16,46.67862319946289
2015-04-17,46.831295013427734
2015-04-20,47.6181755065918
2015-04-21,47.47724914550781
2015-04-22,49.35049057006836
2015-04-23,49.36811065673828
2015-04-24,51.14741134643555
2015-04-27,50.85968017578125
2015-04-28,50.99473190307617
2015-04-29,50.64827346801758
2015-04-30,50.477970123291016
2015-05-01,53.96609115600586
2015-05-04,53.44344711303711
2015-05-05,52.844486236572266
2015-05-06,52.38646697998047
2015-05-07,52.926700592041016
2015-05-08,52.77988815307617
2015-05-11,52.69768524169922
2015-05-12,53.07938766479492
2015-05-13,52.79163360595703
2015-05-14,52.86211395263672
2015-05-15,55.17579650878906
2015-05-18,54.95852279663086
2015-05-19,55.38130569458008
2015-05-20,55.71603775024414
2015-05-21,54.87042236328125
2015-05-22,53.75469970703125
2015-05-26,53.75469970703125
2015-05-27,54.013099670410156
2015-05-28,53.90738296508789
2015-05-29,52.91496276855469
2015-06-01,53.00893020629883
2015-06-02,52.77402114868164
