Date,SPG
2015-01-02,106.56327056884766
2015-01-05,107.0002212524414
2015-01-06,109.9784927368164
2015-01-07,112.00238037109375
2015-01-08,111.8414077758789
2015-01-09,113.02005004882812
2015-01-12,113.12931823730469
2015-01-13,113.20407104492188
2015-01-14,114.20449829101562
2015-01-15,115.03246307373047
2015-01-16,115.45215606689453
2015-01-20,114.77945709228516
2015-01-21,115.11866760253906
2015-01-22,117.30929565429688
2015-01-23,116.78031921386719
2015-01-26,117.95899963378906
2015-01-27,117.68302154541016
2015-01-28,117.01026916503906
2015-01-29,117.7289810180664
2015-01-30,114.22176361083984
2015-02-02,114.6529541015625
2015-02-03,115.0439453125
2015-02-04,116.04434204101562
2015-02-05,116.84353637695312
2015-02-06,112.16339111328125
2015-02-09,111.60567474365234
2015-02-10,111.97364044189453
2015-02-11,111.4350357055664
2015-02-12,112.76702880859375
2015-02-13,111.83465576171875
2015-02-17,111.660888671875
2015-02-18,112.51224517822266
2015-02-19,109.92353820800781
2015-02-20,111.081787109375
2015-02-23,112.12423706054688
2015-02-24,110.06830596923828
2015-02-25,110.3115463256836
2015-02-26,108.37728118896484
2015-02-27,110.24205017089844
2015-03-02,110.05675506591797
2015-03-03,109.8077392578125
2015-03-04,108.62051391601562
2015-03-05,108.37149810791016
2015-03-06,104.5782241821289
2015-03-09,104.49715423583984
2015-03-10,104.19601440429688
2015-03-11,103.86591339111328
2015-03-12,106.3271713256836
2015-03-13,106.54721069335938
2015-03-16,108.33676147460938
2015-03-17,107.79236602783203
2015-03-18,110.90222930908203
2015-03-19,111.24972534179688
2015-03-20,114.28433990478516
2015-03-23,114.40016174316406
2015-03-24,113.98900604248047
2015-03-25,112.43692779541016
2015-03-26,111.5682373046875
2015-03-27,112.5006332397461
2015-03-30,114.07006072998047
2015-03-31,113.2998275756836
2015-04-01,114.66080474853516
2015-04-02,115.45421600341797
2015-04-06,116.28809356689453
2015-04-07,114.83448028564453
2015-04-08,114.35382843017578
2015-04-09,111.84624481201172
2015-04-10,110.76905059814453
2015-04-13,110.22470092773438
2015-04-14,110.85592651367188
2015-04-15,110.05675506591797
2015-04-16,110.09146881103516
2015-04-17,109.02588653564453
2015-04-20,109.22281646728516
2015-04-21,109.3559799194336
2015-04-22,109.51817321777344
2015-04-23,109.48919677734375
2015-04-24,109.2865219116211
2015-04-27,109.96408081054688
2015-04-28,109.02010345458984
2015-04-29,106.03762817382812
2015-04-30,105.10521697998047
2015-05-01,106.65731048583984
2015-05-04,106.19398498535156
2015-05-05,104.50872039794922
2015-05-06,105.17472076416016
2015-05-07,106.06655883789062
2015-05-08,108.67261505126953
2015-05-11,106.65731048583984
2015-05-12,106.80785369873047
2015-05-13,105.87947082519531
2015-05-14,107.87632751464844
2015-05-15,108.37261962890625
2015-05-18,107.88800811767578
2015-05-19,107.45010375976562
2015-05-20,107.19319915771484
2015-05-21,107.16401672363281
2015-05-22,107.21073150634766
2015-05-26,106.31156158447266
2015-05-27,107.51436614990234
2015-05-28,107.32746887207031
2015-05-29,105.9145278930664
2015-06-01,107.07646179199219
2015-06-02,106.35244750976562
2015-06-03,104.47236633300781
2015-06-04,104.53074645996094
2015-06-05,103.11779022216797
2015-06-08,102.53392028808594
2015-06-09,101.93253326416016
2015-06-10,102.96597290039062
2015-06-11,103.49146270751953
2015-06-12,103.26958465576172
2015-06-15,102.64480590820312
2015-06-16,103.4972915649414
2015-06-17,104.84605407714844
2015-06-18,106.20062255859375
2015-06-19,104.7934799194336
2015-06-22,103.07107543945312
2015-06-23,102.3178939819336
2015-06-24,101.53546142578125
2015-06-25,100.63634490966797
2015-06-26,101.54132843017578
2015-06-29,99.84225463867188
2015-06-30,101.02164459228516
2015-07-01,102.03762817382812
2015-07-02,102.01423645019531
2015-07-06,102.63318634033203
2015-07-07,104.34976196289062
2015-07-08,104.12788391113281
2015-07-09,103.99940490722656
2015-07-10,104.4198226928711
2015-07-13,104.69425964355469
2015-07-14,105.09127044677734
2015-07-15,105.92036437988281
2015-07-16,107.0997543334961
2015-07-17,106.88373565673828
2015-07-20,106.80786895751953
2015-07-21,106.12471771240234
2015-07-22,106.48670196533203
2015-07-23,105.9028549194336
2015-07-24,107.8121109008789
2015-07-27,108.466064453125
2015-07-28,108.81053924560547
2015-07-29,108.87476348876953
2015-07-30,108.68208312988281
2015-07-31,109.3126449584961
2015-08-03,109.99578857421875
2015-08-04,110.0892333984375
2015-08-05,110.17678833007812
2015-08-06,110.87744140625
