Date,EXPD
2015-01-02,38.57710647583008
2015-01-05,37.37863540649414
2015-01-06,36.953086853027344
2015-01-07,36.961761474609375
2015-01-08,37.969181060791016
2015-01-09,37.743385314941406
2015-01-12,37.873661041259766
2015-01-13,37.98655319213867
2015-01-14,37.77812194824219
2015-01-15,37.500213623046875
2015-01-16,37.665218353271484
2015-01-20,37.82154846191406
2015-01-21,37.752071380615234
2015-01-22,38.872379302978516
2015-01-23,38.464202880859375
2015-01-26,39.28925323486328
2015-01-27,38.872379302978516
2015-01-28,38.49894714355469
2015-01-29,38.707374572753906
2015-01-30,37.93444061279297
2015-02-02,38.238407135009766
2015-02-03,38.48157501220703
2015-02-04,38.27315139770508
2015-02-05,38.91580581665039
2015-02-06,39.11555862426758
2015-02-09,38.82027816772461
2015-02-10,39.07212829589844
2015-02-11,39.150299072265625
2015-02-12,39.358726501464844
2015-02-13,39.784271240234375
2015-02-17,39.827701568603516
2015-02-18,39.60188293457031
2015-02-19,39.61058807373047
2015-02-20,39.523738861083984
2015-02-23,39.48899459838867
2015-02-24,41.58198928833008
2015-02-25,41.825164794921875
2015-02-26,42.372291564941406
2015-02-27,41.94674301147461
2015-03-02,41.9033203125
2015-03-03,41.75569152832031
2015-03-04,41.67752456665039
2015-03-05,41.66014862060547
2015-03-06,41.39092254638672
2015-03-09,41.53855514526367
2015-03-10,41.00011444091797
2015-03-11,41.32145309448242
2015-03-12,41.912010192871094
2015-03-13,41.720943450927734
2015-03-16,42.572044372558594
2015-03-17,42.30281448364258
2015-03-18,42.728363037109375
2015-03-19,42.4417724609375
2015-03-20,42.78915023803711
2015-03-23,42.69363021850586
2015-03-24,42.83258056640625
2015-03-25,41.833839416503906
2015-03-26,41.73831558227539
2015-03-27,41.66014862060547
2015-03-30,42.06832504272461
2015-03-31,41.842525482177734
2015-04-01,41.56462478637695
2015-04-02,40.85247802734375
2015-04-06,40.73957824707031
2015-04-07,40.444297790527344
2015-04-08,40.505088806152344
2015-04-09,40.505088806152344
2015-04-10,40.7048454284668
2015-04-13,40.565887451171875
2015-04-14,40.652740478515625
2015-04-15,40.548519134521484
2015-04-16,40.29667282104492
2015-04-17,39.60188293457031
2015-04-20,40.444297790527344
2015-04-21,40.748268127441406
2015-04-22,40.48772430419922
2015-04-23,40.53114700317383
2015-04-24,40.34877014160156
2015-04-27,40.279300689697266
2015-04-28,40.505088806152344
2015-04-29,40.09691619873047
2015-04-30,39.801639556884766
2015-05-01,40.34009552001953
2015-05-04,40.817745208740234
2015-05-05,40.565887451171875
2015-05-06,41.781734466552734
2015-05-07,41.76436233520508
2015-05-08,41.746986389160156
2015-05-11,41.63409423828125
2015-05-12,41.44302749633789
2015-05-13,40.85247802734375
2015-05-14,41.31276321411133
2015-05-15,41.4256591796875
2015-05-18,41.642784118652344
2015-05-19,41.21723556518555
2015-05-20,41.052223205566406
2015-05-21,41.052223205566406
2015-05-22,40.652740478515625
2015-05-26,40.3922004699707
2015-05-27,40.800376892089844
2015-05-28,40.24026107788086
2015-05-29,40.11773681640625
2015-06-01,40.56407928466797
2015-06-02,40.704097747802734
2015-06-03,42.28816223144531
2015-06-04,41.62302780151367
2015-06-05,41.96434783935547
2015-06-08,40.94915771484375
2015-06-09,40.94915771484375
2015-06-10,41.5880241394043
2015-06-11,42.27066421508789
2015-06-12,42.09563064575195
2015-06-15,41.97309112548828
2015-06-16,41.754310607910156
2015-06-17,41.84182357788086
2015-06-18,42.375675201416016
2015-06-19,42.04311752319336
2015-06-22,42.331912994384766
2015-06-23,41.93809127807617
2015-06-24,41.167938232421875
2015-06-25,41.010406494140625
2015-06-26,41.1066780090332
2015-06-29,40.161502838134766
2015-06-30,40.35403060913086
2015-07-01,40.52031707763672
2015-07-02,40.40653610229492
2015-07-06,39.68891525268555
2015-07-07,39.68016052246094
2015-07-08,38.89250183105469
2015-07-09,39.137542724609375
2015-07-10,39.531375885009766
2015-07-13,40.17900848388672
2015-07-14,39.97771453857422
2015-07-15,39.496376037597656
2015-07-16,39.4438591003418
2015-07-17,39.225074768066406
2015-07-20,39.365089416503906
2015-07-21,40.038970947265625
2015-07-22,39.61888885498047
2015-07-23,38.96251678466797
2015-07-24,38.7349739074707
2015-07-27,38.866249084472656
2015-07-28,39.65390396118164
2015-07-29,40.844120025634766
2015-07-30,40.852882385253906
2015-07-31,41.019168853759766
