Date,MO
2015-01-02,23.70671272277832
2015-01-05,23.571163177490234
2015-01-06,23.711549758911133
2015-01-07,24.147249221801758
2015-01-08,24.55390167236328
2015-01-09,24.495803833007812
2015-01-12,24.650720596313477
2015-01-13,24.844371795654297
2015-01-14,25.042850494384766
2015-01-15,25.401090621948242
2015-01-16,25.681869506835938
2015-01-20,26.05947494506836
2015-01-21,26.272480010986328
2015-01-22,26.461288452148438
2015-01-23,26.23375129699707
2015-01-26,26.354774475097656
2015-01-27,26.41286849975586
2015-01-28,26.14661407470703
2015-01-29,26.33057403564453
2015-01-30,25.706071853637695
2015-02-02,26.044954299926758
2015-02-03,26.267641067504883
2015-02-04,26.156286239624023
2015-02-05,25.982011795043945
2015-02-06,25.817419052124023
2015-02-09,25.735122680664062
2015-02-10,26.03042984008789
2015-02-11,26.50969696044922
2015-02-12,26.887300491333008
2015-02-13,26.50969696044922
2015-02-17,26.693666458129883
2015-02-18,26.7420597076416
2015-02-19,26.858251571655273
2015-02-20,26.92119026184082
2015-02-23,26.872777938842773
2015-02-24,26.97442626953125
2015-02-25,26.935712814331055
2015-02-26,27.153564453125
2015-02-27,27.250381469726562
2015-03-02,27.352035522460938
2015-03-03,27.332672119140625
2015-03-04,27.008317947387695
2015-03-05,26.867929458618164
2015-03-06,25.8367862701416
2015-03-09,26.05947494506836
2015-03-10,25.754491806030273
2015-03-11,25.280061721801758
2015-03-12,25.431640625
2015-03-13,25.128475189208984
2015-03-16,25.470766067504883
2015-03-17,25.240949630737305
2015-03-18,25.104036331176758
2015-03-19,25.069799423217773
2015-03-20,25.143150329589844
2015-03-23,25.240949630737305
2015-03-24,24.991567611694336
2015-03-25,24.522146224975586
2015-03-26,24.448806762695312
2015-03-27,24.615053176879883
2015-03-30,24.707962036132812
2015-03-31,24.458589553833008
2015-04-01,24.595495223999023
2015-04-02,25.03068733215332
2015-04-06,25.177377700805664
2015-04-07,25.280061721801758
2015-04-08,25.240949630737305
2015-04-09,25.358301162719727
2015-04-10,25.676128387451172
2015-04-13,25.314294815063477
2015-04-14,25.48543357849121
2015-04-15,25.23604965209961
2015-04-16,25.45120620727539
2015-04-17,25.304519653320312
2015-04-20,25.73480987548828
2015-04-21,25.475658416748047
2015-04-22,25.48543357849121
2015-04-23,25.597896575927734
2015-04-24,25.460979461669922
2015-04-27,25.133371353149414
2015-04-28,25.284950256347656
2015-04-29,24.546588897705078
2015-04-30,24.473249435424805
2015-05-01,24.77152442932129
2015-05-04,24.781307220458984
2015-05-05,24.619949340820312
2015-05-06,24.781307220458984
2015-05-07,25.05512809753418
2015-05-08,25.509876251220703
2015-05-11,25.104036331176758
2015-05-12,25.011123657226562
2015-05-13,24.93777847290039
2015-05-14,25.720144271850586
2015-05-15,25.827713012695312
2015-05-18,25.40231704711914
2015-05-19,25.319177627563477
2015-05-20,25.32895851135254
2015-05-21,25.250722885131836
2015-05-22,25.05023956298828
2015-05-26,25.074689865112305
2015-05-27,25.343626022338867
2015-05-28,25.240949630737305
2015-05-29,25.03557014465332
2015-06-01,25.03557014465332
2015-06-02,24.756858825683594
2015-06-03,24.619949340820312
2015-06-04,24.390127182006836
2015-06-05,23.573535919189453
2015-06-08,23.627317428588867
2015-06-09,23.744680404663086
2015-06-10,24.067398071289062
2015-06-11,23.884550094604492
2015-06-12,23.741226196289062
2015-06-15,23.494129180908203
2015-06-16,23.73134994506836
2015-06-17,23.998218536376953
2015-06-18,24.4429931640625
2015-06-19,24.373809814453125
2015-06-22,24.606081008911133
2015-06-23,24.25519371032715
2015-06-24,24.20083999633789
2015-06-25,24.29473304748535
2015-06-26,24.452871322631836
2015-06-29,24.052576065063477
2015-06-30,24.171178817749023
2015-07-01,24.265073776245117
2015-07-02,24.210718154907227
2015-07-06,24.645618438720703
2015-07-07,25.54010772705078
2015-07-08,25.2188777923584
2015-07-09,25.179346084594727
2015-07-10,25.357250213623047
2015-07-13,25.367130279541016
2015-07-14,25.377017974853516
2015-07-15,25.31772232055664
2015-07-16,26.147974014282227
2015-07-17,26.30116844177246
2015-07-20,26.54332733154297
2015-07-21,26.46426010131836
2015-07-22,26.666885375976562
2015-07-23,26.59769630432129
2015-07-24,26.582860946655273
2015-07-27,26.66193962097168
2015-07-28,27.304391860961914
2015-07-29,26.88433265686035
2015-07-30,26.785484313964844
2015-07-31,26.874441146850586
2015-08-03,27.0128116607666
2015-08-04,27.14130401611328
2015-08-05,27.41311264038086
2015-08-06,27.462539672851562
