Date,R
2015-01-02,66.3276138305664
2015-01-05,64.20006561279297
2015-01-06,63.49565887451172
2015-01-07,63.826290130615234
2015-01-08,65.35726165771484
2015-01-09,64.21440887451172
2015-01-12,63.351905822753906
2015-01-13,63.60345458984375
2015-01-14,62.93503189086914
2015-01-15,62.4965705871582
2015-01-16,63.49565887451172
2015-01-20,63.67536926269531
2015-01-21,63.948486328125
2015-01-22,65.0985107421875
2015-01-23,65.12728118896484
2015-01-26,64.98348236083984
2015-01-27,64.65286254882812
2015-01-28,63.27285385131836
2015-01-29,61.98625564575195
2015-01-30,59.50651168823242
2015-02-02,60.397804260253906
2015-02-03,63.63941192626953
2015-02-04,63.5819206237793
2015-02-05,63.869422912597656
2015-02-06,64.92599487304688
2015-02-09,64.94758605957031
2015-02-10,65.14163208007812
2015-02-11,66.3276138305664
2015-02-12,67.211669921875
2015-02-13,67.50635528564453
2015-02-17,67.65010833740234
2015-02-18,67.43449401855469
2015-02-19,67.85301208496094
2015-02-20,68.37979888916016
2015-02-23,68.25714111328125
2015-02-24,68.61793518066406
2015-02-25,68.51692199707031
2015-02-26,68.11279296875
2015-02-27,67.82416534423828
2015-03-02,68.35814666748047
2015-03-03,67.60047149658203
2015-03-04,67.57882690429688
2015-03-05,67.73037719726562
2015-03-06,66.01293182373047
2015-03-09,66.43145751953125
2015-03-10,65.32018280029297
2015-03-11,66.76339721679688
2015-03-12,67.98294067382812
2015-03-13,67.19634246826172
2015-03-16,68.36537170410156
2015-03-17,68.51692199707031
2015-03-18,69.54159545898438
2015-03-19,69.98898315429688
2015-03-20,70.71783447265625
2015-03-23,70.22711944580078
2015-03-24,69.57767486572266
2015-03-25,68.4086685180664
2015-03-26,67.94682312011719
2015-03-27,68.11279296875
2015-03-30,69.5055160522461
2015-03-31,68.47359466552734
2015-04-01,68.42310333251953
2015-04-02,68.11279296875
2015-04-06,67.88188171386719
2015-04-07,67.68705749511719
2015-04-08,67.62935638427734
2015-04-09,68.20661163330078
2015-04-10,68.86328125
2015-04-13,68.80555725097656
2015-04-14,68.60348510742188
2015-04-15,68.81998443603516
2015-04-16,68.45195770263672
2015-04-17,68.17776489257812
2015-04-20,69.238525390625
2015-04-21,69.85189819335938
2015-04-22,70.6817626953125
2015-04-23,71.85797882080078
2015-04-24,71.32395935058594
2015-04-27,70.38590240478516
2015-04-28,70.71783447265625
2015-04-29,70.07556915283203
2015-04-30,68.81278991699219
2015-05-01,69.8013916015625
2015-05-04,69.93125915527344
2015-05-05,69.11585235595703
2015-05-06,68.40145874023438
2015-05-07,68.88494873046875
2015-05-08,69.22406768798828
2015-05-11,69.67149353027344
2015-05-12,68.19218444824219
2015-05-13,67.75199890136719
2015-05-14,68.89667510986328
2015-05-15,69.2878646850586
2015-05-18,70.1572036743164
2015-05-19,69.47625732421875
