date,ETFC
2015-01-02,23.4329638932
2015-01-05,22.6717097559
2015-01-06,22.0470909765
2015-01-07,22.3984390399
2015-01-08,23.0132981508
2015-01-09,22.5350743979
2015-01-12,22.1690868319
2015-01-13,22.4374777136
2015-01-14,21.944614458
2015-01-15,21.2467981655
2015-01-16,21.6371849026
2015-01-20,21.9543741265
2015-01-21,21.4907898762
2015-01-22,22.1056489871
2015-01-23,23.9648658224
2015-01-26,23.6086379248
2015-01-27,23.2865688668
2015-01-28,22.6619500874
2015-01-29,23.0816158298
2015-01-30,22.4960357242
2015-02-02,23.0816158298
2015-02-03,24.2186172015
2015-02-04,24.6919611202
2015-02-05,24.5065274201
2015-02-06,24.8481158151
2015-02-09,24.4870080833
2015-02-10,24.9993906757
2015-02-11,25.0140301783
2015-02-12,25.2873008943
2015-02-13,25.0335495152
2015-02-17,25.2385025521
2015-02-18,24.9213133283
2015-02-19,25.0237898468
2015-02-20,25.5215329365
2015-02-23,25.4141765838
2015-02-24,25.7948036525
2015-02-25,25.7264859735
2015-02-26,25.4532152575
2015-02-27,25.4092967496
2015-03-02,25.853361663
2015-03-03,25.8436019946
2015-03-04,25.8777608341
2015-03-05,26.3218257475
2015-03-06,27.1806765691
2015-03-09,27.2587539165
2015-03-10,26.8878865163
2015-03-11,27.0538008796
2015-03-12,27.3026724244
2015-03-13,27.3026724244
2015-03-16,27.6003423115
2015-03-17,27.6979389957
2015-03-18,27.1855564033
2015-03-19,26.6634141425
2015-03-20,27.1904362375
2015-03-23,27.2392345797
2015-03-24,26.92692519
2015-03-25,26.399903095
2015-03-26,26.790289832
2015-03-27,27.1806765691
2015-03-30,27.5613036378
2015-03-31,27.8687331932
2015-04-01,27.7808961774
2015-04-02,27.7808961774
2015-04-06,27.3905094403
2015-04-07,27.0830798848
2015-04-08,27.5271447983
2015-04-09,27.7174583326
2015-04-10,27.5759431404
2015-04-13,27.4734666219
2015-04-14,27.1513975638
2015-04-15,27.2636337507
2015-04-16,27.5710633062
2015-04-17,26.8976461847
2015-04-20,26.9513243611
2015-04-21,26.8683671794
2015-04-22,27.9175315353
2015-04-23,27.5125052956
2015-04-24,27.4929859588
2015-04-27,27.1709169007
2015-04-28,27.8345743537
2015-04-29,28.4982318068
2015-04-30,28.0980854012
2015-05-01,28.4006351225
