Date,CCI
2015-01-02,49.79922866821289
2015-01-05,49.479801177978516
2015-01-06,49.38585662841797
2015-01-07,50.419315338134766
2015-01-08,51.21473693847656
2015-01-09,51.12078094482422
2015-01-12,51.05814743041992
2015-01-13,50.93912124633789
2015-01-14,51.13956832885742
2015-01-15,51.12704086303711
2015-01-16,51.75337219238281
2015-01-20,51.36505126953125
2015-01-21,50.95793151855469
2015-01-22,53.39435577392578
2015-01-23,54.38393783569336
2015-01-26,55.1480712890625
2015-01-27,54.9914665222168
2015-01-28,54.590614318847656
2015-01-29,54.340084075927734
2015-01-30,54.18353271484375
2015-02-02,54.08958435058594
2015-02-03,54.640724182128906
2015-02-04,54.0331916809082
2015-02-05,54.321292877197266
2015-02-06,54.27745819091797
2015-02-09,53.98309326171875
2015-02-10,54.596893310546875
2015-02-11,54.60315704345703
2015-02-12,54.8599739074707
2015-02-13,55.116756439208984
2015-02-17,54.8661994934082
2015-02-18,55.242000579833984
2015-02-19,54.9852180480957
2015-02-20,55.56142807006836
2015-02-23,55.054115295410156
2015-02-24,54.37141799926758
2015-02-25,54.22735595703125
2015-02-26,53.92045211791992
2015-02-27,54.058231353759766
2015-03-02,54.10832595825195
2015-03-03,54.0519905090332
2015-03-04,53.7513313293457
2015-03-05,54.02694320678711
2015-03-06,53.2628059387207
2015-03-09,53.55093765258789
2015-03-10,52.96843719482422
2015-03-11,53.18764877319336
2015-03-12,53.832786560058594
2015-03-13,53.181396484375
2015-03-16,53.73883056640625
2015-03-17,53.56344223022461
2015-03-18,54.66381072998047
2015-03-19,54.290706634521484
2015-03-20,54.8914794921875
2015-03-23,54.54365158081055
2015-03-24,54.28437423706055
2015-03-25,53.5255126953125
2015-03-26,53.506526947021484
2015-03-27,53.633026123046875
2015-03-30,53.367393493652344
2015-03-31,52.19748306274414
2015-04-01,52.94371032714844
2015-04-02,53.21563720703125
2015-04-06,53.71521759033203
2015-04-07,54.1768684387207
2015-04-08,53.98715591430664
2015-04-09,53.84170913696289
2015-04-10,53.557132720947266
2015-04-13,53.753177642822266
2015-04-14,53.99980545043945
2015-04-15,54.290706634521484
2015-04-16,54.38556671142578
2015-04-17,54.28437423706055
2015-04-20,54.65752029418945
2015-04-21,54.25276184082031
2015-04-22,54.39820861816406
2015-04-23,54.7902946472168
2015-04-24,54.37291717529297
2015-04-27,53.753177642822266
2015-04-28,54.18952178955078
2015-04-29,53.49388885498047
2015-04-30,52.82357406616211
2015-05-01,52.595916748046875
2015-05-04,52.56428909301758
2015-05-05,51.615684509277344
2015-05-06,51.893951416015625
2015-05-07,52.24177169799805
2015-05-08,52.9120979309082
2015-05-11,52.29867172241211
2015-05-12,52.456756591796875
2015-05-13,52.07102584838867
2015-05-14,52.349273681640625
2015-05-15,52.99431228637695
2015-05-18,52.861480712890625
2015-05-19,53.108123779296875
2015-05-20,52.418819427490234
2015-05-21,51.906593322753906
2015-05-22,51.893951416015625
2015-05-26,51.8054084777832
2015-05-27,51.82438278198242
2015-05-28,52.0267333984375
2015-05-29,51.57143783569336
2015-06-01,52.020423889160156
2015-06-02,52.07734298706055
2015-06-03,51.83702087402344
2015-06-04,52.9120979309082
2015-06-05,52.349273681640625
2015-06-08,52.22910690307617
