Date,RF
2015-01-02,7.110907077789307
2015-01-05,6.867336273193359
2015-01-06,6.637297630310059
2015-01-07,6.677894115447998
2015-01-08,6.7793803215026855
2015-01-09,6.583170413970947
2015-01-12,6.454620838165283
2015-01-13,6.353133678436279
2015-01-14,6.197518348693848
2015-01-15,6.082497596740723
2015-01-16,6.136625289916992
2015-01-20,5.913352966308594
2015-01-21,5.893054962158203
2015-01-22,6.217813968658447
2015-01-23,6.096029758453369
2015-01-26,6.143391132354736
2015-01-27,6.068966865539551
2015-01-28,5.913352966308594
2015-01-29,5.987776756286621
2015-01-30,5.886288642883301
2015-02-02,6.041903018951416
2015-02-03,6.163689613342285
2015-02-04,6.116328239440918
2015-02-05,6.224581718444824
2015-02-06,6.468150615692139
2015-02-09,6.332836627960205
2015-02-10,6.326070308685303
2015-02-11,6.305772304534912
2015-02-12,6.454620838165283
2015-02-13,6.441089630126953
2015-02-17,6.549342155456543
2015-02-18,6.434323787689209
2015-02-19,6.447855472564697
2015-02-20,6.535811424255371
2015-02-23,6.474915504455566
2015-02-24,6.542576789855957
2015-02-25,6.508746147155762
2015-02-26,6.508746147155762
2015-02-27,6.501980304718018
2015-03-02,6.5628743171691895
2015-03-03,6.508746147155762
2015-03-04,6.46138858795166
2015-03-05,6.5628743171691895
2015-03-06,6.603470325469971
2015-03-09,6.603470325469971
2015-03-10,6.46138858795166
2015-03-11,6.488591194152832
2015-03-12,6.726643085479736
2015-03-13,6.740245819091797
2015-03-16,6.719841003417969
2015-03-17,6.726643085479736
2015-03-18,6.590612411499023
2015-03-19,6.461387634277344
2015-03-20,6.556605339050293
2015-03-23,6.495394706726074
2015-03-24,6.4137749671936035
2015-03-25,6.291348934173584
2015-03-26,6.332160472869873
2015-03-27,6.277745723724365
2015-03-30,6.352560520172119
2015-03-31,6.427379131317139
2015-04-01,6.434179782867432
2015-04-02,6.515798091888428
2015-04-06,6.495394706726074
2015-04-07,6.543001651763916
2015-04-08,6.5498046875
2015-04-09,6.5770087242126465
2015-04-10,6.522601127624512
2015-04-13,6.556605339050293
2015-04-14,6.488591194152832
2015-04-15,6.604216575622559
2015-04-16,6.597414493560791
2015-04-17,6.522601127624512
2015-04-20,6.522601127624512
2015-04-21,6.515798091888428
2015-04-22,6.617819309234619
2015-04-23,6.543001651763916
2015-04-24,6.515798091888428
2015-04-27,6.502196311950684
2015-04-28,6.556605339050293
2015-04-29,6.66542911529541
2015-04-30,6.685833930969238
2015-05-01,6.685833930969238
2015-05-04,6.787856578826904
2015-05-05,6.740245819091797
2015-05-06,6.7470479011535645
2015-05-07,6.726643085479736
2015-05-08,6.753848075866699
2015-05-11,6.8490681648254395
2015-05-12,6.917084693908691
2015-05-13,6.978297710418701
2015-05-14,6.930686950683594
2015-05-15,6.787856578826904
2015-05-18,6.944288730621338
2015-05-19,7.066718578338623
2015-05-20,6.978297710418701
2015-05-21,6.964694499969482
2015-05-22,6.951091289520264
2015-05-26,6.923886299133301
2015-05-27,6.991898059844971
2015-05-28,6.951091289520264
2015-05-29,6.862673282623291
2015-06-01,6.787856578826904
2015-06-02,6.889876842498779
2015-06-03,7.005502223968506
2015-06-04,6.951091289520264
2015-06-05,7.155137062072754
2015-06-08,7.093921661376953
2015-06-09,7.175538539886475
2015-06-10,7.284985542297363
2015-06-11,7.223422050476074
2015-06-12,7.237102508544922
2015-06-15,7.1823811531066895
2015-06-16,7.250782489776611
2015-06-17,7.141337871551514
2015-06-18,7.1823811531066895
2015-06-19,7.141337871551514
2015-06-22,7.257623672485352
2015-06-23,7.360227584838867
2015-06-24,7.298665523529053
2015-06-25,7.230262756347656
2015-06-26,7.20289945602417
2015-06-29,7.038731575012207
2015-06-30,7.086613655090332
2015-07-01,7.120818138122559
2015-07-02,7.025049686431885
2015-07-06,6.956648349761963
2015-07-07,6.86772346496582
