Date,TER
2015-01-02,18.296310424804688
2015-01-05,17.952669143676758
2015-01-06,17.404708862304688
2015-01-07,17.544021606445312
2015-01-08,18.09198760986328
2015-01-09,18.0362548828125
2015-01-12,17.172523498535156
2015-01-13,16.88462257385254
2015-01-14,16.94962501525879
2015-01-15,16.856752395629883
2015-01-16,17.256113052368164
2015-01-20,17.33970069885254
2015-01-21,17.5904598236084
2015-01-22,17.785499572753906
2015-01-23,17.655467987060547
2015-01-26,17.980533599853516
2015-01-27,17.53472900390625
2015-01-28,17.404708862304688
2015-01-29,17.293258666992188
2015-01-30,16.81032371520996
2015-02-02,16.708158493041992
2015-02-03,17.265403747558594
2015-02-04,17.34898567199707
2015-02-05,17.571887969970703
2015-02-06,17.5904598236084
2015-02-09,17.627614974975586
2015-02-10,18.110559463500977
2015-02-11,17.943376541137695
2015-02-12,18.008403778076172
2015-02-13,18.045557022094727
2015-02-17,17.92481231689453
2015-02-18,17.869081497192383
2015-02-19,18.110559463500977
2015-02-20,18.417043685913086
2015-02-23,18.212718963623047
2015-02-24,18.574928283691406
2015-02-25,18.28615379333496
2015-02-26,18.295467376708984
2015-02-27,17.997377395629883
2015-03-02,18.602880477905273
2015-03-03,18.314098358154297
2015-03-04,18.118480682373047
2015-03-05,17.978748321533203
2015-03-06,17.83901023864746
2015-03-09,17.820375442504883
2015-03-10,17.615442276000977
2015-03-11,17.73655128479004
2015-03-12,17.866962432861328
2015-03-13,18.127792358398438
2015-03-16,18.491086959838867
2015-03-17,18.314098358154297
2015-03-18,18.36998748779297
2015-03-19,18.323421478271484
2015-03-20,18.72397232055664
2015-03-23,18.640146255493164
2015-03-24,18.546979904174805
2015-03-25,17.52229118347168
2015-03-26,17.168306350708008
2015-03-27,17.46639633178711
2015-03-30,17.801753997802734
2015-03-31,17.55955696105957
2015-04-01,17.44776725769043
2015-04-02,17.56886863708496
2015-04-06,17.596813201904297
2015-04-07,17.531604766845703
2015-04-08,17.671335220336914
2015-04-09,17.87628173828125
2015-04-10,18.043956756591797
2015-04-13,17.84833335876465
2015-04-14,17.578187942504883
2015-04-15,17.55955696105957
2015-04-16,17.438453674316406
2015-04-17,16.991315841674805
2015-04-20,17.270774841308594
2015-04-21,17.196243286132812
2015-04-22,17.457077026367188
2015-04-23,17.44776725769043
2015-04-24,17.131053924560547
2015-04-27,16.87952995300293
2015-04-28,17.298723220825195
2015-04-29,17.261459350585938
2015-04-30,17.000635147094727
2015-05-01,18.910289764404297
2015-05-04,18.891658782958984
2015-05-05,18.463151931762695
2015-05-06,18.546979904174805
2015-05-07,18.677396774291992
2015-05-08,19.10591697692871
2015-05-11,19.26427459716797
2015-05-12,19.050016403198242
2015-05-13,19.022075653076172
2015-05-14,19.301538467407227
2015-05-15,19.21769142150879
2015-05-18,19.301538467407227
2015-05-19,19.292221069335938
2015-05-20,19.273588180541992
2015-05-21,19.376056671142578
2015-05-22,19.292221069335938
2015-05-26,19.152490615844727
