Date,PNR
2015-01-02,36.898319244384766
2015-01-05,35.39316177368164
2015-01-06,35.08880615234375
2015-01-07,35.35443878173828
2015-01-08,36.27301025390625
2015-01-09,36.035064697265625
2015-01-12,35.763912200927734
2015-01-13,35.96866989135742
2015-01-14,36.14020538330078
2015-01-15,35.946529388427734
2015-01-16,35.680912017822266
2015-01-20,35.87458801269531
2015-01-21,36.69357681274414
2015-01-22,36.69357681274414
2015-01-23,35.55363845825195
2015-01-26,35.404232025146484
2015-01-27,34.695919036865234
2015-01-28,34.12859344482422
2015-01-29,34.69037628173828
2015-01-30,34.378883361816406
2015-02-02,35.752716064453125
2015-02-03,36.53696060180664
2015-02-04,35.33555603027344
2015-02-05,35.56916427612305
2015-02-06,35.77494812011719
2015-02-09,36.41459655761719
2015-02-10,36.18098068237305
2015-02-11,35.95296096801758
2015-02-12,36.58702087402344
2015-02-13,37.193275451660156
2015-02-17,37.298946380615234
2015-02-18,37.187713623046875
2015-02-19,37.237762451171875
2015-02-20,37.83846664428711
2015-02-23,37.237762451171875
2015-02-24,37.615989685058594
2015-02-25,37.56592559814453
2015-02-26,37.454681396484375
2015-02-27,36.97077941894531
2015-03-02,36.8261833190918
2015-03-03,36.63706588745117
2015-03-04,35.81389617919922
2015-03-05,36.04195022583008
2015-03-06,35.26880645751953
2015-03-09,35.73602294921875
2015-03-10,34.9629020690918
2015-03-11,34.76267623901367
2015-03-12,35.70263671875
2015-03-13,35.463470458984375
2015-03-16,35.869503021240234
2015-03-17,35.93626403808594
2015-03-18,36.742759704589844
2015-03-19,35.80833053588867
2015-03-20,35.95296096801758
2015-03-23,35.64703369140625
2015-03-24,35.713783264160156
2015-03-25,34.94064712524414
2015-03-26,34.9629020690918
2015-03-27,34.70147705078125
2015-03-30,35.33555603027344
2015-03-31,34.97959899902344
2015-04-01,35.03519821166992
2015-04-02,35.413421630859375
2015-04-06,36.53696060180664
2015-04-07,35.85282516479492
2015-04-08,34.60137176513672
2015-04-09,34.668121337890625
2015-04-10,34.851680755615234
2015-04-13,34.801605224609375
2015-04-14,35.45235824584961
2015-04-15,36.086429595947266
2015-04-16,35.95296096801758
2015-04-17,35.36892318725586
2015-04-20,35.6025505065918
2015-04-21,34.35664367675781
2015-04-22,33.83108139038086
2015-04-23,34.272769927978516
2015-04-24,34.39576721191406
2015-04-27,34.943687438964844
2015-04-28,34.910152435302734
2015-04-29,35.03874588012695
2015-04-30,34.748008728027344
2015-05-01,34.7368278503418
2015-05-04,34.87101745605469
2015-05-05,34.55233383178711
2015-05-06,34.66414260864258
2015-05-07,34.63618469238281
2015-05-08,34.7088737487793
2015-05-11,34.75359344482422
2015-05-12,35.03874588012695
2015-05-13,35.35742950439453
2015-05-14,35.96125411987305
2015-05-15,35.78234100341797
2015-05-18,35.78234100341797
2015-05-19,35.8102912902832
2015-05-20,35.88856506347656
2015-05-21,36.867000579833984
2015-05-22,36.352622985839844
