date,COG
2015-01-02,29.699767071212
2015-01-05,28.071706750032
2015-01-06,27.677025460049
2015-01-07,27.913834234039
2015-01-08,28.476255072265
2015-01-09,29.650431909964
2015-01-12,28.969606684743
2015-01-13,29.26561765223
2015-01-14,29.117612168487
2015-01-15,28.397318814268
2015-01-16,28.653861652757
2015-01-20,28.436786943266
2015-01-21,28.634127588258
2015-01-22,28.199978169277
2015-01-23,28.101307846781
2015-01-26,28.328249588521
2015-01-27,28.101307846781
2015-01-28,26.72979036409
2015-01-29,26.245948573237
2015-01-30,26.166953995138
2015-02-02,27.016145709698
2015-02-03,27.164260543632
2015-02-04,26.295320184548
2015-02-05,26.324943151335
2015-02-06,26.492806629795
2015-02-09,26.877905198025
2015-02-10,27.806091490683
2015-02-11,27.736971234847
2015-02-12,27.569107756387
2015-02-13,27.746845557109
2015-02-17,27.727096912584
2015-02-18,27.174134865895
2015-02-19,27.361746988879
2015-02-20,27.70734826806
2015-02-23,27.233380799468
2015-02-24,28.043075224978
2015-02-25,29.534097886588
2015-02-26,28.536791338094
2015-02-27,28.635534560717
2015-03-02,28.783649394652
2015-03-03,28.823146683701
2015-03-04,28.368927859635
2015-03-05,28.161567092126
2015-03-06,27.569107756387
2015-03-09,27.184009188157
2015-03-10,26.561926885631
2015-03-11,27.569107756387
2015-03-12,27.499987500551
2015-03-13,27.766594201634
2015-03-16,27.865337424257
2015-03-17,27.717222590322
2015-03-18,28.122069803077
2015-03-19,27.96408064688
2015-03-20,28.329430570586
2015-03-23,28.141818447602
2015-03-24,28.546665660357
2015-03-25,28.931764228587
2015-03-26,28.615785916193
2015-03-27,28.299807603799
2015-03-30,28.872518295013
2015-03-31,29.15887364062
2015-04-01,29.642715431474
2015-04-02,30.373415278885
2015-04-06,30.106808577803
2015-04-07,30.403038245672
2015-04-08,30.284546378524
2015-04-09,31.183109704395
2015-04-10,30.610399013181
2015-04-13,30.363540956623
2015-04-14,31.104115126296
2015-04-15,32.368028375873
2015-04-16,32.614886432431
2015-04-17,32.456897276234
2015-04-20,32.486520243021
2015-04-21,32.348279731348
2015-04-22,32.338405409086
2015-04-23,32.565514821119
2015-04-24,32.614886432431
2015-04-27,32.308782442299
2015-04-28,33.157974156858
2015-04-29,33.246843057219
2015-04-30,33.394957891154
2015-05-01,33.503575436039
2015-05-04,33.898548326532
2015-05-05,33.552947047351
2015-05-06,33.71102924781
2015-05-07,33.839471035682
2015-05-08,34.639762175504
2015-05-11,34.550840937746
2015-05-12,34.708923138205
2015-05-13,34.699043000676
2015-05-14,34.89664575125
2015-05-15,34.975686851479
2015-05-18,34.728683413262
2015-05-19,34.580481350332
2015-05-20,34.531080662689
2015-05-21,34.570601212804
2015-05-22,34.679282725619
2015-05-26,34.284077224472
2015-05-27,34.214916261772
2015-05-28,33.444265534536
2015-05-29,33.552947047351
2015-06-01,33.730789522867
2015-06-02,33.760429935453
2015-06-03,33.730789522867
2015-06-04,33.701149110281
2015-06-05,33.444265534536
2015-06-08,33.404744984421
2015-06-09,33.48378608465
2015-06-10,33.543066909822
2015-06-11,33.56282718488
2015-06-12,33.394864846892
2015-06-15,33.493666222179
2015-06-16,33.681388835224
2015-06-17,33.701149110281
2015-06-18,33.177501821262
2015-06-19,32.713135357414
2015-06-22,32.811936732701
2015-06-23,32.22900861851
2015-06-24,31.93260449265
2015-06-25,31.527518853974
2015-06-26,31.596679816675
2015-06-29,31.092792802713
2015-06-30,31.161953765414
2015-07-01,30.628426338866
2015-07-02,30.658066751452
2015-07-06,30.233220837719
2015-07-07,30.144299599961
2015-07-08,29.235326947324
2015-07-09,29.225446809795
2015-07-10,28.948802958992
2015-07-13,29.373648872725
2015-07-14,29.541611210712
2015-07-15,29.057484471808
2015-07-16,29.156285847094
2015-07-17,28.662278970661
2015-07-20,28.346114569744
2015-07-21,28.099111131527
2015-07-22,27.575463842508
2015-07-23,27.269179579119
2015-07-24,26.182364450966
2015-07-27,26.123083625794
2015-07-28,26.478768576826
2015-07-29,26.083563075679
2015-07-30,25.70811784959
2015-07-31,25.846439774991
2015-08-03,25.253631523271
2015-08-04,25.214080025192
2015-08-05,25.036098283838
2015-08-06,25.125089154515
2015-08-07,24.620807554011
2015-08-10,25.550267758862
2015-08-11,25.777688872814
2015-08-12,26.717036952184
2015-08-13,26.667597579586
2015-08-14,26.677485454106
2015-08-17,26.479727963712
2015-08-18,26.321521971397
2015-08-19,25.530492009822
