date,AGN
2015-01-02,244.5820960444
2015-01-05,242.2790809001
2015-01-06,240.8444157282
2015-01-07,250.3396339052
2015-01-08,253.8602267283
2015-01-09,253.5959463019
2015-01-12,256.9938374984
2015-01-13,254.7474538741
2015-01-14,251.4628257174
2015-01-15,248.94272308
2015-01-16,253.5770691286
2015-01-20,253.9074196616
2015-01-21,260.2879042417
2015-01-22,262.4021476529
2015-01-23,263.4498307719
2015-01-26,269.0185968995
2015-01-27,264.4691981308
2015-01-28,258.5040113636
2015-01-29,257.9093804042
2015-01-30,251.5760887573
2015-02-02,252.7559120894
2015-02-03,253.2844729422
2015-02-04,251.2834925709
2015-02-05,259.2968526428
2015-02-06,261.07162995
2015-02-09,257.0689407039
2015-02-10,263.5166688998
2015-02-11,261.9778992132
2015-02-12,265.8956257158
2015-02-13,269.3979788061
2015-02-17,270.8423454444
2015-02-18,268.104657045
2015-02-19,273.2401828701
2015-02-20,279.2158958246
2015-02-23,276.0817146225
2015-02-24,272.9286528108
2015-02-25,274.1936536574
2015-02-26,273.6082539837
2015-02-27,275.1000789588
2015-03-02,280.7180274411
2015-03-03,279.6982989771
2015-03-04,279.6133216051
2015-03-05,279.1978766753
2015-03-06,273.7404410068
2015-03-09,277.2150713286
2015-03-10,271.5499131952
2015-03-11,276.5163684921
2015-03-12,281.9643622304
2015-03-13,282.2665039976
2015-03-16,287.9788717821
2015-03-17,290.3487962679
2015-03-18,296.4293993311
2015-03-19,296.8637281213
2015-03-20,299.3658396303
2015-03-23,297.3924762138
2015-03-24,291.8783889639
2015-03-25,283.8527482749
2015-03-26,284.5042414603
2015-03-27,286.6192338301
2015-03-30,287.7522654568
2015-03-31,281.010727278
2015-04-01,279.8871375815
2015-04-02,281.7188720447
2015-04-06,281.2184497429
2015-04-07,279.0656896522
2015-04-08,278.3292190948
2015-04-09,275.959294609
2015-04-10,278.3386610251
2015-04-13,277.6494001188
2015-04-14,281.52059151
2015-04-15,282.2381782069
2015-04-16,279.906021442
2015-04-17,280.4725372553
2015-04-20,278.886292978
2015-04-21,278.0931708393
2015-04-22,278.7446640246
2015-04-23,281.7094301144
2015-04-24,278.9240606988
2015-04-27,269.2744080116
2015-04-28,272.0220097063
2015-04-29,272.1447547992
2015-04-30,267.0744382698
2015-05-01,273.5704862628
2015-05-04,273.6365797743
2015-05-05,269.803156104
2015-05-06,267.4993251298
2015-05-07,271.2666552885
2015-05-08,276.4786007713
2015-05-11,284.9008025296
2015-05-12,280.2270470695
2015-05-13,279.1884347451
2015-05-14,280.8596563944
2015-05-15,280.0476503953
2015-05-18,279.2545282566
2015-05-19,281.775523626
2015-05-20,280.8974241153
2015-05-21,284.409822158
2015-05-22,284.5325672509
2015-05-26,283.3240001825
2015-05-27,289.6689772919
2015-05-28,295.6079514018
2015-05-29,289.6878611523
2015-06-01,291.9067147546
2015-06-02,288.6492488279
2015-06-03,289.3196258737
2015-06-04,286.4492790861
2015-06-05,285.4295506221
2015-06-08,281.9926880211
2015-06-09,280.3025825113
2015-06-10,284.4759156696
2015-06-11,285.0707572736
2015-06-12,282.2948297882
2015-06-15,284.5325672509
2015-06-16,281.3884044869
2015-06-17,282.115433114
2015-06-18,285.5900634358
2015-06-19,285.4956441336
2015-06-22,290.1033060821
2015-06-23,294.8903647049
2015-06-24,291.4346182435
2015-06-25,291.8972728244
2015-06-26,289.4895806177
2015-06-29,282.5497619042
2015-06-30,286.5248145278
2015-07-01,289.7822804546
2015-07-02,290.3487962679
2015-07-06,289.5839999199
2015-07-07,289.8672578266
2015-07-08,282.9463229736
2015-07-09,287.1290980621
2015-07-10,294.7109680306
2015-07-13,300.5838486289
2015-07-14,303.2087052308
2015-07-15,302.2645122085
2015-07-16,299.6585394672
2015-07-17,298.5632755614
2015-07-20,300.0173328156
2015-07-21,299.3091880489
2015-07-22,297.7512695622
2015-07-23,297.3735923533
2015-07-24,291.0097313835
2015-07-27,308.7322344108
2015-07-28,320.5535310492
2015-07-29,319.1277995857
2015-07-30,310.5167592229
2015-07-31,312.6695193136
2015-08-03,316.2291270074
2015-08-04,312.5278903602
2015-08-05,317.8531390056
2015-08-06,301.6413448138
2015-08-07,303.133169789
2015-08-10,303.9451757881
2015-08-11,299.7718426298
2015-08-12,298.1855983525
2015-08-13,298.0345274689
2015-08-14,296.9487054933
2015-08-17,303.3220083934
2015-08-18,302.4250250223
2015-08-19,301.0653870703
2015-08-20,290.2354931052
2015-08-21,281.9077106491
2015-08-24,275.534407749
2015-08-25,274.4108180526
2015-08-26,288.9041809439
2015-08-27,294.5882229377
2015-08-28,290.820892779
2015-08-31,286.7891885741
2015-09-01,277.7910290722
2015-09-02,282.8896713922
2015-09-03,280.840772534
2015-09-04,277.3472583517
2015-09-08,283.4278614149
2015-09-09,278.4614061179
2015-09-10,277.2150713286
2015-09-11,278.7635478851
2015-09-14,279.4433668611
2015-09-15,286.7891885741
2015-09-16,286.7891885741
2015-09-17,284.2493093443
2015-09-18,278.8107575362
2015-09-21,269.6804110111
2015-09-22,271.7009840787
2015-09-23,270.6151621032
2015-09-24,274.344724541
2015-09-25,263.4581789946
2015-09-28,240.6464755774
2015-09-29,238.0310609058
2015-09-30,256.6411053741
