Date,WHR
2015-01-02,125.43779754638672
2015-01-05,122.8512191772461
2015-01-06,121.83734893798828
2015-01-07,124.70342254638672
2015-01-08,127.92044830322266
2015-01-09,128.18038940429688
2015-01-12,129.30471801757812
2015-01-13,128.2713623046875
2015-01-14,129.1682891845703
2015-01-15,127.04304504394531
2015-01-16,130.09112548828125
2015-01-20,128.60279846191406
2015-01-21,128.4598388671875
2015-01-22,129.79217529296875
2015-01-23,130.5784912109375
2015-01-26,131.97581481933594
2015-01-27,131.19590759277344
2015-01-28,130.89700317382812
2015-01-29,132.54771423339844
2015-01-30,129.38270568847656
2015-02-02,130.70849609375
2015-02-03,130.6695556640625
2015-02-04,139.651123046875
2015-02-05,137.3505096435547
2015-02-06,137.2205352783203
2015-02-09,134.06851196289062
2015-02-10,135.23179626464844
2015-02-11,135.03684997558594
2015-02-12,138.4618377685547
2015-02-13,138.5788116455078
2015-02-17,138.76083374023438
2015-02-18,138.13687133789062
2015-02-19,137.9939422607422
2015-02-20,138.6048583984375
2015-02-23,138.559326171875
2015-02-24,139.2742156982422
2015-02-25,139.66554260253906
2015-02-26,138.78509521484375
2015-02-27,138.230712890625
2015-03-02,140.21990966796875
2015-03-03,139.8742218017578
2015-03-04,137.9307403564453
2015-03-05,137.49374389648438
2015-03-06,132.66754150390625
2015-03-09,134.1545867919922
2015-03-10,132.1001739501953
2015-03-11,128.2653350830078
2015-03-12,130.11752319335938
2015-03-13,128.88487243652344
2015-03-16,129.58273315429688
2015-03-17,128.43487548828125
2015-03-18,129.73277282714844
2015-03-19,126.61531829833984
2015-03-20,129.10008239746094
2015-03-23,128.58489990234375
2015-03-24,129.30226135253906
2015-03-25,126.58268737792969
2015-03-26,127.86096954345703
2015-03-27,129.4588623046875
2015-03-30,131.1153564453125
2015-03-31,131.7806396484375
2015-04-01,131.34365844726562
2015-04-02,130.6849822998047
2015-04-06,131.102294921875
2015-04-07,128.95663452148438
2015-04-08,127.91966247558594
2015-04-09,127.93270874023438
2015-04-10,127.61314392089844
2015-04-13,126.4848403930664
2015-04-14,127.7044677734375
2015-04-15,127.14356994628906
2015-04-16,124.79569244384766
2015-04-17,123.65435028076172
2015-04-20,127.07835388183594
2015-04-21,126.5044174194336
2015-04-22,125.06963348388672
2015-04-23,124.5152587890625
2015-04-24,128.14794921875
2015-04-27,129.02186584472656
2015-04-28,119.80646514892578
2015-04-29,116.7607650756836
2015-04-30,114.52378845214844
2015-05-01,116.94338989257812
2015-05-04,117.49121856689453
2015-05-05,117.13255310058594
2015-05-06,116.63687133789062
2015-05-07,119.03690338134766
2015-05-08,121.07820129394531
2015-05-11,121.94561767578125
2015-05-12,121.59999084472656
2015-05-13,122.98275756835938
2015-05-14,124.05754852294922
2015-05-15,123.09422302246094
2015-05-18,123.6708755493164
2015-05-19,124.53594970703125
2015-05-20,123.92650604248047
2015-05-21,125.85975646972656
