date,ABBV
2015-01-02,41.3455165667
2015-01-05,40.5674251941
2015-01-06,40.3666274205
2015-01-07,41.9981093309
2015-01-08,42.4373544606
2015-01-09,41.2764923321
2015-01-12,41.2639424712
2015-01-13,40.0842555514
2015-01-14,40.2802820417
2015-01-15,39.7680837929
2015-01-16,40.8114505961
2015-01-20,40.1221961625
2015-01-21,39.6479385246
2015-01-22,39.8249947094
2015-01-23,39.477205775
2015-01-26,39.7301431818
2015-01-27,39.9008759315
2015-01-28,39.110446535
2015-01-29,39.9135228018
2015-01-30,38.1619312593
2015-02-02,38.3832514903
2015-02-03,38.9839778316
2015-02-04,35.9866695604
2015-02-05,36.6696005589
2015-02-06,35.9803461252
2015-02-09,35.0824183309
2015-02-10,35.97402269
2015-02-11,35.8475539866
2015-02-12,36.0751976528
2015-02-13,36.7075411699
2015-02-17,37.1312113264
2015-02-18,37.4600299553
2015-02-19,37.3082675112
2015-02-20,38.7626576006
2015-02-23,38.3010468331
2015-02-24,38.4907498882
2015-02-25,38.332664009
2015-02-26,38.2694296572
2015-02-27,38.2567827869
2015-03-02,38.2314890462
2015-03-03,37.7003204918
2015-03-04,38.111343778
2015-03-05,35.9550523845
2015-03-06,35.1835932936
2015-03-09,35.1203589419
2015-03-10,35.310061997
2015-03-11,35.8032899404
2015-03-12,36.675923994
2015-03-13,36.675923994
2015-03-16,37.3841487332
2015-03-17,37.7698782787
2015-03-18,37.8710532414
2015-03-19,38.6930998137
2015-03-20,38.1935484352
2015-03-23,38.2441359166
2015-03-24,37.706643927
2015-03-25,36.8150395678
2015-03-26,36.2143132265
2015-03-27,36.454603763
2015-03-30,36.8276864382
2015-03-31,37.0173894933
2015-04-01,36.1068148286
2015-04-02,36.0499039121
2015-04-06,36.4293100224
2015-04-07,36.9415082712
2015-04-08,37.1881222429
2015-04-09,38.1429609538
2015-04-10,39.2052980626
2015-04-13,39.0219184426
2015-04-14,39.3534772268
2015-04-15,39.5511372712
2015-04-16,39.9082005772
2015-04-17,39.7169166633
2015-04-20,40.5139329713
2015-04-21,40.5585658846
2015-04-22,41.1387937568
2015-04-23,40.9666382343
2015-04-24,42.1270939788
2015-04-27,41.4576002801
2015-04-28,42.3948914583
2015-04-29,41.8465442384
2015-04-30,41.2280595833
2015-05-01,41.0112711476
2015-05-04,41.2408118443
2015-05-05,40.7179691462
2015-05-06,40.7689781899
2015-05-07,41.2535641052
2015-05-08,41.5978751503
2015-05-11,41.5723706284
2015-05-12,41.3237015403
2015-05-13,41.6361319331
2015-05-14,42.0633326742
2015-05-15,42.0760849351
2015-05-18,41.8337919775
2015-05-19,41.910305543
2015-05-20,42.0123236305
2015-05-21,41.8592964993
2015-05-22,41.7509022814
2015-05-26,42.1462223702
2015-05-27,42.9623670697
2015-05-28,43.0197522439
2015-05-29,42.458652763
2015-06-01,42.6754411988
2015-06-02,42.4777811544
2015-06-03,42.7264502425
2015-06-04,42.9878715915
2015-06-05,42.9751193306
2015-06-08,43.2237884187
2015-06-09,43.1472748532
2015-06-10,43.5107142896
2015-06-11,43.3831916803
2015-06-12,42.7519547644
2015-06-15,42.6626889379
2015-06-16,42.5734231113
2015-06-17,43.2110361578
2015-06-18,43.982547944
2015-06-19,44.3013544672
2015-06-22,44.709426817
2015-06-23,44.6456655123
2015-06-24,44.1355750751
2015-06-25,44.518142903
2015-06-26,44.9262152527
2015-06-29,42.8348444604
2015-06-30,42.8412205909
2015-07-01,43.6828698122
2015-07-02,43.4915858982
2015-07-06,43.4979620287
2015-07-07,43.7147504645
2015-07-08,43.1408987227
2015-07-09,43.3385587671
2015-07-10,44.1419512056
2015-07-13,44.6839222951
2015-07-14,44.831648357
2015-07-15,44.7995339957
2015-07-16,44.9536829299
2015-07-17,44.9536829299
2015-07-20,45.4739355828
2015-07-21,45.3069409041
2015-07-22,45.3197866486
2015-07-23,45.2940951596
2015-07-24,43.7269143287
2015-07-27,44.5361962332
2015-07-28,45.7501190898
2015-07-29,45.454666966
2015-07-30,45.0628717583
2015-07-31,44.9665286744
2015-08-03,44.7866882512
2015-08-04,44.9279914409
2015-08-05,45.1527919699
2015-08-06,44.4719675106
2015-08-07,44.0737494306
2015-08-10,44.4526988938
2015-08-11,43.8361031571
2015-08-12,44.15724677
2015-08-13,44.0223664526
2015-08-14,44.0930180474
2015-08-17,44.5554648499
