date,HCP
2015-01-02,37.954004644642
2015-01-05,38.334814055792
2015-01-06,39.062583152657
2015-01-07,39.891901425829
2015-01-08,39.358768250219
2015-01-09,39.401080407013
2015-01-12,40.027300327571
2015-01-13,39.951138445341
2015-01-14,40.399647307363
2015-01-15,40.755069424436
2015-01-16,40.797381581231
2015-01-20,40.763531855795
2015-01-21,40.179624092031
2015-01-22,40.645057816771
2015-01-23,40.746606993077
2015-01-26,40.695832404924
2015-01-27,40.585820797258
2015-01-28,40.518121346387
2015-01-29,40.577358365899
2015-01-30,40.018837896212
2015-02-02,39.925751151265
2015-02-03,39.612641190986
2015-02-04,38.385588643946
2015-02-05,38.728317113981
2015-02-06,37.545903892359
2015-02-09,37.391676080844
2015-02-10,36.569127752759
2015-02-11,36.492013847001
2015-02-12,36.560559541008
2015-02-13,36.731923776026
2015-02-17,36.826174105286
2015-02-18,37.314562175086
2015-02-19,36.809037681784
2015-02-20,37.237448269328
2015-02-23,37.468789986602
2015-02-24,36.123580741713
2015-02-25,36.243535706226
2015-02-26,35.79798869518
2015-02-27,36.294944976731
2015-03-02,36.140717165215
2015-03-03,36.174990012219
2015-03-04,35.79798869518
2015-03-05,35.935080083194
2015-03-06,34.564166203053
2015-03-09,34.821212555579
2015-03-10,34.812644343829
2015-03-11,34.255710580021
2015-03-12,34.555597991302
2015-03-13,34.43564302679
2015-03-16,34.752666861572
2015-03-17,34.915462884839
2015-03-18,35.695170154169
2015-03-19,35.335305260632
2015-03-20,36.363490670738
2015-03-23,36.346354247236
2015-03-24,36.38062709424
2015-03-25,35.823693330432
2015-03-26,35.857966177436
2015-03-27,36.115012529962
2015-03-30,37.537335680609
2015-03-31,37.023242975556
2015-04-01,37.35740323384
2015-04-02,37.691563492124
2015-04-06,38.205656197177
2015-04-07,37.897200574146
2015-04-08,37.631586009868
2015-04-09,36.689082717271
2015-04-10,36.534854905756
2015-04-13,36.312081400233
2015-04-14,36.586264176261
2015-04-15,36.851878740538
2015-04-16,36.894719799293
2015-04-17,37.031811187307
