Date,OMC
2015-01-02,52.098167419433594
2015-01-05,51.16502380371094
2015-01-06,50.828826904296875
2015-01-07,51.000362396240234
2015-01-08,51.8031120300293
2015-01-09,51.350284576416016
2015-01-12,51.048362731933594
2015-01-13,51.06895446777344
2015-01-14,51.24049377441406
2015-01-15,50.190704345703125
2015-01-16,50.48574447631836
2015-01-20,50.595523834228516
2015-01-21,51.2061882019043
2015-01-22,51.761962890625
2015-01-23,51.02094268798828
2015-01-26,51.17874526977539
2015-01-27,50.62296676635742
2015-01-28,50.33481979370117
2015-01-29,50.9042854309082
2015-01-30,49.950565338134766
2015-02-02,50.190704345703125
2015-02-03,50.93857955932617
2015-02-04,50.828826904296875
2015-02-05,51.624725341796875
2015-02-06,51.370853424072266
2015-02-09,52.01582336425781
2015-02-10,51.59042739868164
2015-02-11,51.89232635498047
2015-02-12,52.46866989135742
2015-02-13,53.21656036376953
2015-02-17,52.96955108642578
2015-02-18,53.05875015258789
2015-02-19,53.44983673095703
2015-02-20,53.477294921875
2015-02-23,53.40182113647461
2015-02-24,53.60765838623047
2015-02-25,54.30751419067383
2015-02-26,55.0279541015625
2015-02-27,54.575103759765625
2015-03-02,55.24751281738281
2015-03-03,54.84955978393555
2015-03-04,54.259483337402344
2015-03-05,54.06614303588867
2015-03-06,53.244449615478516
2015-03-09,53.638031005859375
2015-03-10,52.864681243896484
2015-03-11,52.72657775878906
2015-03-12,53.65184020996094
2015-03-13,53.20992660522461
2015-03-16,53.85210418701172
2015-03-17,53.265159606933594
2015-03-18,53.948768615722656
2015-03-19,54.017826080322266
2015-03-20,54.07305145263672
2015-03-23,54.18354797363281
2015-03-24,53.85210418701172
2015-03-25,53.34111785888672
2015-03-26,53.06491470336914
2015-03-27,53.18229293823242
2015-03-30,53.88661193847656
2015-03-31,53.845184326171875
2015-04-01,53.638031005859375
2015-04-02,54.356163024902344
2015-04-06,54.56331253051758
2015-04-07,54.045433044433594
2015-04-08,54.487342834472656
2015-04-09,53.941856384277344
2015-04-10,54.287105560302734
2015-04-13,53.45851135253906
2015-04-14,53.824466705322266
2015-04-15,53.437782287597656
2015-04-16,53.437782287597656
2015-04-17,53.127079010009766
2015-04-20,53.7761344909668
2015-04-21,52.91990280151367
2015-04-22,53.762332916259766
2015-04-23,53.72087860107422
2015-04-24,53.513755798339844
2015-04-27,53.3480339050293
2015-04-28,52.719661712646484
2015-04-29,52.64370346069336
2015-04-30,52.31228256225586
2015-05-01,52.99587631225586
2015-05-04,53.21681594848633
2015-05-05,52.664432525634766
2015-05-06,52.29844665527344
2015-05-07,52.67823791503906
2015-05-08,53.23064041137695
2015-05-11,53.09253692626953
2015-05-12,52.76799774169922
2015-05-13,53.00278854370117
2015-05-14,53.713993072509766
2015-05-15,53.948768615722656
2015-05-18,53.872802734375
2015-05-19,53.713993072509766
2015-05-20,53.562068939208984
2015-05-21,53.57588195800781
2015-05-22,53.14778137207031
