Date,ZTS
2015-01-02,39.41022872924805
2015-01-05,39.17365646362305
2015-01-06,38.79147720336914
2015-01-07,39.59223175048828
2015-01-08,40.20193099975586
2015-01-09,40.2656135559082
2015-01-12,39.510353088378906
2015-01-13,38.955265045166016
2015-01-14,39.15545654296875
2015-01-15,39.07355880737305
2015-01-16,40.238311767578125
2015-01-20,39.712284088134766
2015-01-21,40.341331481933594
2015-01-22,40.57835388183594
2015-01-23,40.222816467285156
2015-01-26,40.195465087890625
2015-01-27,39.475242614746094
2015-01-28,39.302024841308594
2015-01-29,39.49346923828125
2015-01-30,38.95558547973633
2015-02-02,39.548187255859375
2015-02-03,39.65756607055664
2015-02-04,39.6211051940918
2015-02-05,39.566402435302734
2015-02-06,39.803443908691406
2015-02-09,39.083213806152344
2015-02-10,40.0313606262207
2015-02-11,41.72706604003906
2015-02-12,41.745304107666016
2015-02-13,41.44444274902344
2015-02-17,42.119075775146484
2015-02-18,41.799991607666016
2015-02-19,41.6176643371582
2015-02-20,41.57207489013672
2015-02-23,41.553855895996094
2015-02-24,41.38975524902344
2015-02-25,41.68146514892578
2015-02-26,42.50198745727539
2015-02-27,42.018802642822266
2015-03-02,43.13103103637695
2015-03-03,42.429046630859375
2015-03-04,42.146419525146484
2015-03-05,42.35611343383789
2015-03-06,41.73617172241211
2015-03-09,42.20111846923828
2015-03-10,41.66324234008789
2015-03-11,41.94586181640625
2015-03-12,42.702545166015625
2015-03-13,42.34700012207031
2015-03-16,42.83018493652344
2015-03-17,42.985172271728516
2015-03-18,43.313358306884766
2015-03-19,43.22218704223633
2015-03-20,43.15838623046875
2015-03-23,42.985172271728516
2015-03-24,42.86664581298828
2015-03-25,42.18290328979492
2015-03-26,42.03701400756836
2015-03-27,42.13731002807617
2015-03-30,42.77547836303711
2015-03-31,42.20111846923828
2015-04-01,42.18290328979492
2015-04-02,42.392578125
2015-04-06,42.237606048583984
2015-04-07,42.340797424316406
2015-04-08,42.20380401611328
2015-04-09,42.51433563232422
2015-04-10,43.08057403564453
2015-04-13,42.61478805541992
2015-04-14,42.833984375
2015-04-15,42.92532730102539
2015-04-16,43.05318069458008
2015-04-17,42.71525573730469
2015-04-20,42.961856842041016
2015-04-21,43.41850662231445
2015-04-22,42.95271682739258
2015-04-23,42.97098922729492
2015-04-24,43.756412506103516
2015-04-27,42.770057678222656
2015-04-28,41.76541519165039
2015-04-29,41.299625396728516
2015-04-30,40.5689811706543
2015-05-01,40.742515563964844
2015-05-04,41.46403121948242
2015-05-05,41.71974182128906
2015-05-06,41.36357116699219
2015-05-07,41.61015319824219
2015-05-08,41.92068099975586
2015-05-11,42.09420394897461
2015-05-12,41.628414154052734
2015-05-13,41.66495132446289
2015-05-14,42.267723083496094
2015-05-15,42.459537506103516
2015-05-18,42.67871856689453
2015-05-19,43.3363037109375
2015-05-20,43.18101501464844
2015-05-21,43.65594482421875
2015-05-22,43.500709533691406
2015-05-26,43.79296875
