Date,SRE
2015-01-02,39.526283264160156
2015-01-05,38.80338668823242
2015-01-06,38.44017791748047
2015-01-07,39.060813903808594
2015-01-08,39.409908294677734
2015-01-09,39.05375671386719
2015-01-12,38.84218215942383
2015-01-13,39.074920654296875
2015-01-14,39.30411911010742
2015-01-15,39.543914794921875
2015-01-16,39.82954788208008
2015-01-20,40.08344268798828
2015-01-21,40.3761100769043
2015-01-22,40.3796501159668
2015-01-23,40.58064270019531
2015-01-26,40.3867073059082
2015-01-27,40.39023208618164
2015-01-28,39.967063903808594
2015-01-29,40.531280517578125
2015-01-30,39.466339111328125
2015-02-02,39.91065216064453
2015-02-03,40.132808685302734
2015-02-04,39.5051155090332
2015-02-05,39.99528884887695
2015-02-06,38.1580810546875
2015-02-09,38.04171371459961
2015-02-10,38.923274993896484
2015-02-11,37.77372360229492
2015-02-12,37.61502456665039
2015-02-13,37.22360610961914
2015-02-17,37.47043991088867
2015-02-18,38.68701934814453
2015-02-19,38.50718688964844
2015-02-20,38.76813888549805
2015-02-23,38.983238220214844
2015-02-24,38.88449478149414
2015-02-25,38.30970001220703
2015-02-26,38.242706298828125
2015-02-27,38.154563903808594
2015-03-02,37.7772331237793
2015-03-03,38.32028579711914
2015-03-04,38.052284240722656
2015-03-05,38.36965560913086
2015-03-06,37.73139190673828
2015-03-09,38.08402633666992
2015-03-10,37.66087341308594
2015-03-11,37.43165588378906
2015-03-12,38.25681686401367
2015-03-13,37.50571823120117
2015-03-16,38.337921142578125
2015-03-17,38.52833557128906
2015-03-18,39.60385513305664
2015-03-19,39.029083251953125
2015-03-20,39.42402267456055
2015-03-23,39.32879638671875
2015-03-24,39.13486099243164
2015-03-25,38.8403205871582
2015-03-26,38.031219482421875
2015-03-27,38.50320053100586
2015-03-30,38.918392181396484
2015-03-31,38.68772506713867
2015-04-01,38.98582077026367
2015-04-02,39.02484893798828
2015-04-06,39.20228576660156
2015-04-07,38.96808624267578
2015-04-08,38.542236328125
2015-04-09,38.290279388427734
2015-04-10,38.27252960205078
2015-04-13,38.300926208496094
2015-04-14,38.44287109375
2015-04-15,38.52448654174805
2015-04-16,38.1838264465332
2015-04-17,37.85378646850586
2015-04-20,38.4890022277832
2015-04-21,38.11638641357422
2015-04-22,38.244140625
2015-04-23,38.52448654174805
2015-04-24,38.86160659790039
2015-04-27,38.478355407714844
2015-04-28,38.67353820800781
2015-04-29,38.19800567626953
2015-04-30,37.676353454589844
2015-05-01,37.89992141723633
2015-05-04,38.25832748413086
2015-05-05,37.02339172363281
2015-05-06,36.62948989868164
2015-05-07,36.83176040649414
2015-05-08,37.566349029541016
2015-05-11,37.25761032104492
2015-05-12,37.39601516723633
2015-05-13,36.998558044433594
2015-05-14,37.417293548583984
2015-05-15,37.921226501464844
2015-05-18,38.11994171142578
2015-05-19,38.26189041137695
2015-05-20,38.23704528808594
2015-05-21,38.21575164794922
2015-05-22,38.1838264465332
2015-05-26,38.00282287597656
2015-05-27,38.112850189208984
2015-05-28,38.31866455078125
2015-05-29,38.13768005371094
2015-06-01,38.18027114868164
2015-06-02,37.72248458862305
2015-06-03,37.17598342895508
2015-06-04,37.01274871826172
2015-06-05,36.86015319824219
2015-06-08,36.56562042236328
2015-06-09,36.56915283203125
2015-06-10,36.668521881103516
2015-06-11,36.92048645019531
2015-06-12,36.50174331665039
2015-06-15,36.40592956542969
2015-06-16,36.48044204711914
2015-06-17,37.03759765625
