Date,SHW
2015-01-02,78.7527084350586
2015-01-05,78.51861572265625
2015-01-06,78.28153991699219
2015-01-07,79.61690521240234
2015-01-08,81.79547882080078
2015-01-09,82.34762573242188
2015-01-12,81.35135650634766
2015-01-13,80.7632064819336
2015-01-14,80.78723907470703
2015-01-15,81.19830322265625
2015-01-16,82.16755676269531
2015-01-20,81.77449035644531
2015-01-21,81.9875259399414
2015-01-22,83.15483856201172
2015-01-23,82.22457885742188
2015-01-26,82.60865783691406
2015-01-27,82.27559661865234
2015-01-28,81.30032348632812
2015-01-29,82.482666015625
2015-01-30,81.40239715576172
2015-02-02,81.8794937133789
2015-02-03,82.09253692626953
2015-02-04,82.25159454345703
2015-02-05,83.39188385009766
2015-02-06,84.11510467529297
2015-02-09,82.33863067626953
2015-02-10,84.04006958007812
2015-02-11,83.40691375732422
2015-02-12,84.92829895019531
2015-02-13,85.52247619628906
2015-02-17,85.85254669189453
2015-02-18,86.43769836425781
2015-02-19,86.05060577392578
2015-02-20,86.94783782958984
2015-02-23,86.89080047607422
2015-02-24,87.20890808105469
2015-02-25,86.34768676757812
2015-02-26,86.5341567993164
2015-02-27,85.7822036743164
2015-03-02,87.49364471435547
2015-03-03,86.00180053710938
2015-03-04,85.99575805664062
2015-03-05,86.97630310058594
2015-03-06,86.15516662597656
2015-03-09,85.94461822509766
2015-03-10,84.65729522705078
2015-03-11,84.50389099121094
2015-03-12,85.79124450683594
2015-03-13,85.79423522949219
2015-03-16,86.6664810180664
2015-03-17,86.03787994384766
2015-03-18,85.06033325195312
2015-03-19,85.56864166259766
2015-03-20,87.22594451904297
2015-03-23,86.58228302001953
2015-03-24,85.980712890625
2015-03-25,84.62421417236328
2015-03-26,84.01360321044922
2015-03-27,84.72344207763672
2015-03-30,85.49346923828125
2015-03-31,85.57166290283203
2015-04-01,85.96869659423828
2015-04-02,85.52654266357422
2015-04-06,86.28752136230469
2015-04-07,86.50406646728516
2015-04-08,87.42147064208984
2015-04-09,87.5417709350586
2015-04-10,87.42147064208984
