Date,PEP
2015-01-02,67.28345489501953
2015-01-05,66.77762603759766
2015-01-06,66.27177429199219
2015-01-07,68.20964813232422
2015-01-08,69.44927215576172
2015-01-09,68.97908020019531
2015-01-12,68.69408416748047
2015-01-13,68.64422607421875
2015-01-14,68.87222290039062
2015-01-15,68.87222290039062
2015-01-16,69.31391143798828
2015-01-20,69.47066497802734
2015-01-21,69.3923110961914
2015-01-22,70.4609603881836
2015-01-23,70.19734954833984
2015-01-26,70.31136322021484
2015-01-27,68.90782928466797
2015-01-28,68.19540405273438
2015-01-29,68.41624450683594
2015-01-30,66.81324005126953
2015-02-02,67.91755676269531
2015-02-03,68.537353515625
2015-02-04,68.82233428955078
2015-02-05,68.82946014404297
2015-02-06,68.90071868896484
2015-02-09,68.37351989746094
2015-02-10,69.8126220703125
2015-02-11,71.52963256835938
2015-02-12,71.43700408935547
2015-02-13,70.62483215332031
2015-02-17,70.07626342773438
2015-02-18,70.76731872558594
2015-02-19,70.33270263671875
2015-02-20,70.57494354248047
2015-02-23,70.8528060913086
2015-02-24,70.9454345703125
2015-02-25,70.888427734375
2015-02-26,70.58209228515625
2015-02-27,70.51795196533203
2015-03-02,70.53221893310547
2015-03-03,70.10474395751953
2015-03-04,69.82859802246094
2015-03-05,69.73536682128906
2015-03-06,68.97511291503906
2015-03-09,68.88189697265625
2015-03-10,67.72716522216797
2015-03-11,67.15337371826172
2015-03-12,68.64519500732422
2015-03-13,67.64826202392578
2015-03-16,68.45872497558594
2015-03-17,67.51200103759766
2015-03-18,67.8777847290039
2015-03-19,67.49047088623047
2015-03-20,68.37983703613281
2015-03-23,68.7455825805664
2015-03-24,68.75279235839844
2015-03-25,68.32246398925781
2015-03-26,68.58780670166016
2015-03-27,68.81732177734375
2015-03-30,69.22613525390625
2015-03-31,68.58064270019531
2015-04-01,68.20051574707031
2015-04-02,68.63085174560547
2015-04-06,69.19747161865234
2015-04-07,69.00381469726562
2015-04-08,68.87470245361328
2015-04-09,69.1042251586914
2015-04-10,68.99663543701172
2015-04-13,68.51611328125
2015-04-14,69.20465850830078
2015-04-15,69.30504608154297
2015-04-16,69.17594909667969
2015-04-17,68.71691131591797
2015-04-20,69.2118148803711
2015-04-21,69.41262817382812
2015-04-22,69.77123260498047
2015-04-23,68.6595230102539
2015-04-24,68.25789642333984
2015-04-27,67.77017974853516
2015-04-28,67.719970703125
2015-04-29,67.69129943847656
2015-04-30,68.2220458984375
2015-05-01,68.53761291503906
2015-05-04,68.81732177734375
2015-05-05,68.43721008300781
2015-05-06,68.48023986816406
2015-05-07,68.24356842041016
2015-05-08,69.2476806640625
2015-05-11,69.1042251586914
2015-05-12,68.99663543701172
2015-05-13,69.14726257324219
2015-05-14,70.28765106201172
2015-05-15,70.44544219970703
2015-05-18,70.3235092163086
2015-05-19,70.25177001953125
2015-05-20,70.06529998779297
2015-05-21,69.7138442993164
2015-05-22,69.03965759277344
2015-05-26,68.70256805419922
2015-05-27,69.12572479248047
2015-05-28,69.61344146728516
2015-05-29,69.16160583496094
2015-06-01,68.83169555664062
2015-06-02,68.88906860351562
2015-06-03,68.8551025390625
2015-06-04,68.01699829101562
2015-06-05,67.22943115234375
2015-06-08,67.07774353027344
2015-06-09,67.24391174316406
2015-06-10,67.69185638427734
2015-06-11,67.9808578491211
2015-06-12,67.72799682617188
2015-06-15,66.93321990966797
2015-06-16,67.5907211303711
2015-06-17,67.95194244384766
2015-06-18,68.8045425415039
2015-06-19,68.53720092773438
2015-06-22,69.0718765258789
2015-06-23,69.0718765258789
2015-06-24,68.84786224365234
2015-06-25,68.51551818847656
2015-06-26,68.57331848144531
2015-06-29,67.69185638427734
2015-06-30,67.43900299072266
2015-07-01,68.2915267944336
2015-07-02,68.39268493652344
2015-07-06,68.20484924316406
2015-07-07,69.64987182617188
2015-07-08,69.0790786743164
2015-07-09,68.34213256835938
2015-07-10,69.03572845458984
2015-07-13,70.24231719970703
2015-07-14,70.17727661132812
2015-07-15,69.61373138427734
2015-07-16,70.01113891601562
2015-07-17,69.92440795898438
2015-07-20,70.30734252929688
2015-07-21,70.03279113769531
2015-07-22,70.2061996459961
2015-07-23,69.98944091796875
2015-07-24,69.49090576171875
2015-07-27,69.11521911621094
2015-07-28,69.44032287597656
2015-07-29,69.74378204345703
2015-07-30,69.81603240966797
2015-07-31,69.61373138427734
2015-08-03,70.40849304199219
2015-08-04,70.66861724853516
2015-08-05,71.6656723022461
2015-08-06,71.63675689697266
2015-08-07,71.60063171386719
2015-08-10,71.59339141845703
2015-08-11,71.25382232666016
2015-08-12,71.0804214477539
2015-08-13,71.37666320800781
2015-08-14,71.6945571899414
2015-08-17,72.14972686767578
2015-08-18,72.08472442626953
2015-08-19,71.52115631103516
2015-08-20,70.7914047241211
2015-08-21,69.54148864746094
2015-08-24,66.34800720214844
2015-08-25,64.76570129394531
2015-08-26,66.8248519897461
2015-08-27,67.62681579589844
2015-08-28,67.57627868652344
2015-08-31,67.14275360107422
2015-09-01,65.98674011230469
2015-09-02,66.72431182861328
2015-09-03,67.08111572265625
2015-09-04,66.20008087158203
2015-09-08,67.25585174560547
2015-09-09,66.13455963134766
2015-09-10,66.302001953125
2015-09-11,66.70976257324219
