date,AET
2015-01-02,85.1855588767
2015-01-05,84.0344026757
2015-01-06,84.1591112641
2015-01-07,85.8474736923
2015-01-08,88.6294345115
2015-01-09,87.3343837853
2015-01-12,85.8762525973
2015-01-13,86.8931072416
2015-01-14,86.469848444
2015-01-15,87.0566390497
2015-01-16,89.0382597839
2015-01-20,88.4803277325
2015-01-21,91.1353147356
2015-01-22,92.453188719
2015-01-23,90.8852072643
2015-01-26,90.6543388293
2015-01-27,90.1348848504
2015-01-28,89.1633135196
2015-01-29,90.0483091872
2015-01-30,88.3264154425
2015-02-02,88.7111961676
2015-02-03,90.5966217205
2015-02-04,92.3954716102
2015-02-05,92.9149255891
2015-02-06,90.9429243731
2015-02-09,90.1733629229
2015-02-10,92.1068860664
2015-02-11,92.7898718535
2015-02-12,93.3862819773
2015-02-13,92.4628082371
2015-02-17,92.9437841435
2015-02-18,93.2035111329
2015-02-19,92.9630231797
2015-02-20,94.1943215
2015-02-23,96.8493085031
2015-02-24,96.3587130786
2015-02-25,95.7334444003
2015-02-26,95.5314345197
2015-02-27,95.7623029547
2015-03-02,96.6761571768
2015-03-03,95.9931713898
2015-03-04,97.8785969427
2015-03-05,98.205660559
2015-03-06,96.8396889849
2015-03-09,97.6669675439
2015-03-10,96.3490935605
2015-03-11,96.2336593429
2015-03-12,98.2345191134
2015-03-13,100.1295641844
2015-03-16,102.0342287735
2015-03-17,101.389721059
2015-03-18,103.3905808295
2015-03-19,104.189000834
2015-03-20,104.4968254141
2015-03-23,105.1028550561
2015-03-24,104.6026401135
2015-03-25,103.207809985
2015-03-26,101.8803164835
2015-03-27,103.3136246844
2015-03-30,104.4391083053
2015-03-31,102.4767266074
2015-04-01,102.8037902237
2015-04-02,103.0731367313
2015-04-06,103.7272639639
2015-04-07,102.9673220319
2015-04-08,103.6133385668
2015-04-09,103.8640315505
2015-04-10,104.0472302693
2015-04-13,103.8351054369
2015-04-14,104.0183041558
2015-04-15,102.2827373456
2015-04-16,105.5128200201
2015-04-17,103.8640315505
2015-04-20,103.4108557722
2015-04-21,104.4811219718
2015-04-22,104.0857984206
