Date,MCD
2015-01-02,70.27790069580078
2015-01-05,69.5016860961914
2015-01-06,69.62982940673828
2015-01-07,70.8430404663086
2015-01-08,71.10682678222656
2015-01-09,70.24021911621094
2015-01-12,70.08949279785156
2015-01-13,69.95382690429688
2015-01-14,68.98173522949219
2015-01-15,68.86116027832031
2015-01-16,68.94406127929688
2015-01-20,68.42407989501953
2015-01-21,68.07745361328125
2015-01-22,68.49193572998047
2015-01-23,67.48968505859375
2015-01-26,68.32613372802734
2015-01-27,67.4972152709961
2015-01-28,66.90188598632812
2015-01-29,70.28541564941406
2015-01-30,69.65995788574219
2015-02-02,69.71270751953125
2015-02-03,70.77523803710938
2015-02-04,70.87319946289062
2015-02-05,71.09172821044922
2015-02-06,70.82797241210938
2015-02-09,69.87095642089844
2015-02-10,70.85059356689453
2015-02-11,70.9937515258789
2015-02-12,71.65692138671875
2015-02-13,72.07892608642578
2015-02-17,71.09928894042969
2015-02-18,71.2725601196289
2015-02-19,70.97869873046875
2015-02-20,70.97869873046875
2015-02-23,71.06912994384766
2015-02-24,71.57405090332031
2015-02-25,74.34717559814453
2015-02-26,75.63936614990234
2015-02-27,75.17567443847656
2015-03-02,76.01183319091797
2015-03-03,75.8141860961914
2015-03-04,76.20185852050781
2015-03-05,75.33531951904297
2015-03-06,73.83026885986328
2015-03-09,74.2711181640625
2015-03-10,73.19178009033203
2015-03-11,72.18079376220703
2015-03-12,73.161376953125
2015-03-13,73.23738861083984
2015-03-16,73.84546661376953
2015-03-17,73.10055541992188
2015-03-18,73.73145294189453
2015-03-19,72.9561538696289
2015-03-20,73.76947021484375
2015-03-23,74.96286010742188
2015-03-24,75.52536010742188
2015-03-25,74.59798431396484
2015-03-26,74.21794891357422
2015-03-27,73.7010269165039
2015-03-30,74.4003677368164
2015-03-31,74.06591796875
2015-04-01,73.19178009033203
2015-04-02,72.84213256835938
2015-04-06,73.18417358398438
2015-04-07,73.23738861083984
2015-04-08,73.6174545288086
2015-04-09,73.38941955566406
2015-04-10,74.33956909179688
2015-04-13,74.06591796875
2015-04-14,74.17232513427734
2015-04-15,73.3057861328125
2015-04-16,72.69010162353516
2015-04-17,72.12001037597656
2015-04-20,73.10816955566406
2015-04-21,72.11239624023438
2015-04-22,74.36996459960938
2015-04-23,73.73145294189453
2015-04-24,75.05406188964844
2015-04-27,73.3057861328125
2015-04-28,73.60225677490234
2015-04-29,73.74667358398438
2015-04-30,73.38941955566406
2015-05-01,74.33956909179688
2015-05-04,73.07014465332031
2015-05-05,73.07014465332031
2015-05-06,73.26778411865234
2015-05-07,73.56423950195312
2015-05-08,74.6663818359375
2015-05-11,74.1191177368164
2015-05-12,74.45355987548828
2015-05-13,73.99749755859375
2015-05-14,74.2711181640625
2015-05-15,74.5219497680664
2015-05-18,74.50679779052734
2015-05-19,76.52869415283203
2015-05-20,76.0954360961914
2015-05-21,75.46451568603516
2015-05-22,75.24408721923828
2015-05-26,74.84122467041016
2015-05-27,74.99327087402344
2015-05-28,73.97351837158203
2015-05-29,73.55181121826172
2015-06-01,73.77415466308594
2015-06-02,73.82783508300781
2015-06-03,74.00418090820312
2015-06-04,73.84317779541016
2015-06-05,73.2528076171875
2015-06-08,73.08411407470703
2015-06-09,72.63175964355469
2015-06-10,73.06877136230469
2015-06-11,73.2911148071289
2015-06-12,72.8847427368164
2015-06-15,72.30205535888672
2015-06-16,72.55506896972656
2015-06-17,73.00743103027344
2015-06-18,73.73582458496094
2015-06-19,73.66682434082031
2015-06-22,74.27252960205078
2015-06-23,74.51024627685547
2015-06-24,74.09617614746094
2015-06-25,73.44446563720703
2015-06-26,74.59455108642578
2015-06-29,73.17611694335938
2015-06-30,72.89242553710938
2015-07-01,73.42145538330078
2015-07-02,73.73582458496094
2015-07-06,73.33715057373047
2015-07-07,74.12686920166016
2015-07-08,73.4828109741211
2015-07-09,73.9811782836914
2015-07-10,74.87060546875
2015-07-13,75.46863555908203
2015-07-14,75.73698425292969
2015-07-15,75.95934295654297
2015-07-16,75.03158569335938
2015-07-17,74.75557708740234
2015-07-20,74.7479019165039
2015-07-21,74.6175765991211
2015-07-22,74.81690979003906
2015-07-23,74.44119262695312
2015-07-24,73.68216705322266
2015-07-27,73.63614654541016
2015-07-28,74.62522888183594
2015-07-29,75.29995727539062
2015-07-30,76.0360107421875
2015-07-31,76.56504821777344
2015-08-03,76.22770690917969
2015-08-04,76.01299285888672
2015-08-05,76.51905059814453
2015-08-06,76.17400360107422
2015-08-07,75.84432220458984
2015-08-10,76.20465850830078
2015-08-11,75.75997924804688
2015-08-12,75.35363006591797
2015-08-13,76.18931579589844
2015-08-14,76.11266326904297
2015-08-17,77.17842102050781
2015-08-18,77.25509643554688
2015-08-19,77.5157699584961
2015-08-20,76.48837280273438
2015-08-21,74.47187805175781
2015-08-24,71.20565032958984
2015-08-25,69.93287658691406
2015-08-26,72.95377349853516
2015-08-27,74.62522888183594
2015-08-28,74.44732666015625
2015-08-31,73.49593353271484
2015-09-01,72.29705810546875
2015-09-02,74.2848892211914
2015-09-03,74.26167297363281
2015-09-04,73.36446380615234
2015-09-08,74.8572769165039
2015-09-09,73.81307220458984
2015-09-10,73.67384338378906
2015-09-11,75.34456634521484
2015-09-14,75.00424194335938
2015-09-15,75.9478759765625
2015-09-16,76.3346176147461
2015-09-17,75.67716217041016
2015-09-18,75.06610870361328
2015-09-21,75.72354888916016
2015-09-22,75.18213653564453
2015-09-23,75.32136535644531
2015-09-24,75.2517318725586
2015-09-25,75.48377990722656
2015-09-28,74.22301483154297
2015-09-29,75.39871978759766
2015-09-30,76.21085357666016
2015-10-01,76.40422821044922
2015-10-02,77.1854476928711
2015-10-05,78.25284576416016
2015-10-06,78.8174819946289
2015-10-07,78.71691131591797
2015-10-08,79.62960052490234
2015-10-09,79.48268127441406
2015-10-12,79.85393524169922
2015-10-13,79.96224212646484
2015-10-14,79.5290756225586
2015-10-15,80.17880249023438
2015-10-16,81.07601165771484
2015-10-19,80.82079315185547
2015-10-20,80.31802368164062
2015-10-21,79.31251525878906
2015-10-22,85.75558471679688
2015-10-23,87.08596801757812
2015-10-26,86.76883697509766
2015-10-27,86.35115051269531
2015-10-28,87.3566665649414
2015-10-29,87.10916137695312
2015-10-30,86.82299041748047
2015-11-02,86.71470642089844
2015-11-03,86.69149017333984
2015-11-04,86.93900299072266
2015-11-05,87.28707122802734
2015-11-06,87.64286804199219
2015-11-09,87.34894561767578
2015-11-10,87.57325744628906
2015-11-11,88.06053924560547
2015-11-12,86.71470642089844
2015-11-13,85.05945587158203
2015-11-16,85.90255737304688
2015-11-17,85.80973052978516
2015-11-18,87.03955078125
2015-11-19,87.63511657714844
2015-11-20,88.10697937011719
2015-11-23,88.54010009765625
2015-11-24,88.39314270019531
2015-11-25,88.48597717285156
2015-11-27,89.04724884033203
2015-11-30,88.99269104003906
2015-12-01,89.21875
2015-12-02,88.64967346191406
2015-12-03,88.39242553710938
2015-12-04,90.58293914794922
2015-12-07,90.75440979003906
2015-12-08,90.8401870727539
2015-12-09,90.8791732788086
2015-12-10,91.36246490478516
2015-12-11,90.48938751220703
2015-12-14,90.62970733642578
2015-12-15,91.1520004272461
2015-12-16,91.86138916015625
2015-12-17,91.59635162353516
2015-12-18,90.94152069091797
2015-12-21,91.74447631835938
2015-12-22,91.76782989501953
2015-12-23,92.6097412109375
2015-12-24,92.43045043945312
2015-12-28,92.57074737548828
2015-12-29,93.59974670410156
2015-12-30,93.10086822509766
2015-12-31,92.09524536132812
