date,AIG
2015-01-02,42.9498802967
2015-01-05,42.1002212853
2015-01-06,41.5031636016
2015-01-07,41.7021828295
2015-01-08,41.518472773
2015-01-09,40.8142508897
2015-01-12,40.0794106636
2015-01-13,39.7043359649
2015-01-14,39.3292612661
2015-01-15,38.5791118687
2015-01-16,39.1225874526
2015-01-20,38.7704765109
2015-01-21,38.9082590533
2015-01-22,40.0181739781
2015-01-23,39.4287708801
2015-01-26,39.1991333094
2015-01-27,38.6326939685
2015-01-28,37.6682161718
2015-01-29,37.7064891002
2015-01-30,37.4079602584
2015-02-02,38.6250393828
2015-02-03,39.2909883377
2015-02-04,39.4287708801
2015-02-05,39.5129713227
2015-02-06,39.8803914357
2015-02-09,39.9110097784
2015-02-10,40.117683592
2015-02-11,39.995210221
2015-02-12,40.1483019348
2015-02-13,41.3041443737
2015-02-17,42.0925666996
2015-02-18,41.8782383003
2015-02-19,42.0849121139
2015-02-20,42.2686221704
2015-02-23,41.7710741007
2015-02-24,42.130839628
2015-02-25,41.9471295715
2015-02-26,42.0466391855
2015-02-27,42.352822613
2015-03-02,42.597769355
2015-03-03,42.5441872552
2015-03-04,42.3910955414
2015-03-05,42.5671510123
2015-03-06,42.8656798541
2015-03-09,42.9498802967
2015-03-10,41.7519376365
2015-03-11,41.982102673
2015-03-12,42.657253447
2015-03-13,42.4270884104
2015-03-16,42.9104349873
2015-03-17,42.8106968048
2015-03-18,43.2863712137
2015-03-19,42.6956142865
2015-03-20,42.9181071552
2015-03-23,42.8337133084
2015-03-24,42.4807935856
2015-03-25,41.8286593153
2015-03-26,41.5601334393
2015-03-27,41.4527230889
2015-03-30,41.9514140015
2015-03-31,42.0358078483
2015-04-01,42.051152184
2015-04-02,42.3043337243
2015-04-06,42.5191544251
2015-04-07,42.1815790381
2015-04-08,42.5421709287
2015-04-09,43.1866330312
2015-04-10,43.4167980678
2015-04-13,44.0842766739
2015-04-14,44.1149653454
2015-04-15,44.7057222726
2015-04-16,44.6213284259
2015-04-17,44.0612601702
2015-04-20,44.1226375133
2015-04-21,43.4551589072
2015-04-22,43.4091258999
2015-04-23,43.5395527539
2015-04-24,43.7236847832
2015-04-27,43.7313569511
2015-04-28,43.5779135934
2015-04-29,43.4628310751
2015-04-30,43.1866330312
2015-05-01,44.2990973747
2015-05-04,44.6520170974
2015-05-05,44.4985737397
2015-05-06,44.613656258
2015-05-07,45.2427740247
2015-05-08,45.7798257767
2015-05-11,45.419233886
2015-05-12,45.0816584991
2015-05-13,45.0663141633
2015-05-14,45.2427740247
2015-05-15,44.7747717836
2015-05-18,45.1813966816
2015-05-19,45.5803494117
2015-05-20,46.0023186454
2015-05-21,46.2017950104
2015-05-22,45.9409413023
2015-05-26,45.4422503897
2015-05-27,45.5650050759
2015-05-28,45.6110380832
2015-05-29,44.9665759808
2015-06-01,45.020281156
2015-06-02,45.7874979446
2015-06-03,46.8846179523
2015-06-04,46.501009558
2015-06-05,46.4166157112
2015-06-08,45.7721536088
2015-06-09,46.1212372476
2015-06-10,47.4205353131
2015-06-11,47.6588680944
2015-06-12,47.581986552
2015-06-15,48.1047810399
2015-06-16,47.6511799401
2015-06-17,47.5589220893
2015-06-18,47.8895127214
2015-06-19,47.5358576266
2015-06-22,48.1124691941
2015-06-23,48.6813926074
2015-06-24,48.3738664381
2015-06-25,47.9971468806
2015-06-26,48.2277915076
2015-06-29,47.351341925
2015-06-30,47.5281694724
2015-07-01,47.9356416468
2015-07-02,47.7280614825
2015-07-06,47.5512339351
2015-07-07,47.8280074875
2015-07-08,47.020751293
2015-07-09,47.482040547
2015-07-10,48.1432218111
2015-07-13,48.7275215328
2015-07-14,48.8735964633
2015-07-15,49.227251558
2015-07-16,49.3271975631
2015-07-17,49.2426278665
2015-07-20,49.2349397123
2015-07-21,49.2041870953
2015-07-22,49.6193474239
2015-07-23,49.3118212546
2015-07-24,48.9274135429
2015-07-27,48.6198873736
2015-07-28,48.9427898514
2015-07-29,49.6193474239
2015-07-30,49.6116592697
2015-07-31,49.2964449461
2015-08-03,49.3195094088
2015-08-04,47.9279534925
2015-08-05,48.404619055
2015-08-06,48.4507479804
2015-08-07,48.7352096871
2015-08-10,49.1964989411
2015-08-11,48.6737044532
2015-08-12,48.635263682
2015-08-13,48.6198873736
2015-08-14,49.3963909512
2015-08-17,49.4348317223
2015-08-18,48.9812306225
2015-08-19,48.3738664381
2015-08-20,47.4435997758
2015-08-21,45.9213452376
2015-08-24,43.7763502064
2015-08-25,43.5457055794
2015-08-26,45.4831204462
2015-08-27,46.9823105218
2015-08-28,46.8977408252
2015-08-31,46.3903226458
2015-09-01,45.1525298142
2015-09-02,45.4369915208
2015-09-03,45.706076919
2015-09-04,44.652799789
2015-09-08,45.5446256801
2015-09-09,44.9987667295
2015-09-10,44.9757022668
2015-09-11,45.0606786881
2015-09-14,44.8057494242
2015-09-15,45.3078828229
2015-09-16,45.5010110532
2015-09-17,45.1379299802
2015-09-18,44.6357965815
2015-09-21,44.8289248118
2015-09-22,44.249540121
2015-09-23,44.1104877952
2015-09-24,43.955985211
2015-09-25,44.4503934805
2015-09-28,42.9980691888
