date,KSU
2015-01-02,110.7143069927
2015-01-05,105.9518081535
2015-01-06,103.6257228131
2015-01-07,104.1405875524
2015-01-08,105.8230919686
2015-01-09,105.0416008463
2015-01-12,104.168169592
2015-01-13,102.5040532023
2015-01-14,101.1893093142
2015-01-15,100.4262062183
2015-01-16,101.1157572086
2015-01-20,101.134145235
2015-01-21,101.7041740536
2015-01-22,104.5359301202
2015-01-23,99.1022683171
2015-01-26,101.5662638555
2015-01-27,100.4721762844
2015-01-28,100.2147439147
2015-01-29,101.8880543177
2015-01-30,101.2168913538
2015-02-02,103.6441108395
2015-02-03,105.6392117046
2015-02-04,105.1519290048
2015-02-05,106.9999256586
2015-02-06,107.1286418435
2015-02-09,106.0345542723
2015-02-10,107.1286418435
2015-02-11,106.9815376322
2015-02-12,108.4801617843
2015-02-13,108.599683956
2015-02-17,109.6386074479
2015-02-18,109.73054758
2015-02-19,108.4158036919
2015-02-20,107.2113879623
2015-02-23,109.8408757384
2015-02-24,109.868457778
2015-02-25,109.0409965897
2015-02-26,107.6435065828
2015-02-27,106.5034489457
2015-03-02,107.5975365168
2015-03-03,106.4850609192
2015-03-04,106.7792693417
2015-03-05,106.9815376322
2015-03-06,104.8609004129
2015-03-09,104.7502584711
2015-03-10,104.3445713508
2015-03-11,105.5800730351
2015-03-12,106.1240625827
2015-03-13,105.5063117405
2015-03-16,106.9262166613
2015-03-17,105.6999351388
2015-03-18,106.0779617736
2015-03-19,105.9304391844
2015-03-20,106.6680521302
2015-03-23,98.1762830913
2015-03-24,96.9039007597
2015-03-25,95.3180329261
2015-03-26,95.0783087187
2015-03-27,94.9307861296
2015-03-30,95.2534917934
2015-03-31,94.1194118891
2015-04-01,94.9492264532
2015-04-02,96.8116991415
2015-04-06,96.5350942868
2015-04-07,96.784038656
2015-04-08,96.7655983323
2015-04-09,97.7613758092
2015-04-10,98.0379806639
2015-04-13,97.3095878799
2015-04-14,97.3649088508
2015-04-15,97.6968346765
2015-04-16,96.9315612452
2015-04-17,96.3414708885
2015-04-20,98.9968774935
2015-04-21,96.9684418924
2015-04-22,97.9549992075
2015-04-23,98.6557315061
2015-04-24,98.1947234149
2015-04-27,97.9457790457
2015-04-28,96.6641765523
2015-04-29,95.115189366
2015-04-30,94.4974385239
2015-05-01,95.6130781045
2015-05-04,95.4010143825
2015-05-05,94.0456505946
2015-05-06,94.285374802
2015-05-07,93.658403798
2015-05-08,94.1931731837
2015-05-11,92.9668916613
2015-05-12,90.947676222
2015-05-13,89.5369914631
2015-05-14,87.4901155384
2015-05-15,87.8404816877
2015-05-18,87.2688316547
2015-05-19,87.1397493891
2015-05-20,86.3007146632
2015-05-21,88.135526866
2015-05-22,86.5865396798
2015-05-26,86.2453936923
2015-05-27,87.1305292273
2015-05-28,85.1942952445
2015-05-29,83.4424644981
2015-06-01,85.3049371864
2015-06-02,86.365255796
2015-06-03,86.7432824307
2015-06-04,86.2638340159
2015-06-05,87.1243442126
2015-06-08,86.16205324
2015-06-09,86.1990644313
2015-06-10,85.9862500815
2015-06-11,87.6795120814
2015-06-12,87.1150914148
2015-06-15,86.8467602782
2015-06-16,86.9300354585
2015-06-17,87.3279057645
2015-06-18,88.993409371
2015-06-19,88.0866351852
2015-06-22,88.6047918628
2015-06-23,88.4752526934
2015-06-24,85.8752165078
2015-06-25,85.514357393
2015-06-26,86.0047556772
2015-06-29,84.2004601035
2015-06-30,84.3855160598
2015-07-01,85.2275206608
2015-07-02,85.5051045952
2015-07-06,84.8018919614
2015-07-07,87.3464113601
