Date,FMC
2015-01-02,38.54731750488281
2015-01-05,37.70153045654297
2015-01-06,37.94512939453125
2015-01-07,38.22930145263672
2015-01-08,39.176570892333984
2015-01-09,38.93299865722656
2015-01-12,40.05619812011719
2015-01-13,40.21180725097656
2015-01-14,39.866737365722656
2015-01-15,39.332210540771484
2015-01-16,39.440452575683594
2015-01-20,39.176570892333984
2015-01-21,39.50135040283203
2015-01-22,40.18474197387695
2015-01-23,39.19010925292969
2015-01-26,39.39986038208008
2015-01-27,39.50812911987305
2015-01-28,38.66911697387695
2015-01-29,38.63526916503906
2015-01-30,38.90592956542969
2015-02-02,39.129215240478516
2015-02-03,40.232112884521484
2015-02-04,39.83968734741211
2015-02-05,41.9913444519043
2015-02-06,41.761287689208984
2015-02-09,41.7206916809082
2015-02-10,41.65303039550781
2015-02-11,41.88308334350586
2015-02-12,42.78976058959961
2015-02-13,43.087467193603516
2015-02-17,43.59492874145508
2015-02-18,43.32429122924805
2015-02-19,43.12129592895508
2015-02-20,43.31074905395508
2015-02-23,43.12807846069336
2015-02-24,43.19572448730469
2015-02-25,43.479915618896484
2015-02-26,43.046871185302734
2015-02-27,42.904781341552734
2015-03-02,43.70319747924805
2015-03-03,43.303993225097656
2015-03-04,42.803279876708984
2015-03-05,42.17403793334961
2015-03-06,41.416202545166016
2015-03-09,41.48386764526367
2015-03-10,40.556884765625
2015-03-11,40.746337890625
2015-03-12,41.01699447631836
2015-03-13,40.766658782958984
2015-03-16,40.65836715698242
2015-03-17,40.157691955566406
2015-03-18,40.05619812011719
2015-03-19,39.88704299926758
2015-03-20,40.34714126586914
2015-03-23,40.468936920166016
2015-03-24,39.94115447998047
2015-03-25,39.2171745300293
2015-03-26,39.35249710083008
2015-03-27,38.690921783447266
2015-03-30,39.220184326171875
2015-03-31,38.84697341918945
2015-04-01,38.690921783447266
2015-04-02,38.480567932128906
2015-04-06,38.79269790649414
2015-04-07,38.85376739501953
2015-04-08,38.887691497802734
