date,SNDK
2015-01-02,96.59161677085491
2015-01-05,94.07518212878625
2015-01-06,94.20347095367602
2015-01-07,93.52255334464569
2015-01-08,96.09819821358654
2015-01-09,95.76267359464407
2015-01-12,82.46997766183433
2015-01-13,79.93380627747494
2015-01-14,78.92723242064748
2015-01-15,77.48645023342385
2015-01-16,77.88611926481123
2015-01-20,77.76276462549414
2015-01-21,79.38117749333438
2015-01-22,77.86144833694783
2015-01-23,78.63118128628648
2015-01-26,79.29236215302606
2015-01-27,77.96013204840149
2015-01-28,77.0226367895916
2015-01-29,76.4502712631603
2015-01-30,74.910805364483
2015-02-02,75.72001179840312
2015-02-03,77.624607429459
2015-02-04,76.87461122241109
2015-02-05,77.4765818622785
2015-02-06,76.45520544873297
2015-02-09,75.89764247901972
2015-02-10,78.00947390412833
2015-02-11,79.32196726646217
2015-02-12,81.21669452637269
2015-02-13,81.71998145478642
2015-02-17,81.11307662934632
2015-02-18,80.86143316513947
2015-02-19,81.32524660897172
2015-02-20,81.5423507741698
2015-02-23,80.31867275214427
2015-02-24,78.91736404950211
2015-02-25,77.99960553298297
2015-02-26,77.31868792395261
2015-02-27,79.1810727195584
2015-03-02,79.49807438689554
2015-03-03,78.34894334279836
2015-03-04,81.90530579823705
2015-03-05,81.74185181351633
2015-03-06,79.89927962211912
2015-03-09,81.32083397408418
2015-03-10,79.41387081900912
2015-03-11,81.95483730875848
2015-03-12,82.96528012339566
2015-03-13,83.03462423812566
2015-03-16,82.97518642549996
2015-03-17,82.16286965294849
2015-03-18,82.12324444453135
2015-03-19,83.9261914275114
2015-03-20,86.25417242201863
2015-03-23,84.73850820006287
2015-03-24,83.95591033382426
2015-03-25,80.414407331542
2015-03-26,65.57971993037364
2015-03-27,63.98480529158359
2015-03-30,64.37115107365075
2015-03-31,63.023893987467844
2015-04-01,64.52469875626718
2015-04-02,63.96499268737501
2015-04-06,66.61988165132368
2015-04-07,67.06566524601655
2015-04-08,68.24451519642659
2015-04-09,69.75027311627807
2015-04-10,70.0177432730938
2015-04-13,69.80971092890378
2015-04-14,69.66606954839165
2015-04-15,70.45362056568239
2015-04-16,67.27369759020655
2015-04-17,66.37717724976866
2015-04-20,66.23848902030866
2015-04-21,67.28360389231085
2015-04-22,67.83835681015087
2015-04-23,68.11573326907087
2015-04-24,67.28360389231085
2015-04-27,67.0359463397037
2015-04-28,68.04638915434087
2015-04-29,67.20435347547655
2015-04-30,66.60997534921938
2015-05-01,68.13243221035333
2015-05-04,67.17716516023008
2015-05-05,66.63982744453574
2015-05-06,66.31145439605588
2015-05-07,66.26170090386196
2015-05-08,67.39110517666393
2015-05-11,67.43588331963845
2015-05-12,66.34130649137222
2015-05-13,66.86869350862777
2015-05-14,66.6696795398521
2015-05-15,66.85874281018899
2015-05-18,67.16721446179129
2015-05-19,66.99805258833196
2015-05-20,66.74928512736237
2015-05-21,66.68958093672966
2015-05-22,66.74928512736237
2015-05-26,66.06268693508628
2015-05-27,68.66976992604766
2015-05-28,69.24193508627772
2015-05-29,68.04287592440427
2015-06-01,67.89361544782251
2015-06-02,66.73933442892357
2015-06-03,67.17716516023008
2015-06-04,66.76918652423993
2015-06-05,68.331446179129
2015-06-08,67.17716516023008
2015-06-09,66.48061626951521
2015-06-10,66.92839769926049
2015-06-11,66.33135579293344
2015-06-12,65.77411668036154
2015-06-15,63.86358258011504
2015-06-16,64.20190632703368
2015-06-17,64.41087099424816
2015-06-18,64.88850451930978
2015-06-19,63.604864420706654
2015-06-22,65.15717337715695
2015-06-23,64.76909613804438
2015-06-24,63.47550534100247
2015-06-25,63.037674609695976
2015-06-26,61.813738701725555
2015-06-29,59.89325390304026
2015-06-30,57.93296631059984
2015-07-01,56.131889893179945
2015-07-02,56.08213640098603
2015-07-06,55.20647493837305
2015-07-07,55.61445357436319
2015-07-08,53.878056696795404
2015-07-09,53.54470829909614
2015-07-10,53.26608874281019
2015-07-13,53.38549712407559
2015-07-14,55.1766228430567
2015-07-15,54.689038619556285
2015-07-16,55.74381265406738
2015-07-17,55.11691865242399
2015-07-20,55.20647493837305
2015-07-21,55.20647493837305
2015-07-22,53.91288414133114
2015-07-23,63.385949055053416
2015-07-24,61.53511914543961
2015-07-27,60.8584716516023
2015-07-28,60.77886606409203
2015-07-29,60.201725554642564
2015-07-30,60.55
2015-07-31,60.29
2015-08-03,59.46
2015-08-04,59.3
2015-08-05,59.74
2015-08-06,58.93
2015-08-07,59.41
2015-08-10,61.03
2015-08-11,59.1
2015-08-12,59.2
2015-08-13,57.86
2015-08-14,57.95
2015-08-17,58.2
2015-08-18,56.9
2015-08-19,53.81
2015-08-20,50.13
2015-08-21,49.05
2015-08-24,47.65
2015-08-25,46.11
2015-08-26,49.51
2015-08-27,52.85
2015-08-28,52.27
2015-08-31,54.56
2015-09-01,52.81
2015-09-02,54.05
2015-09-03,54.12
2015-09-04,52.84
2015-09-08,55.85
2015-09-09,54.52
2015-09-10,54.61
2015-09-11,54.96
2015-09-14,55.33
2015-09-15,55.72
2015-09-16,55.79
2015-09-17,54.67
2015-09-18,52.69
2015-09-21,52.9
2015-09-22,51.82
2015-09-23,50.99
2015-09-24,51.01
2015-09-25,50.86
2015-09-28,48.8
2015-09-29,49.09
2015-09-30,54.3
2015-10-01,55.91
2015-10-02,59.58
2015-10-05,59.47
2015-10-06,61.24
2015-10-07,61.69
2015-10-08,64.11
2015-10-09,62.36
2015-10-12,62.85
2015-10-13,61.77
2015-10-14,68.7
2015-10-15,69.88
2015-10-16,69.97
2015-10-19,72.0
2015-10-20,75.19
2015-10-21,76.78
2015-10-22,77.09
2015-10-23,78.37
2015-10-26,77.42
2015-10-27,76.9
2015-10-28,77.67
2015-10-29,77.22
2015-10-30,77.0
2015-11-02,76.78
2015-11-03,76.92
2015-11-04,77.06
2015-11-05,76.75
2015-11-06,77.07
2015-11-09,76.91
2015-11-10,75.7
2015-11-11,74.61
2015-11-12,74.42
2015-11-13,73.9
2015-11-16,74.56
2015-11-17,74.84
2015-11-18,75.36
2015-11-19,75.02
2015-11-20,74.93
2015-11-23,74.55
2015-11-24,74.43
2015-11-25,74.49
2015-11-27,74.58
2015-11-30,73.87
2015-12-01,75.88
2015-12-02,75.2
2015-12-03,74.9
2015-12-04,75.27
2015-12-07,75.1
2015-12-08,75.35
2015-12-09,75.14
2015-12-10,76.0
2015-12-11,74.81
2015-12-14,75.33
2015-12-15,75.67
2015-12-16,75.6
2015-12-17,74.83
2015-12-18,73.89
2015-12-21,74.54
2015-12-22,74.67
2015-12-23,75.26
2015-12-24,75.28
2015-12-28,75.31
2015-12-29,75.97
2015-12-30,76.07
2015-12-31,75.99
