Date,LEG
2015-01-02,27.985517501831055
2015-01-05,27.666906356811523
2015-01-06,27.75320053100586
2015-01-07,28.357240676879883
2015-01-08,29.153797149658203
2015-01-09,29.153797149658203
2015-01-12,29.472423553466797
2015-01-13,29.585264205932617
2015-01-14,29.439237594604492
2015-01-15,29.094064712524414
2015-01-16,29.439237594604492
2015-01-20,29.293193817138672
2015-01-21,29.173723220825195
2015-01-22,29.532148361206055
2015-01-23,29.51224708557129
2015-01-26,29.684837341308594
2015-01-27,29.664918899536133
2015-01-28,29.532148361206055
2015-01-29,29.91716194152832
2015-01-30,28.297504425048828
2015-02-02,28.529836654663086
2015-02-03,28.894916534423828
2015-02-04,29.074146270751953
2015-02-05,28.98120880126953
2015-02-06,28.914833068847656
2015-02-09,28.941387176513672
2015-02-10,29.173723220825195
2015-02-11,29.087421417236328
2015-02-12,29.691476821899414
2015-02-13,29.8043155670166
2015-02-17,29.64500617980957
2015-02-18,29.638370513916016
2015-02-19,29.425952911376953
2015-02-20,29.72466278076172
2015-02-23,29.903884887695312
2015-02-24,30.069826126098633
2015-02-25,30.01008415222168
2015-02-26,29.923799514770508
2015-02-27,29.903884887695312
2015-03-02,30.415000915527344
2015-03-03,30.368534088134766
2015-03-04,30.11630630493164
2015-03-05,30.361906051635742
2015-03-06,29.824230194091797
2015-03-09,29.910524368286133
2015-03-10,29.518875122070312
2015-03-11,29.431991577148438
2015-03-12,29.452037811279297
2015-03-13,30.39455795288086
2015-03-16,30.62850570678711
2015-03-17,30.53492546081543
2015-03-18,30.815692901611328
2015-03-19,30.815692901611328
2015-03-20,31.029592514038086
2015-03-23,30.94937515258789
2015-03-24,30.935991287231445
2015-03-25,30.488147735595703
2015-03-26,30.053651809692383
2015-03-27,30.321022033691406
2015-03-30,30.74216079711914
2015-03-31,30.809005737304688
2015-04-01,30.494823455810547
2015-04-02,30.702043533325195
2015-04-06,30.621829986572266
2015-04-07,30.548301696777344
2015-04-08,30.728784561157227
2015-04-09,30.48145294189453
2015-04-10,30.260868072509766
2015-04-13,30.006864547729492
2015-04-14,30.2341251373291
2015-04-15,30.180648803710938
