Date,NFLX
2015-01-02,4.984857082366943
2015-01-05,4.731142997741699
2015-01-06,4.650143146514893
2015-01-07,4.674285888671875
2015-01-08,4.7779998779296875
2015-01-09,4.704143047332764
2015-01-12,4.554714202880859
2015-01-13,4.625570774078369
2015-01-14,4.631999969482422
2015-01-15,4.625143051147461
2015-01-16,4.819142818450928
2015-01-20,4.9828572273254395
2015-01-21,5.846857070922852
2015-01-22,6.120571136474609
2015-01-23,6.249429225921631
2015-01-26,6.379428863525391
2015-01-27,6.488142967224121
2015-01-28,6.320857048034668
2015-01-29,6.340000152587891
2015-01-30,6.311429023742676
2015-02-02,6.301000118255615
2015-02-03,6.527429103851318
2015-02-04,6.41014289855957
2015-02-05,6.413000106811523
2015-02-06,6.3480000495910645
2015-02-09,6.329570770263672
2015-02-10,6.485000133514404
2015-02-11,6.498428821563721
2015-02-12,6.52471399307251
2015-02-13,6.658570766448975
2015-02-17,6.713714122772217
2015-02-18,6.786571025848389
2015-02-19,6.78000020980835
2015-02-20,6.8314290046691895
2015-02-23,6.740571022033691
2015-02-24,6.783999919891357
2015-02-25,6.833285808563232
2015-02-26,6.900428771972656
2015-02-27,6.78442907333374
2015-03-02,6.860713958740234
2015-03-03,6.781570911407471
2015-03-04,6.710999965667725
2015-03-05,6.680714130401611
2015-03-06,6.487429141998291
2015-03-09,6.366143226623535
2015-03-10,6.215143203735352
2015-03-11,6.288428783416748
2015-03-12,6.404571056365967
2015-03-13,6.262856960296631
2015-03-16,6.028142929077148
2015-03-17,5.978857040405273
2015-03-18,6.0445709228515625
2015-03-19,6.074429035186768
2015-03-20,6.118570804595947
2015-03-23,6.0714287757873535
2015-03-24,6.261143207550049
2015-03-25,6.025000095367432
2015-03-26,5.975142955780029
2015-03-27,5.925285816192627
2015-03-30,6.03671407699585
2015-03-31,5.952713966369629
2015-04-01,5.901713848114014
2015-04-02,5.91542911529541
2015-04-06,6.0329999923706055
2015-04-07,6.049428939819336
2015-04-08,6.304999828338623
2015-04-09,6.278571128845215
2015-04-10,6.493856906890869
2015-04-13,6.7811431884765625
2015-04-14,6.838714122772217
2015-04-15,6.792285919189453
2015-04-16,8.02928638458252
2015-04-17,8.164999961853027
2015-04-20,8.105570793151855
2015-04-21,8.006285667419434
2015-04-22,7.966856956481934
2015-04-23,7.986570835113525
2015-04-24,7.977142810821533
2015-04-27,8.086856842041016
2015-04-28,8.043713569641113
2015-04-29,8.040714263916016
2015-04-30,7.949999809265137
2015-05-01,7.957571029663086
2015-05-04,7.927143096923828
2015-05-05,8.079285621643066
2015-05-06,8.00771427154541
2015-05-07,8.074856758117676
2015-05-08,8.208571434020996
2015-05-11,8.427857398986816
2015-05-12,8.337714195251465
2015-05-13,8.287285804748535
2015-05-14,8.383570671081543
2015-05-15,8.760713577270508
2015-05-18,8.826713562011719
2015-05-19,8.806857109069824
2015-05-20,8.878999710083008
2015-05-21,8.900285720825195
2015-05-22,8.883856773376465
2015-05-26,8.799285888671875
2015-05-27,8.985713958740234
2015-05-28,8.950714111328125
2015-05-29,8.915143013000488
2015-06-01,8.900285720825195
2015-06-02,8.913000106811523
2015-06-03,8.880857467651367
2015-06-04,8.934857368469238
2015-06-05,9.045999526977539
2015-06-08,8.960429191589355
2015-06-09,9.244999885559082
2015-06-10,9.587142944335938
2015-06-11,9.509428977966309
2015-06-12,9.44185733795166
2015-06-15,9.343143463134766
2015-06-16,9.5272855758667
2015-06-17,9.427143096923828
2015-06-18,9.474286079406738
2015-06-19,9.3871431350708
2015-06-22,9.64142894744873
2015-06-23,9.73128604888916
2015-06-24,9.694429397583008
2015-06-25,9.489143371582031
2015-06-26,9.308856964111328
2015-06-29,9.223142623901367
2015-06-30,9.384857177734375
2015-07-01,9.363571166992188
2015-07-02,9.40442943572998
2015-07-06,9.45714282989502
2015-07-07,9.409143447875977
2015-07-08,9.350713729858398
2015-07-09,9.572713851928711
2015-07-10,9.722857475280762
2015-07-13,10.10871410369873
2015-07-14,10.037142753601074
2015-07-15,9.812999725341797
2015-07-16,11.581000328063965
2015-07-17,11.47700023651123
2015-07-20,11.055000305175781
2015-07-21,11.25100040435791
2015-07-22,11.149999618530273
2015-07-23,11.010000228881836
2015-07-24,10.934000015258789
2015-07-27,10.642999649047852
2015-07-28,10.6899995803833
2015-07-29,10.708000183105469
2015-07-30,11.156000137329102
2015-07-31,11.430999755859375
2015-08-03,11.255999565124512
2015-08-04,12.114999771118164
2015-08-05,12.371000289916992
2015-08-06,12.645000457763672
2015-08-07,12.35200023651123
2015-08-10,12.303000450134277
2015-08-11,12.27400016784668
2015-08-12,12.050999641418457
2015-08-13,12.373000144958496
2015-08-14,12.33899974822998
2015-08-17,12.53600025177002
2015-08-18,12.404999732971191
2015-08-19,12.206000328063965
2015-08-20,11.24899959564209
2015-08-21,10.395999908447266
2015-08-24,9.687999725341797
2015-08-25,10.152000427246094
2015-08-26,11.012999534606934
2015-08-27,11.765999794006348
2015-08-28,11.762999534606934
