date,PKI
2015-01-02,43.356272760184
2015-01-05,42.333580002856
2015-01-06,41.950070218858
2015-01-07,42.20574340819
2015-01-08,43.267770502339
2015-01-09,42.82525921311
2015-01-12,42.717089786854
2015-01-13,42.667921865829
2015-01-14,42.304079250241
2015-01-15,42.156335085223
2015-01-16,42.717762912292
2015-01-20,42.382876138251
2015-01-21,42.737462134295
2015-01-22,43.18069462935
2015-01-23,43.623927124405
2015-01-26,43.771671289423
2015-01-27,43.279190739362
2015-01-28,43.820919344429
2015-01-29,44.185354951474
2015-01-30,45.022571886578
2015-02-02,44.904376554563
2015-02-03,46.125728318715
2015-02-04,45.298360994612
2015-02-05,45.889337654685
2015-02-06,45.288511383611
2015-02-09,44.79603083355
2015-02-10,45.180165662598
2015-02-11,45.239263328605
2015-02-12,45.702195045662
2015-02-13,45.60369893565
2015-02-17,45.623398157652
2015-02-18,45.672646212659
2015-02-19,45.239263328605
2015-02-20,45.869638432683
2015-02-23,46.056781041706
2015-02-24,46.470464703757
2015-02-25,46.253773261731
2015-02-26,46.293171705735
2015-02-27,46.293171705735
2015-03-02,46.440915870754
2015-03-03,46.194675595723
2015-03-04,45.800691155674
2015-03-05,46.56896081377
2015-03-06,45.869638432683
2015-03-09,45.751443100668
2015-03-10,45.534751658641
2015-03-11,46.046931430705
2015-03-12,46.529562369765
2015-03-13,46.73640420079
2015-03-16,47.573621135894
2015-03-17,47.800162188922
2015-03-18,48.548732625015
2015-03-19,49.100310841083
2015-03-20,49.454896837127
2015-03-23,49.730685945161
2015-03-24,49.750385167164
2015-03-25,49.740535556163
2015-03-26,49.750385167164
2015-03-27,50.321662605235
2015-03-30,50.695947823281
2015-03-31,50.370910660241
2015-04-01,49.839031666175
2015-04-02,49.986775831193
2015-04-06,50.114820774209
2015-04-07,49.789783611169
2015-04-08,50.439857937249
2015-04-09,50.479256381254
2015-04-10,50.764895100289
2015-04-13,50.774744711291
2015-04-14,50.400459493244
2015-04-15,50.656549379276
2015-04-16,50.725590626483
2015-04-17,50.291617072611
2015-04-20,50.804494909005
2015-04-21,51.001755615311
2015-04-22,50.98202954468
2015-04-23,50.863673120897
2015-04-24,50.942577403419
2015-04-27,50.834084014951
2015-04-28,51.051070791887
2015-04-29,51.051070791887
2015-04-30,50.557919026123
