Date,KEY
2015-01-02,8.920010566711426
2015-01-05,8.649706840515137
2015-01-06,8.385841369628906
2015-01-07,8.450196266174316
2015-01-08,8.623963356018066
2015-01-09,8.379402160644531
2015-01-12,8.276430130004883
2015-01-13,8.173460006713867
2015-01-14,7.9932541847229
2015-01-15,7.825921535491943
2015-01-16,7.980385780334473
2015-01-20,7.890280723571777
2015-01-21,7.935332775115967
2015-01-22,8.540299415588379
2015-01-23,8.540299415588379
2015-01-26,8.67544937133789
2015-01-27,8.56604290008545
2015-01-28,8.327914237976074
2015-01-29,8.495247840881348
2015-01-30,8.36009407043457
2015-02-02,8.540299415588379
2015-02-03,8.739808082580566
2015-02-04,8.720499992370605
2015-02-05,8.881394386291504
2015-02-06,9.113085746765137
2015-02-09,8.932882308959961
2015-02-10,8.997239112854004
2015-02-11,8.958623886108398
2015-02-12,9.132389068603516
2015-02-13,9.080904960632324
2015-02-17,9.106643676757812
2015-02-18,8.971498489379883
2015-02-19,8.945751190185547
2015-02-20,9.022982597351074
2015-02-23,8.952187538146973
2015-02-24,9.061595916748047
2015-02-25,9.106643676757812
2015-02-26,9.080904960632324
2015-02-27,9.006551742553711
2015-03-02,9.064741134643555
2015-03-03,9.051810264587402
2015-03-04,8.98715591430664
2015-03-05,9.103531837463379
2015-03-06,9.252243041992188
2015-03-09,9.265172958374023
2015-03-10,9.032414436340332
2015-03-11,9.200517654418945
2015-03-12,9.446210861206055
2015-03-13,9.381556510925293
2015-03-16,9.43327808380127
2015-03-17,9.446210861206055
2015-03-18,9.355693817138672
2015-03-19,9.329828262329102
2015-03-20,9.47206974029541
2015-03-23,9.407416343688965
2015-03-24,9.252243041992188
2015-03-25,9.071207046508789
2015-03-26,9.148791313171387
2015-03-27,9.051810264587402
2015-03-30,9.181120872497559
2015-03-31,9.155258178710938
2015-04-01,9.155258178710938
2015-04-02,9.213449478149414
2015-04-06,9.155258178710938
2015-04-07,9.213449478149414
2015-04-08,9.174654006958008
2015-04-09,9.174654006958008
2015-04-10,9.090603828430176
2015-04-13,9.213449478149414
2015-04-14,9.116466522216797
2015-04-15,9.174654006958008
2015-04-16,9.310436248779297
2015-04-17,9.109999656677246
2015-04-20,9.187585830688477
2015-04-21,9.168191909790039
2015-04-22,9.271637916564941
2015-04-23,9.271637916564941
2015-04-24,9.200517654418945
2015-04-27,9.122931480407715
2015-04-28,9.219913482666016
2015-04-29,9.368620872497559
2015-04-30,9.342761039733887
2015-05-01,9.310436248779297
2015-05-04,9.459139823913574
2015-05-05,9.47206974029541
2015-05-06,9.349226951599121
2015-05-07,9.278104782104492
2015-05-08,9.426812171936035
2015-05-11,9.530261039733887
2015-05-12,9.517334938049316
2015-05-13,9.646642684936523
2015-05-14,9.653108596801758
2015-05-15,9.504402160644531
2015-05-18,9.607850074768066
2015-05-19,9.769488334655762
2015-05-20,9.678970336914062
2015-05-21,9.646642684936523
2015-05-22,9.633711814880371
2015-05-26,9.581987380981445
2015-05-27,9.66603946685791
2015-05-28,9.607850074768066
2015-05-29,9.47463321685791
2015-06-01,9.429144859313965
2015-06-02,9.513622283935547
2015-06-03,9.64358901977539
2015-06-04,9.585103988647461
2015-06-05,9.812548637390137
2015-06-08,9.819046020507812
2015-06-09,9.96850872039795
2015-06-10,10.013996124267578
2015-06-11,9.9815034866333
2015-06-12,9.988001823425293
2015-06-15,9.975006103515625
2015-06-16,10.033492088317871
2015-06-17,9.910026550292969
2015-06-18,9.988001823425293
2015-06-19,9.884028434753418
2015-06-22,10.026995658874512
2015-06-23,10.16995906829834
2015-06-24,10.026995658874512
2015-06-25,9.988001823425293
2015-06-26,9.9815034866333
2015-06-29,9.728069305419922
2015-06-30,9.7605619430542
2015-07-01,9.949012756347656
2015-07-02,9.799551010131836
2015-07-06,9.754060745239258
2015-07-07,9.689078330993652
2015-07-08,9.507123947143555
2015-07-09,9.63059139251709
2015-07-10,9.695575714111328
2015-07-13,9.773555755615234
2015-07-14,9.864533424377441
2015-07-15,9.936017990112305
2015-07-16,9.85803508758545
2015-07-17,9.708571434020996
2015-07-20,9.87752914428711
2015-07-21,9.773555755615234
2015-07-22,9.96200942993164
2015-07-23,9.845038414001465
2015-07-24,9.7605619430542
2015-07-27,9.604598045349121
2015-07-28,9.62409496307373
2015-07-29,9.721571922302246
2015-07-30,9.728069305419922
2015-07-31,9.64358901977539
2015-08-03,9.585103988647461
2015-08-04,9.650090217590332
2015-08-05,9.68257999420166
2015-08-06,9.62409496307373
2015-08-07,9.513622283935547
2015-08-10,9.721571922302246
2015-08-11,9.565610885620117
2015-08-12,9.357665061950684
2015-08-13,9.481128692626953
2015-08-14,9.598101615905762
2015-08-17,9.585103988647461
2015-08-18,9.62409496307373
2015-08-19,9.513622283935547
2015-08-20,9.240689277648926
2015-08-21,8.961261749267578
2015-08-24,8.408897399902344
2015-08-25,8.233443260192871
2015-08-26,8.72731876373291
2015-08-27,9.019745826721191
2015-08-28,9.003413200378418
2015-08-31,8.977278709411621
2015-09-01,8.55258846282959
2015-09-02,8.702865600585938
2015-09-03,8.787801742553711
2015-09-04,8.67019271850586
2015-09-08,8.93807315826416
2015-09-09,8.840069770812988
2015-09-10,8.866205215454102
2015-09-11,8.827004432678223
2015-09-14,8.885804176330566
2015-09-15,9.02954387664795
2015-09-16,9.016478538513184
2015-09-17,8.735530853271484
2015-09-18,8.441516876220703
2015-09-21,8.572187423706055
2015-09-22,8.376176834106445
2015-09-23,8.428446769714355
2015-09-24,8.356576919555664
2015-09-25,8.624458312988281
2015-09-28,8.33697509765625
2015-09-29,8.343510627746582
2015-09-30,8.500316619873047
2015-10-01,8.55258846282959
2015-10-02,8.480718612670898
2015-10-05,8.683259963989258
2015-10-06,8.650594711303711
2015-10-07,8.696329116821289
2015-10-08,8.71592903137207
2015-10-09,8.532984733581543
2015-10-12,8.591790199279785
2015-10-13,8.513387680053711
2015-10-14,8.304304122924805
2015-10-15,8.696329116821289
2015-10-16,8.630990028381348
2015-10-19,8.539518356323242
2015-10-20,8.689797401428223
2015-10-21,8.519920349121094
2015-10-22,8.624458312988281
2015-10-23,8.833538055419922
2015-10-26,8.781265258789062
2015-10-27,8.702865600585938
2015-10-28,9.081814765930176
2015-10-29,8.742066383361816
2015-10-30,8.114830017089844
2015-11-02,8.350043296813965
2015-11-03,8.350043296813965
2015-11-04,8.369648933410645
2015-11-05,8.487250328063965
2015-11-06,8.74859619140625
2015-11-09,8.6048583984375
2015-11-10,8.637524604797363
2015-11-11,8.598321914672852
2015-11-12,8.480718612670898
2015-11-13,8.33697509765625
2015-11-16,8.41538143157959
2015-11-17,8.421915054321289
2015-11-18,8.591790199279785
2015-11-19,8.546053886413574
2015-11-20,8.546053886413574
2015-11-23,8.55258846282959
2015-11-24,8.58525562286377
2015-11-25,8.591790199279785
2015-11-27,8.634501457214355
2015-11-30,8.614788055419922
2015-12-01,8.739642143249512
2015-12-02,8.627931594848633
2015-12-03,8.509650230407715
2015-12-04,8.811925888061523
2015-12-07,8.700215339660645
2015-12-08,8.568790435791016
2015-12-09,8.443937301635742
2015-12-10,8.549077033996582
2015-12-11,8.371655464172363
2015-12-14,8.345373153686523
2015-12-15,8.627931594848633
2015-12-16,8.785636901855469
2015-12-17,8.542506217956543
2015-12-18,8.325655937194824
2015-12-21,8.437368392944336
2015-12-22,8.542506217956543
2015-12-23,8.765925407409668
2015-12-24,8.759355545043945
2015-12-28,8.739642143249512
2015-12-29,8.818492889404297
2015-12-30,8.706785202026367
2015-12-31,8.6673583984375
