Date,WY
2015-01-02,23.30209732055664
2015-01-05,23.30209732055664
2015-01-06,23.276283264160156
2015-01-07,23.34726333618164
2015-01-08,23.598939895629883
2015-01-09,23.566669464111328
2015-01-12,23.598939895629883
2015-01-13,23.676382064819336
2015-01-14,23.51504135131836
2015-01-15,23.46987533569336
2015-01-16,23.637657165527344
2015-01-20,23.173030853271484
2015-01-21,23.018159866333008
2015-01-22,23.540857315063477
2015-01-23,23.256925582885742
2015-01-26,23.308547973632812
2015-01-27,23.173030853271484
2015-01-28,22.95362663269043
2015-01-29,22.850383758544922
2015-01-30,23.134321212768555
2015-02-02,22.74068260192871
2015-02-03,22.95362663269043
2015-02-04,22.772937774658203
2015-02-05,22.91490936279297
2015-02-06,22.501907348632812
2015-02-09,22.489004135131836
2015-02-10,22.727771759033203
2015-02-11,22.650327682495117
2015-02-12,22.94717788696289
2015-02-13,22.921361923217773
2015-02-17,22.592256546020508
2015-02-18,22.88264274597168
2015-02-19,22.68905258178711
2015-02-20,22.902008056640625
2015-02-23,23.0568790435791
2015-02-24,22.676143646240234
2015-02-25,22.73470115661621
2015-02-26,22.832313537597656
2015-02-27,22.84532356262207
2015-03-02,22.90388298034668
2015-03-03,22.650117874145508
2015-03-04,22.29875373840332
2015-03-05,22.207653045654297
2015-03-06,21.49190902709961
2015-03-09,21.823753356933594
2015-03-10,21.628559112548828
2015-03-11,21.726152420043945
2015-03-12,21.95389747619629
2015-03-13,21.511432647705078
2015-03-16,21.914852142333984
2015-03-17,21.77170181274414
2015-03-18,22.201147079467773
2015-03-19,22.051494598388672
2015-03-20,22.422374725341797
2015-03-23,22.370323181152344
2015-03-24,22.31827163696289
2015-03-25,21.65458106994629
2015-03-26,21.511432647705078
2015-03-27,21.50492286682129
2015-03-30,21.583005905151367
2015-03-31,21.569990158081055
2015-04-01,21.38129234313965
2015-04-02,21.238143920898438
2015-04-06,21.1535587310791
2015-04-07,20.9193172454834
2015-04-08,21.055959701538086
2015-04-09,20.925819396972656
2015-04-10,20.9843807220459
2015-04-13,20.951852798461914
2015-04-14,20.815204620361328
2015-04-15,20.834726333618164
2015-04-16,20.9193172454834
2015-04-17,20.528905868530273
2015-04-20,20.646034240722656
2015-04-21,20.56794548034668
2015-04-22,20.65904426574707
2015-04-23,20.73061752319336
2015-04-24,21.03643798828125
2015-04-27,20.925819396972656
2015-04-28,20.93883514404297
2015-04-29,20.646034240722656
2015-04-30,20.502880096435547
2015-05-01,20.828216552734375
2015-05-04,20.554929733276367
2015-05-05,20.24911117553711
2015-05-06,20.28165054321289
2015-05-07,20.847740173339844
2015-05-08,21.16657257080078
2015-05-11,21.0689697265625
2015-05-12,20.789182662963867
2015-05-13,20.841236114501953
2015-05-14,21.16657257080078
2015-05-15,21.04294204711914
2015-05-18,20.867259979248047
2015-05-19,21.25115966796875
2015-05-20,21.257667541503906
2015-05-21,21.199106216430664
2015-05-22,21.296710968017578
2015-05-26,21.446361541748047
2015-05-27,21.472394943237305
2015-05-28,21.446361541748047
2015-05-29,21.186094284057617
2015-06-01,21.14705467224121
2015-06-02,21.09499740600586
2015-06-03,20.91116714477539
2015-06-04,20.806114196777344
2015-06-05,20.655113220214844
2015-06-08,20.687938690185547
2015-06-09,20.510663986206055
2015-06-10,20.878332138061523
2015-06-11,21.12125587463379
2015-06-12,21.04903793334961
2015-06-15,21.035905838012695
2015-06-16,21.639936447143555
2015-06-17,21.449533462524414
2015-06-18,21.475793838500977
2015-06-19,21.383874893188477
2015-06-22,21.383874893188477
2015-06-23,21.213172912597656
2015-06-24,21.17378044128418
2015-06-25,20.9177303314209
2015-06-26,21.05559730529785
2015-06-29,20.701066970825195
2015-06-30,20.681371688842773
2015-07-01,21.009647369384766
2015-07-02,20.90459632873535
2015-07-06,20.832378387451172
2015-07-07,21.04903793334961
2015-07-08,20.720760345458984
2015-07-09,20.52379608154297
2015-07-10,20.543495178222656
2015-07-13,20.77985191345215
2015-07-14,20.52379608154297
2015-07-15,20.4909725189209
2015-07-16,20.32682991027832
2015-07-17,20.011688232421875
2015-07-20,20.051084518432617
2015-07-21,19.867244720458984
2015-07-22,19.81472396850586
2015-07-23,19.716238021850586
2015-07-24,19.545536041259766
2015-07-27,19.68997573852539
2015-07-28,19.729366302490234
2015-07-29,19.893505096435547
2015-07-30,19.998552322387695
2015-07-31,20.149564743041992
2015-08-03,20.23491096496582
2015-08-04,20.399049758911133
2015-08-05,20.215221405029297
2015-08-06,20.129867553710938
2015-08-07,20.392484664916992
2015-08-10,20.392484664916992
2015-08-11,20.22834587097168
2015-08-12,20.32026481628418
2015-08-13,20.34653091430664
2015-08-14,20.47784423828125
2015-08-17,20.40561866760254
2015-08-18,20.45157814025879
2015-08-19,20.294004440307617
2015-08-20,20.077341079711914
2015-08-21,19.676847457885742
2015-08-24,18.49506378173828
2015-08-25,17.661237716674805
2015-08-26,18.042037963867188
2015-08-27,18.383438110351562
2015-08-28,18.5410099029541
2015-08-31,18.344045639038086
2015-09-01,18.114255905151367
2015-09-02,18.2652587890625
2015-09-03,18.317781448364258
2015-09-04,17.96981430053711
2015-09-08,18.153648376464844
2015-09-09,17.868127822875977
2015-09-10,18.120450973510742
2015-09-11,18.140369415283203
2015-09-14,18.047407150268555
2015-09-15,18.17357063293457
2015-09-16,18.890687942504883
2015-09-17,19.003562927246094
2015-09-18,18.764522552490234
2015-09-21,18.757884979248047
2015-09-22,18.39269256591797
2015-09-23,18.319644927978516
2015-09-24,18.093889236450195
2015-09-25,18.060686111450195
2015-09-28,17.841575622558594
2015-09-29,17.967723846435547
2015-09-30,18.153648376464844
2015-10-01,17.92789077758789
2015-10-02,18.22669219970703
2015-10-05,18.57196044921875
2015-10-06,18.479007720947266
2015-10-07,18.691478729248047
2015-10-08,18.95708465576172
2015-10-09,19.156282424926758
2015-10-12,19.089876174926758
2015-10-13,19.17620277404785
2015-10-14,19.103160858154297
2015-10-15,19.216045379638672
2015-10-16,19.534759521484375
2015-10-19,19.4218807220459
2015-10-20,19.348844528198242
2015-10-21,19.401962280273438
2015-10-22,19.926513671875
2015-10-23,19.939790725708008
2015-10-26,19.441795349121094
2015-10-27,19.275802612304688
2015-10-28,19.65164566040039
2015-10-29,19.577816009521484
2015-10-30,19.685203552246094
2015-11-02,20.63826560974121
2015-11-03,20.84632110595703
2015-11-04,20.752361297607422
2015-11-05,20.85974884033203
2015-11-06,20.403352737426758
2015-11-09,19.79930877685547
2015-11-10,19.624807357788086
2015-11-11,20.007368087768555
2015-11-12,19.725481033325195
2015-11-13,19.631519317626953
2015-11-16,20.228851318359375
2015-11-17,20.63826560974121
2015-11-18,21.430227279663086
2015-11-19,21.430227279663086
2015-11-20,21.604734420776367
2015-11-23,21.45036506652832
2015-11-24,21.591310501098633
2015-11-25,21.665136337280273
2015-11-27,21.725542068481445
2015-11-30,21.591310501098633
2015-12-01,21.571176528930664
2015-12-02,21.316129684448242
2015-12-03,21.114789962768555
2015-12-04,21.51076889038086
2015-12-07,21.32284927368164
2015-12-08,21.175189971923828
2015-12-09,20.933576583862305
2015-12-10,20.759071350097656
2015-12-11,20.457050323486328
2015-12-14,20.1416015625
2015-12-15,20.202003479003906
2015-12-16,20.71880340576172
2015-12-17,20.56443214416504
2015-12-18,19.806020736694336
2015-12-21,19.92682647705078
2015-12-22,20.23556137084961
2015-12-23,20.55101203918457
2015-12-24,20.618125915527344
2015-12-28,20.51744842529297
2015-12-29,20.544301986694336
2015-12-30,20.363080978393555
2015-12-31,20.121461868286133
