Date,PFG
2015-01-02,34.338069915771484
2015-01-05,33.211360931396484
2015-01-06,32.74080276489258
2015-01-07,33.30415344238281
2015-01-08,34.285037994384766
2015-01-09,33.860862731933594
2015-01-12,33.2909049987793
2015-01-13,32.79380798339844
2015-01-14,31.991859436035156
2015-01-15,31.45500946044922
2015-01-16,31.83279800415039
2015-01-20,31.594194412231445
2015-01-21,31.78639793395996
2015-01-22,32.68777084350586
2015-01-23,32.316619873046875
2015-01-26,32.69440460205078
2015-01-27,32.34313201904297
2015-01-28,31.773147583007812
2015-01-29,31.865928649902344
2015-01-30,31.103755950927734
2015-02-02,31.779775619506836
2015-02-03,32.41603469848633
2015-02-04,32.11117172241211
2015-02-05,32.42929458618164
2015-02-06,32.90648651123047
2015-02-09,32.674522399902344
2015-02-10,32.95287322998047
2015-02-11,33.198097229003906
2015-02-12,33.86750030517578
2015-02-13,34.198883056640625
2015-02-17,34.324806213378906
2015-02-18,34.03982162475586
2015-02-19,34.198883056640625
2015-02-20,34.536888122558594
2015-02-23,34.01995086669922
2015-02-24,34.41097640991211
2015-02-25,34.40433883666992
2015-02-26,34.245269775390625
2015-02-27,33.91389083862305
2015-03-02,34.76885986328125
2015-03-03,34.34469223022461
2015-03-04,33.45657730102539
2015-03-05,33.85042190551758
2015-03-06,33.71024703979492
2015-03-09,33.823726654052734
2015-03-10,32.95594024658203
2015-03-11,33.216270446777344
2015-03-12,34.070709228515625
2015-03-13,33.69021224975586
2015-03-16,34.578033447265625
2015-03-17,34.10408401489258
2015-03-18,34.15747833251953
2015-03-19,33.81705093383789
2015-03-20,34.61808395385742
2015-03-23,34.658138275146484
2015-03-24,34.404483795166016
2015-03-25,33.94388198852539
2015-03-26,33.91718292236328
2015-03-27,33.70356750488281
2015-03-30,34.237579345703125
2015-03-31,34.290985107421875
2015-04-01,34.057373046875
2015-04-02,34.31769561767578
2015-04-06,34.30433654785156
2015-04-07,34.237579345703125
2015-04-08,34.604732513427734
2015-04-09,34.684837341308594
2015-04-10,33.56338119506836
2015-04-13,33.91050720214844
2015-04-14,34.05067443847656
