Date,TRIP
2015-01-02,66.33106231689453
2015-01-05,64.67701721191406
2015-01-06,62.258182525634766
2015-01-07,62.99627685546875
2015-01-08,65.14833068847656
2015-01-09,66.27770233154297
2015-01-12,63.538734436035156
2015-01-13,63.55652618408203
2015-01-14,62.009185791015625
2015-01-15,59.03900146484375
2015-01-16,60.63080596923828
2015-01-20,61.57343673706055
2015-01-21,61.67125701904297
2015-01-22,63.24528121948242
2015-01-23,62.04475402832031
2015-01-26,61.64458084106445
2015-01-27,61.44894027709961
2015-01-28,60.40848922729492
2015-01-29,60.47073745727539
2015-01-30,59.590354919433594
2015-02-02,60.20395278930664
2015-02-03,62.969600677490234
2015-02-04,63.29863357543945
2015-02-05,62.765071868896484
2015-02-06,60.98651885986328
2015-02-09,60.88869857788086
2015-02-10,62.23150634765625
2015-02-11,59.821563720703125
2015-02-12,73.27630615234375
2015-02-13,75.4194564819336
2015-02-17,74.93035888671875
2015-02-18,76.10420227050781
2015-02-19,78.84317016601562
2015-02-20,78.94988250732422
2015-02-23,79.02992248535156
2015-02-24,78.70088958740234
2015-02-25,79.29669952392578
2015-02-26,79.9103012084961
2015-02-27,79.36784362792969
2015-03-02,81.11082458496094
2015-03-03,80.4527587890625
2015-03-04,79.35894775390625
2015-03-05,78.23846435546875
2015-03-06,76.2109146118164
2015-03-09,76.4865951538086
2015-03-10,74.8503189086914
2015-03-11,74.0055160522461
2015-03-12,74.8325424194336
2015-03-13,73.38301849365234
2015-03-16,73.96104431152344
2015-03-17,74.16558074951172
2015-03-18,74.97482299804688
2015-03-19,74.52129364013672
2015-03-20,76.7889404296875
2015-03-23,76.93122863769531
2015-03-24,75.92634582519531
2015-03-25,74.85921478271484
2015-03-26,74.36122131347656
2015-03-27,74.51239776611328
2015-03-30,74.35233306884766
2015-03-31,73.96104431152344
2015-04-01,73.22294616699219
2015-04-02,73.37413024902344
2015-04-06,74.16558074951172
2015-04-07,73.65869903564453
2015-04-08,73.85433959960938
2015-04-09,73.96994018554688
2015-04-10,73.74761962890625
2015-04-13,74.27229309082031
2015-04-14,74.04997253417969
2015-04-15,73.88990020751953
2015-04-16,73.45416259765625
2015-04-17,71.77342987060547
2015-04-20,72.004638671875
2015-04-21,72.28031921386719
2015-04-22,73.56087493896484
2015-04-23,73.62312316894531
2015-04-24,72.5382080078125
2015-04-27,72.6449203491211
2015-04-28,72.52931213378906
2015-04-29,72.65380859375
2015-04-30,71.57778930664062
2015-05-01,71.87124633789062
2015-05-04,71.06201171875
2015-05-05,69.11449432373047
2015-05-06,68.2963638305664
2015-05-07,69.78145599365234
2015-05-08,72.85834503173828
2015-05-11,72.59156036376953
2015-05-12,71.87124633789062
2015-05-13,72.16471099853516
2015-05-14,73.06288146972656
2015-05-15,72.76941680908203
2015-05-18,72.4670639038086
2015-05-19,71.72007751464844
2015-05-20,70.93750762939453
2015-05-21,70.5195541381836
2015-05-22,71.38214874267578
2015-05-26,69.1589584350586
2015-05-27,69.8081283569336
2015-05-28,68.2963638305664
2015-05-29,67.81615447998047
2015-06-01,68.0384750366211
2015-06-02,67.8695068359375
2015-06-03,66.7579116821289
2015-06-04,66.80238342285156
2015-06-05,67.94954681396484
2015-06-08,67.13140869140625
2015-06-09,66.88241577148438
2015-06-10,68.00289916992188
2015-06-11,67.81615447998047
2015-06-12,67.67386627197266
2015-06-15,67.43376922607422
2015-06-16,67.98511505126953
2015-06-17,77.94499969482422
2015-06-18,80.630615234375
2015-06-19,80.87071990966797
2015-06-22,80.69286346435547
2015-06-23,80.24822235107422
2015-06-24,79.12773895263672
2015-06-25,78.3985366821289
2015-06-26,79.00323486328125
2015-06-29,76.27316284179688
2015-06-30,77.49147033691406
2015-07-01,77.27804565429688
2015-07-02,77.25137329101562
2015-07-06,77.26914978027344
2015-07-07,77.2157974243164
2015-07-08,76.10420227050781
2015-07-09,76.44212341308594
2015-07-10,78.64752960205078
2015-07-13,80.30158233642578
2015-07-14,79.75022888183594
2015-07-15,80.37271881103516
2015-07-16,81.02189636230469
2015-07-17,81.97341918945312
2015-07-20,81.80445861816406
2015-07-21,82.30245208740234
