Date,CMS
2015-01-02,24.886199951171875
2015-01-05,24.68081283569336
2015-01-06,24.723302841186523
2015-01-07,25.126976013183594
2015-01-08,25.26154327392578
2015-01-09,24.985334396362305
2015-01-12,24.907440185546875
2015-01-13,25.275697708129883
2015-01-14,25.474002838134766
2015-01-15,25.622726440429688
2015-01-16,25.948486328125
2015-01-20,26.047643661499023
2015-01-21,26.359254837036133
2015-01-22,26.238861083984375
2015-01-23,26.592966079711914
2015-01-26,26.529220581054688
2015-01-27,26.550472259521484
2015-01-28,26.373414993286133
2015-01-29,27.053285598754883
2015-01-30,26.720439910888672
2015-02-02,26.748769760131836
2015-02-03,26.798337936401367
2015-02-04,26.362991333007812
2015-02-05,26.634197235107422
2015-02-06,25.470905303955078
2015-02-09,25.24253273010254
2015-02-10,25.834884643554688
2015-02-11,25.385269165039062
2015-02-12,25.356721878051758
2015-02-13,24.72869300842285
2015-02-17,24.87856674194336
2015-02-18,25.677873611450195
2015-02-19,25.306758880615234
2015-02-20,25.392412185668945
2015-02-23,25.670740127563477
2015-02-24,25.734966278076172
2015-02-25,25.342443466186523
2015-02-26,25.206846237182617
2015-02-27,25.07124900817871
2015-03-02,24.51458740234375
2015-03-03,24.43608856201172
2015-03-04,24.471771240234375
2015-03-05,24.71441650390625
2015-03-06,23.65818977355957
2015-03-09,23.636770248413086
2015-03-10,23.608232498168945
2015-03-11,23.429811477661133
2015-03-12,24.10066795349121
2015-03-13,23.900836944580078
2015-03-16,24.478904724121094
2015-03-17,24.543140411376953
2015-03-18,25.335311889648438
2015-03-19,25.07124900817871
2015-03-20,25.463769912719727
2015-03-23,25.485187530517578
2015-03-24,24.9998836517334
2015-03-25,24.614513397216797
2015-03-26,24.343311309814453
2015-03-27,24.46463394165039
2015-03-30,24.721559524536133
2015-03-31,24.914243698120117
2015-04-01,25.121217727661133
2015-04-02,25.18544578552246
2015-04-06,25.385269165039062
2015-04-07,24.89997100830078
2015-04-08,24.87856674194336
2015-04-09,24.585960388183594
2015-04-10,24.86429214477539
2015-04-13,24.721559524536133
2015-04-14,24.828609466552734
2015-04-15,24.82146644592285
2015-04-16,24.635915756225586
2015-04-17,24.621641159057617
2015-04-20,25.014158248901367
2015-04-21,24.92138671875
2015-04-22,25.028432846069336
2015-04-23,24.985607147216797
2015-04-24,25.092662811279297
2015-04-27,24.885696411132812
2015-04-28,24.978479385375977
2015-04-29,24.82146644592285
2015-04-30,24.214847564697266
2015-05-01,24.443220138549805
2015-05-04,24.521724700927734
