Date,ROP
2015-01-02,146.06475830078125
2015-01-05,141.7841033935547
2015-01-06,139.8070068359375
2015-01-07,141.23631286621094
2015-01-08,142.1890869140625
2015-01-09,141.40438842773438
2015-01-12,139.34918212890625
2015-01-13,139.0316619873047
2015-01-14,138.29364013671875
2015-01-15,136.27586364746094
2015-01-16,136.15440368652344
2015-01-20,136.4253387451172
2015-01-21,137.83590698242188
2015-01-22,140.3394775390625
2015-01-23,139.84439086914062
2015-01-26,145.4493865966797
2015-01-27,146.83187866210938
2015-01-28,144.38438415527344
2015-01-29,146.1313018798828
2015-01-30,144.17892456054688
2015-02-02,146.94403076171875
2015-02-03,149.14869689941406
2015-02-04,147.71006774902344
2015-02-05,151.4373779296875
2015-02-06,150.51251220703125
2015-02-09,151.2411651611328
2015-02-10,152.62380981445312
2015-02-11,152.62380981445312
2015-02-12,154.20248413085938
2015-02-13,155.28611755371094
2015-02-17,156.77142333984375
2015-02-18,157.098388671875
2015-02-19,156.37911987304688
2015-02-20,157.2198486328125
2015-02-23,157.32257080078125
2015-02-24,156.81814575195312
2015-02-25,156.96762084960938
2015-02-26,157.47207641601562
2015-02-27,156.53793334960938
2015-03-02,157.45338439941406
2015-03-03,156.33238220214844
2015-03-04,155.8092803955078
2015-03-05,157.50946044921875
2015-03-06,155.08062744140625
2015-03-09,157.0330047607422
2015-03-10,154.70697021484375
2015-03-11,155.04324340820312
2015-03-12,157.5001220703125
2015-03-13,155.9307098388672
2015-03-16,159.16285705566406
2015-03-17,157.66822814941406
2015-03-18,159.75140380859375
2015-03-19,158.03253173828125
2015-03-20,160.14378356933594
2015-03-23,160.20916748046875
2015-03-24,160.4987335205078
2015-03-25,159.4151153564453
2015-03-26,159.25633239746094
2015-03-27,160.1251220703125
2015-03-30,162.56326293945312
2015-03-31,160.67625427246094
2015-04-01,158.59304809570312
2015-04-02,160.09707641601562
2015-04-06,160.79769897460938
2015-04-07,159.69534301757812
2015-04-08,158.83462524414062
2015-04-09,159.49891662597656
2015-04-10,159.33053588867188
2015-04-13,158.22657775878906
2015-04-14,158.68499755859375
2015-04-15,160.181884765625
2015-04-16,159.6486053466797
2015-04-17,156.3087615966797
2015-04-20,158.18922424316406
2015-04-21,157.3939666748047
2015-04-22,158.0394744873047
2015-04-23,159.08721923828125
2015-04-24,158.96563720703125
2015-04-27,161.42611694335938
2015-04-28,161.78152465820312
2015-04-29,160.11636352539062
2015-04-30,157.32847595214844
2015-05-01,158.5820770263672
2015-05-04,159.41470336914062
2015-05-05,157.3939666748047
2015-05-06,157.4687957763672
2015-05-07,157.9927215576172
2015-05-08,161.22967529296875
2015-05-11,160.08831787109375
2015-05-12,161.31381225585938
2015-05-13,162.94171142578125
2015-05-14,164.9811553955078
2015-05-15,164.728515625
2015-05-18,164.85011291503906
2015-05-19,165.22434997558594
2015-05-20,165.486328125
2015-05-21,165.7763214111328
2015-05-22,165.72955322265625
2015-05-26,164.3824005126953
2015-05-27,166.23471069335938
2015-05-28,165.7576141357422
2015-05-29,163.6807403564453
2015-06-01,163.6339569091797
2015-06-02,164.40110778808594
2015-06-03,165.04656982421875
2015-06-04,163.09132385253906
2015-06-05,163.7836456298828
2015-06-08,163.25035095214844
2015-06-09,163.7836456298828
2015-06-10,165.62664794921875
2015-06-11,166.25347900390625
2015-06-12,164.50405883789062
2015-06-15,162.75457763671875
2015-06-16,162.8574981689453
2015-06-17,163.1942138671875
2015-06-18,165.5985870361328
2015-06-19,164.7939453125
2015-06-22,166.32830810546875
2015-06-23,165.50503540039062
2015-06-24,164.36367797851562
2015-06-25,163.8023223876953
2015-06-26,164.63494873046875
2015-06-29,161.44483947753906
2015-06-30,161.34194946289062
2015-07-01,162.80136108398438
2015-07-02,163.33457946777344
2015-07-06,162.38035583496094
2015-07-07,163.73683166503906
2015-07-08,160.50466918945312
2015-07-09,160.7294921875
2015-07-10,161.46961975097656
2015-07-13,164.84239196777344
2015-07-14,165.64805603027344
2015-07-15,164.79550170898438
2015-07-16,165.90106201171875
2015-07-17,165.78857421875
2015-07-20,165.81675720214844
2015-07-21,163.92420959472656
2015-07-22,163.95240783691406
2015-07-23,162.8375244140625
2015-07-24,161.24473571777344
2015-07-27,153.88099670410156
2015-07-28,153.88099670410156
2015-07-29,156.24188232421875
2015-07-30,156.5229949951172
2015-07-31,156.71035766601562
2015-08-03,154.96778869628906
2015-08-04,156.21376037597656
2015-08-05,156.82273864746094
2015-08-06,156.4105224609375
2015-08-07,157.647216796875
2015-08-10,159.23985290527344
2015-08-11,158.25613403320312
2015-08-12,157.87203979492188
2015-08-13,158.38731384277344
2015-08-14,159.01507568359375
2015-08-17,160.40164184570312
2015-08-18,160.5608673095703
2015-08-19,158.53726196289062
2015-08-20,155.24887084960938
2015-08-21,151.52944946289062
2015-08-24,145.233642578125
2015-08-25,144.51231384277344
2015-08-26,147.51025390625
2015-08-27,152.9441375732422
2015-08-28,153.6935272216797
2015-08-31,151.85736083984375
2015-09-01,146.02064514160156
2015-09-02,148.70948791503906
2015-09-03,148.7188262939453
2015-09-04,146.41416931152344
2015-09-08,150.4895477294922
2015-09-09,148.35345458984375
2015-09-10,148.99990844726562
2015-09-11,148.32533264160156
2015-09-14,148.66259765625
2015-09-15,150.4427032470703
2015-09-16,152.09153747558594
2015-09-17,151.2764892578125
2015-09-18,147.54779052734375
2015-09-21,148.23165893554688
2015-09-22,145.24305725097656
2015-09-23,143.6597442626953
2015-09-24,144.1937713623047
2015-09-25,144.47482299804688
2015-09-28,143.27561950683594
2015-09-29,143.45364379882812
2015-09-30,146.80764770507812
2015-10-01,147.79135131835938
2015-10-02,149.6276397705078
2015-10-05,153.946533203125
2015-10-06,154.60244750976562
2015-10-07,157.40785217285156
2015-10-08,163.23468017578125
2015-10-09,162.98129272460938
2015-10-12,163.47866821289062
2015-10-13,163.403564453125
2015-10-14,162.84060668945312
2015-10-15,163.86331176757812
2015-10-16,162.99069213867188
2015-10-19,163.7788543701172
2015-10-20,163.43170166015625
2015-10-21,162.277587890625
2015-10-22,164.6702423095703
2015-10-23,165.94638061523438
2015-10-26,171.62301635742188
2015-10-27,171.79190063476562
2015-10-28,172.83340454101562
2015-10-29,172.8709259033203
2015-10-30,174.85076904296875
2015-11-02,177.19642639160156
2015-11-03,175.4324951171875
2015-11-04,176.2112579345703
2015-11-05,176.31442260742188
2015-11-06,175.7983856201172
2015-11-09,174.20333862304688
2015-11-10,174.57862854003906
2015-11-11,175.901611328125
2015-11-12,172.9553985595703
2015-11-13,173.0961151123047
2015-11-16,175.42308044433594
2015-11-17,174.28775024414062
2015-11-18,179.30764770507812
2015-11-19,177.7500762939453
2015-11-20,179.673583984375
2015-11-23,180.41482543945312
2015-11-24,180.630615234375
2015-11-25,181.8784942626953
2015-11-27,182.8074493408203
2015-11-30,181.5501251220703
2015-12-01,179.851806640625
2015-12-02,176.49270629882812
2015-12-03,176.0423583984375
2015-12-04,177.78758239746094
2015-12-07,176.64285278320312
2015-12-08,174.78506469726562
2015-12-09,174.0062713623047
2015-12-10,175.01026916503906
2015-12-11,171.9607391357422
2015-12-14,172.75830078125
2015-12-15,171.8387908935547
2015-12-16,174.91641235351562
2015-12-17,173.20877075195312
2015-12-18,172.0077362060547
2015-12-21,173.7341766357422
2015-12-22,175.66705322265625
2015-12-23,178.3505859375
2015-12-24,178.12530517578125
2015-12-28,178.44432067871094
2015-12-29,180.73382568359375
2015-12-30,178.81971740722656
2015-12-31,178.0784149169922
