Date,OI
2015-01-02,26.21731185913086
2015-01-05,25.188222885131836
2015-01-06,24.854990005493164
2015-01-07,24.639371871948242
2015-01-08,24.952999114990234
2015-01-09,24.394351959228516
2015-01-12,24.090524673461914
2015-01-13,23.923906326293945
2015-01-14,23.933712005615234
2015-01-15,23.100635528564453
2015-01-16,23.355459213256836
2015-01-20,22.845813751220703
2015-01-21,22.9830265045166
2015-01-22,23.74749183654785
2015-01-23,23.032032012939453
2015-01-26,22.9830265045166
2015-01-27,23.041831970214844
2015-01-28,22.581192016601562
2015-01-29,22.59099006652832
2015-01-30,22.8850154876709
2015-02-02,23.73769187927246
2015-02-03,23.884706497192383
2015-02-04,23.73769187927246
2015-02-05,24.609970092773438
2015-02-06,24.521764755249023
2015-02-09,24.678573608398438
2015-02-10,25.021608352661133
2015-02-11,24.972599029541016
2015-02-12,25.38423728942871
2015-02-13,25.835081100463867
2015-02-17,25.52145004272461
2015-02-18,25.991891860961914
2015-02-19,25.58025550842285
2015-02-20,25.38423728942871
2015-02-23,25.296030044555664
2015-02-24,25.72726821899414
2015-02-25,25.550851821899414
2015-02-26,25.746870040893555
2015-02-27,25.63905906677246
2015-03-02,25.472444534301758
2015-03-03,25.305831909179688
2015-03-04,24.609970092773438
2015-03-05,24.090524673461914
2015-03-06,23.512271881103516
2015-03-09,23.296653747558594
2015-03-10,22.8850154876709
2015-03-11,22.777206420898438
2015-03-12,22.777206420898438
2015-03-13,22.394975662231445
2015-03-16,22.738004684448242
2015-03-17,22.875215530395508
2015-03-18,23.4926700592041
2015-03-19,22.91442108154297
2015-03-20,23.090835571289062
2015-03-23,23.100635528564453
2015-03-24,23.20844841003418
2015-03-25,22.738004684448242
2015-03-26,22.72820472717285
2015-03-27,22.718402862548828
2015-03-30,23.051633834838867
2015-03-31,22.855613708496094
2015-04-01,22.904621124267578
2015-04-02,23.07123374938965
2015-04-06,23.590681076049805
2015-04-07,23.561279296875
2015-04-08,24.002315521240234
2015-04-09,24.041521072387695
2015-04-10,23.933712005615234
2015-04-13,23.73769187927246
2015-04-14,23.70829200744629
2015-04-15,23.933712005615234
2015-04-16,23.71809196472168
2015-04-17,23.71809196472168
2015-04-20,23.786697387695312
2015-04-21,23.512271881103516
2015-04-22,23.767093658447266
2015-04-23,23.904308319091797
2015-04-24,24.051321029663086
2015-04-27,24.0709228515625
2015-04-28,24.639371871948242
2015-04-29,23.70829200744629
2015-04-30,23.433866500854492
2015-05-01,23.757295608520508
2015-05-04,24.42375373840332
2015-05-05,24.031719207763672
2015-05-06,23.64948272705078
2015-05-07,23.4926700592041
2015-05-08,23.82590103149414
2015-05-11,23.67888641357422
2015-05-12,23.316259384155273
2015-05-13,25.462644577026367
