Date,NEM
2015-01-02,15.07082462310791
2015-01-05,15.164326667785645
2015-01-06,15.79552173614502
2015-01-07,15.65526008605957
2015-01-08,15.569540977478027
2015-01-09,16.14618682861328
2015-01-12,16.512441635131836
2015-01-13,15.865657806396484
2015-01-14,15.39810848236084
2015-01-15,16.761796951293945
2015-01-16,17.36961555480957
2015-01-20,18.3670654296875
2015-01-21,18.95151138305664
2015-01-22,18.92813491821289
2015-01-23,18.81903839111328
2015-01-26,19.083984375
2015-01-27,19.590505599975586
2015-01-28,18.90475845336914
2015-01-29,18.834630966186523
2015-01-30,19.598299026489258
2015-02-02,19.567127227783203
2015-02-03,19.185291290283203
2015-02-04,19.341135025024414
2015-02-05,19.341135025024414
2015-02-06,18.741106033325195
2015-02-09,19.17749786376953
2015-02-10,19.021652221679688
2015-02-11,18.811250686645508
2015-02-12,19.099573135375977
2015-02-13,19.309974670410156
2015-02-17,18.850204467773438
2015-02-18,19.278804779052734
2015-02-19,19.06060791015625
2015-02-20,19.933374404907227
2015-02-23,20.229496002197266
2015-02-24,20.11260414123535
2015-02-25,20.29962921142578
2015-02-26,20.502229690551758
2015-02-27,20.517818450927734
2015-03-02,20.174942016601562
2015-03-03,19.964550018310547
2015-03-04,19.629472732543945
2015-03-05,19.71518325805664
2015-03-06,18.156665802001953
2015-03-09,17.470924377441406
2015-03-10,16.98334503173828
2015-03-11,17.350004196166992
2015-03-12,17.389005661010742
2015-03-13,17.39681625366211
2015-03-16,17.39681625366211
2015-03-17,17.256393432617188
2015-03-18,17.841487884521484
2015-03-19,17.80248260498047
2015-03-20,17.903902053833008
2015-03-23,18.052122116088867
2015-03-24,17.833681106567383
2015-03-25,17.537242889404297
2015-03-26,17.28759765625
2015-03-27,17.34220314025879
2015-03-30,17.178375244140625
2015-03-31,16.93653678894043
2015-04-01,17.72447395324707
2015-04-02,17.42801856994629
2015-04-06,17.615257263183594
2015-04-07,17.295392990112305
2015-04-08,17.225189208984375
2015-04-09,17.34220314025879
2015-04-10,17.420217514038086
2015-04-13,17.60744285583496
2015-04-14,17.80248260498047
2015-04-15,18.371973037719727
2015-04-16,18.426586151123047
2015-04-17,18.387569427490234
2015-04-20,18.34857177734375
2015-04-21,18.34076499938965
2015-04-22,17.763479232788086
2015-04-23,18.293968200683594
2015-04-24,19.4875545501709
2015-04-27,19.96342658996582
2015-04-28,20.556337356567383
2015-04-29,20.657739639282227
2015-04-30,20.665546417236328
2015-05-01,20.665546417236328
2015-05-04,20.32229232788086
2015-05-05,20.24427604675293
2015-05-06,20.010236740112305
2015-05-07,20.142860412597656
2015-05-08,20.314489364624023
2015-05-11,20.564130783081055
2015-05-12,20.79035758972168
2015-05-13,21.30524253845215
2015-05-14,21.219430923461914
2015-05-15,21.601694107055664
2015-05-18,21.49247932434082
2015-05-19,21.102413177490234
2015-05-20,21.578292846679688
2015-05-21,21.063417434692383
2015-05-22,21.071208953857422
2015-05-26,20.71235466003418
