Date,NTAP
2015-01-02,31.177871704101562
2015-01-05,30.11753273010254
2015-01-06,29.84682273864746
2015-01-07,30.00161361694336
2015-01-08,30.620826721191406
2015-01-09,30.69633674621582
2015-01-12,30.10734748840332
2015-01-13,29.692020416259766
2015-01-14,29.367307662963867
2015-01-15,29.04259490966797
2015-01-16,29.2615909576416
2015-01-20,29.09545135498047
2015-01-21,29.08035659790039
2015-01-22,29.94876480102539
2015-01-23,29.812835693359375
2015-01-26,29.374855041503906
2015-01-27,28.748092651367188
2015-01-28,28.702777862548828
2015-01-29,28.74054527282715
2015-01-30,28.54420280456543
2015-02-02,28.914213180541992
2015-02-03,29.646703720092773
2015-02-04,29.38996124267578
2015-02-05,29.291790008544922
2015-02-06,29.35220718383789
2015-02-09,29.33709716796875
2015-02-10,29.78263282775879
2015-02-11,30.046924591064453
2015-02-12,27.864585876464844
2015-02-13,28.861364364624023
2015-02-17,28.536653518676758
2015-02-18,28.54420280456543
2015-02-19,28.581968307495117
2015-02-20,28.84626007080078
2015-02-23,29.08035659790039
2015-02-24,29.125659942626953
2015-02-25,29.163421630859375
2015-02-26,29.186080932617188
2015-02-27,29.186080932617188
2015-03-02,29.133216857910156
2015-03-03,28.7178897857666
2015-03-04,28.54420280456543
2015-03-05,29.110557556152344
2015-03-06,28.84626007080078
2015-03-09,29.027496337890625
2015-03-10,28.64992332458496
2015-03-11,28.5593204498291
2015-03-12,28.249706268310547
2015-03-13,27.804174423217773
2015-03-16,28.060922622680664
2015-03-17,27.773967742919922
2015-03-18,28.16664695739746
2015-03-19,27.713544845581055
2015-03-20,28.181739807128906
2015-03-23,27.668249130249023
2015-03-24,27.071685791015625
2015-03-25,26.988616943359375
2015-03-26,26.845149993896484
2015-03-27,26.50533676147461
2015-03-30,26.716773986816406
2015-03-31,26.777177810668945
2015-04-01,26.633705139160156
2015-04-02,26.905553817749023
2015-04-06,27.207612991333008
2015-04-07,27.041486740112305
2015-04-08,27.17424201965332
2015-04-09,27.11355209350586
2015-04-10,26.90871810913086
2015-04-13,26.86319923400879
2015-04-14,27.21217918395996
2015-04-15,27.864601135253906
2015-04-16,27.583908081054688
2015-04-17,27.288042068481445
2015-04-20,27.303213119506836
2015-04-21,27.310800552368164
2015-04-22,27.417009353637695
2015-04-23,27.530805587768555
2015-04-24,27.401840209960938
2015-04-27,27.591482162475586
2015-04-28,27.76597785949707
2015-04-29,27.917705535888672
2015-04-30,27.50046157836914
2015-05-01,27.834251403808594
2015-05-04,27.849428176879883
2015-05-05,27.242515563964844
2015-05-06,26.848033905029297
2015-05-07,26.984582901000977
2015-05-08,27.045276641845703
2015-05-11,26.521814346313477
2015-05-12,26.445955276489258
2015-05-13,26.779752731323242
2015-05-14,27.280454635620117
2015-05-15,26.855619430541992
2015-05-18,26.400442123413086
2015-05-19,26.81769561767578
2015-05-20,26.802518844604492
2015-05-21,24.10177993774414
2015-05-22,25.1411075592041
2015-05-26,24.701099395751953
2015-05-27,25.05007553100586
2015-05-28,25.23213768005371
2015-05-29,25.338350296020508
2015-06-01,25.156288146972656
2015-06-02,25.292842864990234
2015-06-03,25.21697235107422
2015-06-04,25.69490623474121
2015-06-05,25.74801254272461
2015-06-08,25.156288146972656
2015-06-09,25.11075782775879
2015-06-10,25.44455337524414
2015-06-11,25.55076789855957
2015-06-12,25.3990478515625
2015-06-15,25.452144622802734
2015-06-16,25.452144622802734
2015-06-17,25.626628875732422
2015-06-18,25.619049072265625
2015-06-19,25.740428924560547
2015-06-22,26.08940315246582
2015-06-23,26.210777282714844
2015-06-24,25.171451568603516
2015-06-25,24.769376754760742
2015-06-26,24.54937171936035
2015-06-29,24.033504486083984
2015-06-30,23.942466735839844
2015-07-01,23.965229034423828
2015-07-02,23.896949768066406
2015-07-06,23.745220184326172
2015-07-07,23.972810745239258
2015-07-08,23.347171783447266
2015-07-09,23.15642547607422
2015-07-10,23.347171783447266
2015-07-13,23.58368682861328
2015-07-14,23.568431854248047
2015-07-15,23.759178161621094
2015-07-16,23.82021713256836
2015-07-17,23.759178161621094
2015-07-20,23.606576919555664
2015-07-21,23.568431854248047
2015-07-22,23.76680564880371
2015-07-23,23.95754623413086
2015-07-24,23.728656768798828
2015-07-27,23.499767303466797
2015-07-28,23.614208221435547
2015-07-29,23.62183952331543
2015-07-30,24.087257385253906
2015-07-31,23.76680564880371
2015-08-03,23.41583824157715
2015-08-04,23.3319091796875
2015-08-05,23.553173065185547
2015-08-06,23.41583824157715
2015-08-07,23.286134719848633
2015-08-10,24.033849716186523
2015-08-11,23.431089401245117
2015-08-12,23.64472770690918
2015-08-13,23.362428665161133
2015-08-14,23.461612701416016
2015-08-17,23.3013916015625
2015-08-18,23.103015899658203
2015-08-19,22.721529006958008
2015-08-20,23.48450469970703
2015-08-21,23.049610137939453
2015-08-24,22.79019546508789
2015-08-25,22.1798038482666
2015-08-26,23.3319091796875
2015-08-27,23.949922561645508
2015-08-28,24.125408172607422
2015-08-31,24.384824752807617
2015-09-01,23.62183952331543
2015-09-02,23.858362197875977
2015-09-03,23.797330856323242
2015-09-04,23.324277877807617
2015-09-08,24.02621841430664
2015-09-09,23.743915557861328
2015-09-10,23.927034378051758
2015-09-11,24.094886779785156
2015-09-14,23.759178161621094
2015-09-15,24.560306549072266
2015-09-16,24.690011978149414
2015-09-17,24.5755615234375
2015-09-18,23.927034378051758
2015-09-21,23.82021713256836
2015-09-22,22.942785263061523
2015-09-23,22.660490036010742
2015-09-24,22.500255584716797
2015-09-25,22.561298370361328
2015-09-28,22.20269775390625
2015-09-29,22.088254928588867
2015-09-30,22.584190368652344
2015-10-01,22.30952262878418
2015-10-02,22.835969924926758
2015-10-05,23.568431854248047
2015-10-06,23.904138565063477
2015-10-07,24.19574737548828
2015-10-08,24.763614654541016
2015-10-09,25.446596145629883
2015-10-12,25.607742309570312
2015-10-13,25.653791427612305
2015-10-14,25.999114990234375
2015-10-15,25.922374725341797
2015-10-16,25.95306396484375
2015-10-19,25.845638275146484
2015-10-20,25.8763370513916
2015-10-21,25.630769729614258
2015-10-22,26.3828125
2015-10-23,26.605348587036133
2015-10-26,25.438920974731445
2015-10-27,25.600072860717773
2015-10-28,26.137248992919922
2015-10-29,25.907024383544922
2015-10-30,26.09119987487793
2015-11-02,26.3828125
2015-11-03,26.46721839904785
2015-11-04,25.95306396484375
2015-11-05,26.244686126708984
2015-11-06,26.398155212402344
2015-11-09,26.198644638061523
2015-11-10,25.57704734802246
2015-11-11,24.88640022277832
2015-11-12,24.433635711669922
2015-11-13,24.026927947998047
2015-11-16,24.16506004333496
2015-11-17,24.019250869750977
2015-11-18,23.819732666015625
2015-11-19,23.766014099121094
2015-11-20,23.827402114868164
2015-11-23,23.79671287536621
2015-11-24,23.735319137573242
2015-11-25,23.6048641204834
2015-11-27,23.551145553588867
2015-11-30,23.52812385559082
2015-12-01,23.766014099121094
2015-12-02,23.735319137573242
2015-12-03,23.68160057067871
2015-12-04,24.003904342651367
2015-12-07,24.19574737548828
2015-12-08,23.850425720214844
2015-12-09,23.113739013671875
2015-12-10,23.167451858520508
2015-12-11,22.30030059814453
2015-12-14,22.001022338867188
2015-12-15,21.92428207397461
2015-12-16,22.208221435546875
2015-12-17,21.717082977294922
2015-12-18,21.17992401123047
2015-12-21,21.17992401123047
2015-12-22,20.128589630126953
2015-12-23,20.35114097595215
2015-12-24,20.35114097595215
2015-12-28,20.38951301574707
2015-12-29,20.627391815185547
2015-12-30,20.619718551635742
2015-12-31,20.358810424804688
