date,ALL
2015-01-02,54.9874644754
2015-01-05,53.8974391528
2015-01-06,53.8582296088
2015-01-07,54.7443653027
2015-01-08,55.7951810813
2015-01-09,55.2227217392
2015-01-12,54.6581043059
2015-01-13,54.9874644754
2015-01-14,54.4463727684
2015-01-15,54.2895345925
2015-01-16,55.5520819086
2015-01-20,55.1756702864
2015-01-21,55.1286188337
2015-01-22,56.422533785
2015-01-23,56.0147545276
2015-01-26,56.2500117915
2015-01-27,56.0225964364
2015-01-28,55.1443026513
2015-01-29,55.7167619933
2015-01-30,54.7286814851
2015-02-02,55.6069752702
2015-02-03,56.4852690553
2015-02-04,56.9165740391
2015-02-05,56.6970005928
2015-02-06,55.6226590878
2015-02-09,54.9168872962
2015-02-10,54.9325711138
2015-02-11,55.8187068077
2015-02-12,56.1245412507
2015-02-13,56.038280254
2015-02-17,55.8892839869
2015-02-18,55.4501370943
2015-02-19,55.8108648989
2015-02-20,56.1480669771
2015-02-23,55.8814420781
2015-02-24,56.2029603387
2015-02-25,55.7716553549
2015-02-26,56.1559088859
2015-02-27,55.5967910159
2015-03-02,55.8960371999
2015-03-03,55.5101671206
2015-03-04,54.7305520624
2015-03-05,54.7778014599
2015-03-06,54.4470556776
2015-03-09,54.8014261586
2015-03-10,53.8564382093
2015-03-11,54.4076811797
2015-03-12,55.4392930244
2015-03-13,54.7778014599
2015-03-16,55.5101671206
2015-03-17,55.1085472421
2015-03-18,55.6125408151
2015-03-19,55.5967910159
2015-03-20,56.2740323796
2015-03-23,56.6126530614
2015-03-24,56.1795335846
2015-03-25,55.557416518
2015-03-26,55.2817950328
2015-03-27,55.1636715392
2015-03-30,55.8724125011
2015-03-31,56.0456602918
2015-04-01,56.1401590868
2015-04-02,56.26615748
2015-04-06,56.7937757517
2015-04-07,56.2819072791
2015-04-08,56.3685311745
2015-04-09,56.620527961
2015-04-10,56.7229016555
2015-04-13,56.6835271576
2015-04-14,56.3055319779
2015-04-15,56.6520275593
2015-04-16,56.7307765551
2015-04-17,55.8094133045
2015-04-20,56.1874084842
2015-04-21,55.7700388066
2015-04-22,55.8172882041
2015-04-23,55.762163907
2015-04-24,55.8724125011
2015-04-27,55.3684189282
2015-04-28,55.6676651121
2015-04-29,55.3211695307
2015-04-30,54.8565504556
2015-05-01,55.0849225434
2015-05-04,54.9825488489
2015-05-05,55.1242970413
2015-05-06,53.005949055
2015-05-07,53.3288199376
2015-05-08,52.9744494567
2015-05-11,52.6594534736
2015-05-12,52.6909530719
2015-05-13,52.7539522685
2015-05-14,53.265820741
2015-05-15,53.2343211427
2015-05-18,53.620191222
2015-05-19,54.1399345941
2015-05-20,54.124184795
2015-05-21,53.6280661216
2015-05-22,53.2343211427
2015-05-26,53.061073352
2015-05-27,53.4784430296
2015-05-28,53.6287300312
2015-05-29,53.2490576062
2015-06-01,52.9326639187
2015-06-02,53.0987706046
2015-06-03,53.5654512937
2015-06-04,53.0354918671
2015-06-05,52.5846308624
2015-06-08,52.0625812781
2015-06-09,51.975573014
2015-06-10,52.9247540765
2015-06-11,53.3835249234
2015-06-12,53.2886068171
2015-06-15,52.734917864
2015-06-16,53.2569674484
2015-06-17,53.1383198156
2015-06-18,54.0637713515
2015-06-19,52.5609013359
2015-06-22,52.4264340187
2015-06-23,52.4897127562
2015-06-24,52.1654092265
2015-06-25,51.4377037452
2015-06-26,52.0704911202
2015-06-29,51.1608592687
2015-06-30,51.3111462702
2015-07-01,51.8015564859
2015-07-02,51.4060643765
2015-07-06,51.2636872171
2015-07-07,51.9993025406
2015-07-08,51.3506954812
2015-07-09,51.7382777484
2015-07-10,52.355245439
2015-07-13,53.1936887109
2015-07-14,53.4626233452
2015-07-15,53.8343859281
2015-07-16,53.7711071906
2015-07-17,53.4626233452
2015-07-20,53.5575414515
2015-07-21,53.5496316093
2015-07-22,54.0795910359
2015-07-23,54.0716811937
2015-07-24,54.0400418249
2015-07-27,54.1033205624
2015-07-28,54.2456977218
2015-07-29,54.6095504624
2015-07-30,54.7044685687
2015-07-31,54.5383618827
2015-08-03,54.8784850968
2015-08-04,49.3099561968
2015-08-05,49.4365136718
2015-08-06,49.0172920359
2015-08-07,49.4681530406
2015-08-10,49.9111042031
2015-08-11,50.203768364
2015-08-12,50.3145061546
2015-08-13,50.2195880484
2015-08-14,50.5122522093
2015-08-17,50.5043423671
2015-08-18,50.2828667859
2015-08-19,50.3540553656
2015-08-20,49.5947105156
2015-08-21,48.4477833984
2015-08-24,46.1855685328
2015-08-25,45.0781906265
2015-08-26,45.4024941562
2015-08-27,46.6997082749
2015-08-28,46.6122556377
2015-08-31,46.3339972466
2015-09-01,45.4276699154
2015-09-02,46.0557388554
2015-09-03,46.0954900542
2015-09-04,45.3481675179
2015-09-08,46.2703953286
2015-09-09,45.5946249501
2015-09-10,45.849032622
2015-09-11,46.2226938901
2015-09-14,46.3021962876
2015-09-15,46.8905140289
2015-09-16,47.0654193033
2015-09-17,46.8984642686
2015-09-18,45.7695302245
2015-09-21,46.5566039595
2015-09-22,46.1908929311
2015-09-23,46.5168527608
2015-09-24,46.5804546787
2015-09-25,46.8984642686
2015-09-28,45.9046843002
2015-09-29,46.3975991645
2015-09-30,46.3021962876
2015-10-01,46.0875398144
2015-10-02,47.0256681046
2015-10-05,47.6219360856
2015-10-06,47.6060356061
2015-10-07,47.7332394421
2015-10-08,48.5918653348
2015-10-09,48.051249032
2015-10-12,48.4249103001
2015-10-13,48.2102538269
2015-10-14,47.5901351266
2015-10-15,48.9655266029
2015-10-16,48.6554672527
2015-10-19,48.9655266029
2015-10-20,48.8462730067
2015-10-21,48.2182040667
2015-10-22,48.9337256439
2015-10-23,49.0370787606
2015-10-26,49.1483821171
2015-10-27,47.9319954358
2015-10-28,49.5379438647
2015-10-29,49.9195553725
2015-10-30,49.1960835556
2015-11-02,49.1324816376
2015-11-03,50.2137142432
2015-11-04,49.99905777
2015-11-05,50.5237735933
2015-11-06,50.9371860602
2015-11-09,50.4999228741
2015-11-10,50.3409180791
2015-11-11,50.1819132842
2015-11-12,49.7287496186
2015-11-13,49.6174462622
2015-11-16,50.1819132842
2015-11-17,49.8559534546
2015-11-18,50.4840223946
2015-11-19,50.3806692779
2015-11-20,50.3568185586
2015-11-23,50.1739630445
2015-11-24,50.0388089688
2015-11-25,49.8718539341
2015-11-27,50.1993801252
2015-11-30,50.1354725757
2015-12-01,50.7266174085
2015-12-02,50.2393223436
2015-12-03,50.1434610194
2015-12-04,51.5174733335
2015-12-07,51.4375888966
2015-12-08,51.0142013812
2015-12-09,50.2473107873
2015-12-10,49.9117961525
2015-12-11,49.1049633402
2015-12-14,49.0410557907
2015-12-15,50.0875419136
2015-12-16,50.6307560843
2015-12-17,49.8239232719
2015-12-18,48.9931251286
2015-12-21,48.9691597975
2015-12-22,49.9277730399
2015-12-23,50.2393223436
2015-12-24,50.4390334358
2015-12-28,50.0396112515
2015-12-29,50.4789756542
2015-12-30,50.1754147941
2015-12-31,49.6002468487
