date,ABC
2015-01-02,86.383853664237
2015-01-05,85.648550023717
2015-01-06,86.11647052223
2015-01-07,87.83536214942
2015-01-08,88.035899505925
2015-01-09,88.809400738161
2015-01-12,86.832675366892
2015-01-13,87.51068261984
2015-01-14,87.949954924566
2015-01-15,87.281497069548
2015-01-16,88.255535658289
2015-01-20,88.274634454146
2015-01-21,88.599313983727
2015-01-22,89.907581499977
2015-01-23,90.461446579849
2015-01-26,91.530979147879
2015-01-27,91.597824933381
2015-01-28,92.027547840178
2015-01-29,91.998899646392
2015-01-30,90.767027313572
2015-02-02,90.86252129286
2015-02-03,91.330441791373
2015-02-04,91.550077943737
2015-02-05,91.998899646392
2015-02-06,92.66735750141
2015-02-09,91.254046607943
2015-02-10,92.543215328335
2015-02-11,94.290755149312
2015-02-12,95.608572063491
2015-02-13,96.097006118909
2015-02-17,96.346011715789
2015-02-18,96.403474545838
2015-02-19,96.738674387792
2015-02-20,97.66765680692
2015-02-23,98.414673597559
2015-02-24,98.615793502732
2015-02-25,98.922261929661
2015-02-26,98.625370641073
2015-02-27,98.414673597559
2015-03-02,98.740296301171
2015-03-03,98.682833471122
2015-03-04,99.10422755815
2015-03-05,99.257461771614
2015-03-06,97.935816680483
2015-03-09,98.970147621368
2015-03-10,98.577484949365
2015-03-11,99.449004538445
2015-03-12,100.92388384304
2015-03-13,101.66132349534
2015-03-16,105.47302455527
2015-03-17,105.69329873712
2015-03-18,106.97663527489
2015-03-19,107.61830354377
2015-03-20,108.662211623
2015-03-23,108.83460011314
2015-03-24,109.07402857168
2015-03-25,107.39802936191
2015-03-26,107.35014367021
2015-03-27,108.40362888777
2015-03-30,108.69094303802
2015-03-31,108.86333152817
2015-04-01,107.29268084016
2015-04-02,107.63745782045
2015-04-06,107.78111489558
2015-04-07,107.91519483236
2015-04-08,108.45151457948
2015-04-09,108.70052017636
2015-04-10,110.47229076955
2015-04-13,109.1697999551
2015-04-14,109.17937709344
2015-04-15,108.81544583646
2015-04-16,109.01656574163
2015-04-17,107.84815486397
2015-04-20,108.40362888777
2015-04-21,109.07402857168
2015-04-22,108.99741146495
2015-04-23,110.32863369442
2015-04-24,110.59679356799
2015-04-27,109.2847256152
2015-04-28,109.14106854007
2015-04-29,107.68534351216
2015-04-30,109.46669124368
2015-05-01,109.76358253227
2015-05-04,110.37651938613
2015-05-05,109.84977677735
2015-05-06,109.23683992349
2015-05-07,109.24641706183
2015-05-08,110.42440507784
2015-05-11,110.05089668252
2015-05-12,110.1849766193
2015-05-13,109.46669124368
2015-05-14,110.08920523588
2015-05-15,109.62833990784
2015-05-18,108.79302150077
2015-05-19,110.52126648092
2015-05-20,110.13721204089
2015-05-21,109.39790724382
2015-05-22,109.26348818981
2015-05-26,108.49537930974
2015-05-27,109.06185960879
2015-05-28,108.59139291975
2015-05-29,108.0729194257
2015-06-01,108.74501469576
2015-06-02,107.9961085377
2015-06-03,107.90009492769
2015-06-04,107.04557379861
2015-06-05,107.05517515961
2015-06-08,105.8262009515
2015-06-09,104.77005124141
2015-06-10,104.41480088437
2015-06-11,106.00862681052
2015-06-12,105.7589914245
2015-06-15,106.21985675254
2015-06-16,106.74793160758
2015-06-17,107.06477652061
2015-06-18,107.45843232165
2015-06-19,107.02637107661
2015-06-22,107.33361462864
2015-06-23,107.35281735064
2015-06-24,105.23091656945
2015-06-25,103.32024573028
2015-06-26,103.5410770333
2015-06-29,101.87044021915
2015-06-30,102.10087288317
2015-07-01,103.41625934029
2015-07-02,102.83057631923
2015-07-06,103.72350289231
2015-07-07,104.29958455236
2015-07-08,103.5314756723
2015-07-09,104.52041585538
2015-07-10,105.09649751544
2015-07-13,105.68218053649
2015-07-14,105.99902544952
2015-07-15,106.12384314253
2015-07-16,107.42002687764
2015-07-17,108.68740652976
2015-07-20,110.18521884589
2015-07-21,109.55152901984
2015-07-22,110.36764470491
2015-07-23,105.73018734149
2015-07-24,104.39559816237
2015-07-27,103.08981306626
2015-07-28,103.69469880931
2015-07-29,103.48346886729
2015-07-30,100.30541837601
2015-07-31,101.53439258412
2015-08-03,101.60160211112
2015-08-04,101.97605519016
2015-08-05,102.97459673425
2015-08-06,100.57425648403
2015-08-07,100.199803405
2015-08-10,100.47824287402
2015-08-11,100.34382382001
2015-08-12,100.219006127
2015-08-13,100.01737754598
2015-08-14,100.07514653571
2015-08-17,100.7298617526
2015-08-18,101.0475911961
2015-08-19,102.19334282567
2015-08-20,99.526341133307
2015-08-21,98.014719235471
2015-08-24,94.866309295393
2015-08-25,93.787954820503
2015-08-26,96.868967605901
2015-08-27,97.388888513437
2015-08-28,97.119299894715
2015-08-31,96.320162203502
2015-09-01,95.578793502016
2015-09-02,96.551238162407
2015-09-03,96.281649543685
2015-09-04,95.309204883294
2015-09-08,97.292606863894
2015-09-09,97.003761915263
2015-09-10,98.236167029422
2015-09-11,100.46027313388
2015-09-14,100.7298617526
