Date,L
2015-01-02,39.55260467529297
2015-01-05,38.60501480102539
2015-01-06,37.92274856567383
2015-01-07,37.92274856567383
2015-01-08,38.529205322265625
2015-01-09,37.951171875
2015-01-12,37.5910758972168
2015-01-13,37.57213592529297
2015-01-14,37.20256423950195
2015-01-15,36.77617263793945
2015-01-16,37.24997329711914
2015-01-20,37.28785705566406
2015-01-21,37.164669036865234
2015-01-22,37.761661529541016
2015-01-23,37.37314224243164
2015-01-26,37.467891693115234
2015-01-27,37.3636589050293
2015-01-28,36.44449996948242
2015-01-29,36.65297317504883
2015-01-30,36.25496292114258
2015-02-02,37.107818603515625
2015-02-03,38.19754409790039
2015-02-04,38.28282928466797
2015-02-05,38.59553146362305
2015-02-06,38.60501480102539
2015-02-09,39.069332122802734
2015-02-10,39.334659576416016
2015-02-11,39.29676055908203
2015-02-12,39.72317123413086
2015-02-13,40.12117385864258
2015-02-17,40.301204681396484
2015-02-18,39.941104888916016
2015-02-19,40.15907287597656
2015-02-20,40.130638122558594
2015-02-23,39.8842658996582
2015-02-24,40.19697952270508
2015-02-25,39.56208419799805
2015-02-26,39.109397888183594
2015-02-27,38.91959762573242
2015-03-02,38.52099609375
2015-03-03,38.910099029541016
2015-03-04,38.587432861328125
2015-03-05,38.61591339111328
2015-03-06,38.41660690307617
2015-03-09,38.54946517944336
2015-03-10,37.43911361694336
2015-03-11,37.66687774658203
2015-03-12,38.41660690307617
2015-03-13,37.8946418762207
2015-03-16,38.36915588378906
2015-03-17,38.4830436706543
2015-03-18,38.938575744628906
2015-03-19,38.76773452758789
2015-03-20,38.95754623413086
2015-03-23,38.910099029541016
2015-03-24,38.539981842041016
2015-03-25,38.20782470703125
2015-03-26,38.34068298339844
2015-03-27,38.14139175415039
2015-03-30,38.68232727050781
2015-03-31,38.748775482177734
2015-04-01,38.36915588378906
2015-04-02,39.052452087402344
2015-04-06,39.4130744934082
2015-04-07,39.2327880859375
2015-04-08,39.403602600097656
2015-04-09,39.327667236328125
2015-04-10,39.07143783569336
2015-04-13,39.39411163330078
2015-04-14,39.5269660949707
2015-04-15,40.23874282836914
2015-04-16,40.08689498901367
2015-04-17,39.7072868347168
2015-04-20,39.76422882080078
2015-04-21,39.109397888183594
2015-04-22,39.25175094604492
2015-04-23,39.5269660949707
2015-04-24,39.498497009277344
2015-04-27,39.31818771362305
2015-04-28,39.82115936279297
2015-04-29,39.754730224609375
2015-04-30,39.51748275756836
2015-05-01,39.60288619995117
2015-05-04,39.54594802856445
2015-05-05,39.16633987426758
2015-05-06,38.99552536010742
2015-05-07,39.118896484375
2015-05-08,39.30868911743164
2015-05-11,39.052452087402344
2015-05-12,38.86266326904297
2015-05-13,38.50202178955078
2015-05-14,38.815216064453125
2015-05-15,38.568458557128906
2015-05-18,38.95754623413086
2015-05-19,39.00499725341797
2015-05-20,39.07143783569336
2015-05-21,38.95754623413086
2015-05-22,38.625389099121094
2015-05-26,38.0085334777832
2015-05-27,38.17934799194336
2015-05-28,38.334285736083984
2015-05-29,38.134674072265625
2015-06-01,38.03012466430664
2015-06-02,38.4293327331543
2015-06-03,38.71449279785156
2015-06-04,38.15367889404297
2015-06-05,38.14418411254883
2015-06-08,37.75447463989258
2015-06-09,37.69743347167969
2015-06-10,38.58141326904297
2015-06-11,38.46734619140625
2015-06-12,38.03012466430664
2015-06-15,37.55485916137695
2015-06-16,37.583370208740234
2015-06-17,37.516841888427734
2015-06-18,37.68793487548828
2015-06-19,37.32673645019531
2015-06-22,37.64991760253906
2015-06-23,37.61189270019531
2015-06-24,37.20317840576172
2015-06-25,36.84196472167969
2015-06-26,37.04158401489258
2015-06-29,36.29067611694336
2015-06-30,36.60434341430664
2015-07-01,36.927520751953125
2015-07-02,36.77543640136719
2015-07-06,36.68989944458008
2015-07-07,36.93703842163086
