Date,MSFT
2015-01-02,39.76769256591797
2015-01-05,39.4019889831543
2015-01-06,38.82366943359375
2015-01-07,39.31694412231445
2015-01-08,40.473575592041016
2015-01-09,40.13338851928711
2015-01-12,39.63161849975586
2015-01-13,39.4275016784668
2015-01-14,39.08732604980469
2015-01-15,38.67910385131836
2015-01-16,39.325462341308594
2015-01-20,39.45301818847656
2015-01-21,39.053306579589844
2015-01-22,40.08235549926758
2015-01-23,40.12488555908203
2015-01-26,39.98030471801758
2015-01-27,36.280784606933594
2015-01-28,35.03059768676758
2015-01-29,35.72797775268555
2015-01-30,34.35873794555664
2015-02-02,35.107139587402344
2015-02-03,35.37929916381836
2015-02-04,35.583412170410156
2015-02-05,36.102195739746094
2015-02-06,36.06816864013672
2015-02-09,36.0256462097168
2015-02-10,36.229759216308594
2015-02-11,36.04266357421875
2015-02-12,36.64649963378906
2015-02-13,37.309844970703125
2015-02-17,37.32698440551758
2015-02-18,37.28415298461914
2015-02-19,37.258453369140625
2015-02-20,37.566802978515625
2015-02-23,37.815185546875
2015-02-24,37.76380157470703
2015-02-25,37.67814636230469
2015-02-26,37.738121032714844
2015-02-27,37.5582275390625
2015-03-02,37.58393478393555
2015-03-03,37.07001495361328
2015-03-04,36.881595611572266
2015-03-05,36.92441177368164
2015-03-06,36.28202438354492
2015-03-09,36.70173263549805
2015-03-10,35.99937057495117
2015-03-11,35.95654296875
2015-03-12,35.134300231933594
2015-03-13,35.4426383972168
2015-03-16,35.5968132019043
2015-03-17,35.71672439575195
2015-03-18,36.401947021484375
2015-03-19,36.222068786621094
2015-03-20,36.727420806884766
2015-03-23,36.71028518676758
2015-03-24,36.74454116821289
2015-03-25,35.51115798950195
2015-03-26,35.29702377319336
2015-03-27,35.091468811035156
2015-03-30,35.08290100097656
2015-03-31,34.82594680786133
2015-04-01,34.877342224121094
2015-04-02,34.50904846191406
2015-04-06,35.58824157714844
2015-04-07,35.571109771728516
2015-04-08,35.47689437866211
2015-04-09,35.52829360961914
2015-04-10,35.73385238647461
2015-04-13,35.76810073852539
2015-04-14,35.67390060424805
2015-04-15,36.196372985839844
2015-04-16,36.110721588134766
2015-04-17,35.64820098876953
2015-04-20,36.753116607666016
2015-04-21,36.521846771240234
2015-04-22,36.821617126464844
2015-04-23,37.12140655517578
2015-04-24,41.001434326171875
2015-04-27,41.13847732543945
2015-04-28,42.10634231567383
2015-04-29,42.02068328857422
2015-04-30,41.66094970703125
2015-05-01,41.678070068359375
2015-05-04,41.31834030151367
2015-05-05,40.77016067504883
2015-05-06,39.63957595825195
2015-05-07,39.99931716918945
2015-05-08,40.89863967895508
2015-05-11,40.57316970825195
2015-05-12,40.5560417175293
2015-05-13,40.7958869934082
2015-05-14,41.72947692871094
2015-05-15,41.3697395324707
2015-05-18,41.121341705322266
2015-05-19,41.01789474487305
2015-05-20,41.01789474487305
2015-05-21,40.87996292114258
2015-05-22,40.431663513183594
2015-05-26,40.1644287109375
2015-05-27,41.04375076293945
2015-05-28,40.90581130981445
2015-05-29,40.397186279296875
2015-06-01,40.7161750793457
2015-06-02,40.448917388916016
2015-06-03,40.38857650756836
2015-06-04,39.96615219116211
2015-06-05,39.776512145996094
2015-06-08,39.42304992675781
2015-06-09,39.35408020019531
2015-06-10,40.181671142578125
2015-06-11,40.03512191772461
2015-06-12,39.629947662353516
2015-06-15,39.20752716064453
2015-06-16,39.509246826171875
2015-06-17,39.629947662353516
2015-06-18,40.27649688720703
2015-06-19,39.74201583862305
2015-06-22,39.854087829589844
2015-06-23,39.57821273803711
2015-06-24,39.3454475402832
2015-06-25,39.35408020019531
2015-06-26,39.017852783203125
2015-06-29,38.250614166259766
2015-06-30,38.06095886230469
2015-07-01,38.3195686340332
2015-07-02,38.2764778137207
2015-07-06,38.26784133911133
2015-07-07,38.19025421142578
2015-07-08,38.13853454589844
2015-07-09,38.379913330078125
2015-07-10,38.45751190185547
2015-07-13,39.259254455566406
2015-07-14,39.32820510864258
2015-07-15,39.44890594482422
2015-07-16,40.22478485107422
2015-07-17,40.190284729003906
2015-07-20,40.448917388916016
2015-07-21,40.75926208496094
2015-07-22,39.259254455566406
2015-07-23,39.75062561035156
2015-07-24,39.604068756103516
2015-07-27,39.09545135498047
2015-07-28,39.08681869506836
2015-07-29,39.90581130981445
2015-07-30,40.41443634033203
2015-07-31,40.2592658996582
2015-08-03,40.35409164428711
2015-08-04,40.983421325683594
2015-08-05,41.01789474487305
2015-08-06,40.190284729003906
2015-08-07,40.293739318847656
2015-08-10,40.80237579345703
2015-08-11,40.009254455566406
2015-08-12,40.293739318847656
2015-08-13,40.28512191772461
2015-08-14,40.51789474487305
2015-08-17,40.79374694824219
2015-08-18,41.019371032714844
2015-08-19,40.44664764404297
2015-08-20,39.62226486206055
2015-08-21,37.37474822998047
2015-08-24,36.168548583984375
2015-08-25,35.118553161621094
2015-08-26,37.06234359741211
2015-08-27,38.09498977661133
2015-08-28,38.12103271484375
2015-08-31,37.76523971557617
2015-09-01,36.2900276184082
2015-09-02,37.626407623291016
2015-09-03,37.74788284301758
2015-09-04,36.97557830810547
2015-09-08,38.08631896972656
2015-09-09,37.37474822998047
2015-09-10,37.56565475463867
2015-09-11,37.730525970458984
2015-09-14,37.348731994628906
2015-09-15,38.1644172668457
2015-09-16,38.442100524902344
2015-09-17,38.39870834350586
2015-09-18,37.730525970458984
2015-09-21,38.27721405029297
2015-09-22,38.09498977661133
2015-09-23,38.068946838378906
2015-09-24,38.10367202758789
2015-09-25,38.12970733642578
