Date,WDC
2015-01-02,69.80882263183594
2015-01-05,68.8858871459961
2015-01-06,67.34974670410156
2015-01-07,68.3611831665039
2015-01-08,69.7772216796875
2015-01-09,70.94038391113281
2015-01-12,69.73928833007812
2015-01-13,69.14507293701172
2015-01-14,68.75944519042969
2015-01-15,66.18657684326172
2015-01-16,67.24227905273438
2015-01-20,67.38135528564453
2015-01-21,67.40664672851562
2015-01-22,66.5595474243164
2015-01-23,67.07161712646484
2015-01-26,63.83496856689453
2015-01-27,61.717254638671875
2015-01-28,63.10797882080078
2015-01-29,63.88554000854492
2015-01-30,61.464393615722656
2015-02-02,62.21665573120117
2015-02-03,63.65165328979492
2015-02-04,65.76934814453125
2015-02-05,65.81360626220703
2015-02-06,65.36477661132812
2015-02-09,64.85906219482422
2015-02-10,65.7946548461914
2015-02-11,67.06525421142578
2015-02-12,67.76063537597656
2015-02-13,68.02616119384766
2015-02-17,67.4951400756836
2015-02-18,68.90483093261719
2015-02-19,69.43587493896484
2015-02-20,70.36512756347656
2015-02-23,70.2260513305664
2015-02-24,68.8858871459961
2015-02-25,67.10321807861328
2015-02-26,67.85546875
2015-02-27,67.62789154052734
2015-03-02,68.76576232910156
2015-03-03,66.73655700683594
2015-03-04,66.60381317138672
2015-03-05,66.616455078125
2015-03-06,64.8148193359375
2015-03-09,64.8464126586914
2015-03-10,62.82984161376953
2015-03-11,61.88159942626953
2015-03-12,62.305145263671875
2015-03-13,61.4390983581543
2015-03-16,62.07756042480469
2015-03-17,61.07875061035156
2015-03-18,61.87525939941406
2015-03-19,62.77294921875
2015-03-20,63.49357986450195
2015-03-23,62.987876892089844
2015-03-24,61.913238525390625
2015-03-25,59.81446075439453
2015-03-26,59.19493865966797
2015-03-27,58.619686126708984
2015-03-30,58.74613571166992
2015-03-31,57.84359359741211
2015-04-01,58.69527053833008
2015-04-02,59.10840606689453
2015-04-06,59.22916030883789
2015-04-07,59.81388854980469
2015-04-08,59.6867790222168
2015-04-09,59.756683349609375
2015-04-10,60.94521713256836
2015-04-13,60.69731140136719
2015-04-14,61.11680603027344
2015-04-15,62.947261810302734
2015-04-16,62.17823028564453
2015-04-17,63.20149612426758
2015-04-20,64.56163024902344
2015-04-21,63.354034423828125
2015-04-22,63.75444793701172
2015-04-23,63.72903823852539
2015-04-24,63.39851760864258
2015-04-27,62.85829162597656
2015-04-28,62.22272491455078
2015-04-29,60.90708923339844
2015-04-30,62.12102508544922
2015-05-01,63.1315803527832
2015-05-04,63.24597930908203
2015-05-05,61.51723098754883
2015-05-06,60.29690933227539
2015-05-07,60.27785873413086
2015-05-08,61.351985931396484
2015-05-11,61.04688262939453
2015-05-12,60.98970031738281
2015-05-13,60.98970031738281
2015-05-14,62.546852111816406
2015-05-15,62.07653045654297
2015-05-18,62.203651428222656
2015-05-19,60.754512786865234
2015-05-20,60.271514892578125
2015-05-21,60.5384521484375
2015-05-22,60.525726318359375
2015-05-26,59.23552703857422
2015-05-27,59.97914123535156
2015-05-28,63.068016052246094
2015-05-29,61.8795051574707
2015-06-01,61.733314514160156
2015-06-02,61.618927001953125
2015-06-03,62.37525177001953
2015-06-04,60.63377380371094
2015-06-05,60.29690933227539
2015-06-08,58.85417556762695
