date,GAS
2015-01-02,51.7221045235
2015-01-05,50.6049146399
2015-01-06,50.3019478919
2015-01-07,50.9552199424
2015-01-08,51.1919127143
2015-01-09,50.6143823508
2015-01-12,50.6522531943
2015-01-13,50.8889459663
2015-01-14,51.5516857277
2015-01-15,51.8167816322
2015-01-16,52.7919558526
2015-01-20,53.5967112772
2015-01-21,53.9943551341
2015-01-22,54.0132905558
2015-01-23,54.4488052562
2015-01-26,54.3541281474
2015-01-27,54.2026447734
2015-01-28,53.4452279032
2015-01-29,53.9848874232
2015-01-30,53.378953927
2015-02-02,54.0227582667
2015-02-03,54.1458385081
2015-02-04,53.5115018793
2015-02-05,53.9091457362
2015-02-06,51.8546524758
2015-02-09,51.220315847
2015-02-10,51.5990242821
2015-02-11,50.4818343985
2015-02-12,47.6045323432
2015-02-13,47.8626292053
2015-02-17,47.5662957711
2015-02-18,48.5604466473
2015-02-19,47.9295432066
2015-02-20,47.8817474914
2015-02-23,48.1494034966
2015-02-24,47.9868980649
2015-02-25,47.4707043407
2015-02-26,47.0405429038
2015-02-27,46.9449514734
2015-03-02,45.7500585933
2015-03-03,46.0750694567
2015-03-04,45.8265317377
2015-03-05,46.1611017441
2015-03-06,45.0331228653
2015-03-09,44.7941442892
2015-03-10,44.7654668601
2015-03-11,44.7081120019
2015-03-12,45.8838865959
2015-03-13,45.2816605843
2015-03-16,46.0559511706
2015-03-17,46.1611017441
2015-03-18,47.6523280584
2015-03-19,47.2030483355
2015-03-20,47.9391023497
2015-03-23,47.6140914863
2015-03-24,47.1839300494
2015-03-25,46.8111234709
2015-03-26,46.3331663188
2015-03-27,46.7346503265
2015-03-30,47.4133494824
2015-03-31,47.4611451976
2015-04-01,47.6332097724
2015-04-02,47.9677797788
2015-04-06,48.5222100752
2015-04-07,47.8626292053
2015-04-08,47.8530700623
2015-04-09,47.9008657775
2015-04-10,48.483973503
2015-04-13,47.8817474914
2015-04-14,48.4075003587
2015-04-15,48.6942746499
2015-04-16,48.0633712092
2015-04-17,47.5089409128
2015-04-20,48.3119089283
2015-04-21,47.8435109193
2015-04-22,47.9582206358
2015-04-23,48.2927906422
2015-04-24,49.2009092311
2015-04-27,48.47441436
2015-04-28,48.6369197916
2015-04-29,49.1626726589
2015-04-30,48.0538120662
2015-05-01,48.3310272143
2015-05-04,48.3501455004
2015-05-05,46.4861126075
2015-05-06,46.6964137544
2015-05-07,47.069220333
2015-05-08,47.3368763381
2015-05-11,47.3559946242
2015-05-12,46.8684783291
2015-05-13,47.0405429038
2015-05-14,48.1030603
2015-05-15,48.5667042547
2015-05-18,48.7598892358
2015-05-19,48.6632967453
2015-05-20,48.6150005
2015-05-21,48.3928377717
2015-05-22,48.276926783
2015-05-26,47.8712383227
2015-05-27,47.9098753189
2015-05-28,48.6053412509
2015-05-29,48.6536374962
2015-06-01,48.6439782472
2015-06-02,47.5718016019
2015-06-03,46.9825874095
2015-06-04,46.7700839303
2015-06-05,45.9297292624
2015-06-08,45.8331367718
2015-06-09,45.8234775227
2015-06-10,45.9683662586
2015-06-11,46.3450769718
2015-06-12,46.209847485
2015-06-15,45.8138182737
2015-06-16,46.0552995001
2015-06-17,46.5672397001
2015-06-18,46.9536096623
2015-06-19,46.547921202
2015-06-22,46.557580451
2015-06-23,46.0746179982
2015-06-24,45.524040802
2015-06-25,45.2825595756
2015-06-26,45.8524552699
2015-06-29,45.3598335681
2015-06-30,44.9734636058
2015-07-01,45.0797153454
2015-07-02,45.7558627794
2015-07-06,45.7365442812
2015-07-07,47.0888391491
2015-07-08,46.6541729416
2015-07-09,45.8138182737
2015-07-10,46.035981002
2015-07-13,46.4320102133
2015-07-14,46.5672397001
2015-07-15,46.7121284359
2015-07-16,47.2916833793
2015-07-17,46.5768989491
2015-07-20,46.209847485
2015-07-21,45.9780255076
2015-07-22,46.4706472095
2015-07-23,45.4564260586
2015-07-24,45.6689295378
2015-07-27,46.0070032548
2015-07-28,46.3547362208
2015-07-29,46.0070032548
2015-07-30,46.0070032548
2015-07-31,46.4416694623
2015-08-03,46.6251951944
2015-08-04,46.1325734925
2015-08-05,46.3933732171
2015-08-06,46.374054719
2015-08-07,47.0405429038
2015-08-10,46.9825874095
2015-08-11,47.0502021529
2015-08-12,48.0740825529
2015-08-13,47.8886567371
2015-08-14,48.2985453825
2015-08-17,48.6206007467
2015-08-18,48.0545640459
2015-08-19,47.9862492717
2015-08-20,47.3811755571
2015-08-21,46.7077870682
2015-08-24,59.9315755089
2015-08-25,59.3752980616
2015-08-26,59.3265017943
2015-08-27,59.1801129924
2015-08-28,59.1020389647
2015-08-31,59.5216868635
2015-09-01,58.8092613608
2015-09-02,58.9361316558
2015-09-03,59.0044464301
2015-09-04,58.897094642
2015-09-08,59.1410759785
2015-09-09,59.1410759785
2015-09-10,59.0922797112
2015-09-11,59.531446117
2015-09-14,59.2679462735
2015-09-15,59.3752980616
2015-09-16,59.4436128359
2015-09-17,59.4436128359
2015-09-18,59.0922797112
2015-09-21,59.9510940159
2015-09-22,59.8827792416
2015-09-23,59.9803717763
2015-09-24,60.0779643109
2015-09-25,59.4143350755
2015-09-28,59.1313167251
2015-09-29,59.0727612043
2015-09-30,59.5704831309
2015-10-01,59.3460203012
2015-10-02,59.8437422278
2015-10-05,59.9413347624
2015-10-06,59.7656682001
2015-10-07,60.0194087901
2015-10-08,60.0779643109
2015-10-09,60.1755568455
2015-10-12,60.5268899701
2015-10-13,60.2633901266
2015-10-14,60.1755568455
2015-10-15,60.4976122097
2015-10-16,60.4000196751
2015-10-19,60.5952047443
2015-10-20,60.5171307167
2015-10-21,60.4683344493
2015-10-22,60.5366492236
2015-10-23,60.5268899701
2015-10-26,60.6635195186
2015-10-27,60.5561677305
2015-10-28,60.5073714632
2015-10-29,60.692797279
2015-10-30,60.9953341363
2015-11-02,61.2295562194
2015-11-03,61.2393154728
2015-11-04,61.2197969659
2015-11-05,61.1319636847
2015-11-06,60.7123157859
2015-11-09,60.7806305601
2015-11-10,61.2197969659
2015-11-11,61.2099577186
2015-11-12,60.7475130935
2015-11-13,61.0820475031
2015-11-16,61.27883245
2015-11-17,61.1214044925
2015-11-18,61.2001184712
2015-11-19,61.0426905137
2015-11-20,61.2493147079
2015-11-23,61.6133668596
2015-11-24,61.7215985804
2015-11-25,61.4854566442
2015-11-27,61.5936883649
2015-11-30,61.5641706229
2015-12-01,61.7609555697
2015-12-02,61.4756173968
2015-12-03,61.3477071814
2015-12-04,61.8790265379
2015-12-07,61.7707948171
2015-12-08,62.0167760007
2015-12-09,61.8101518065
2015-12-10,61.7314378277
2015-12-11,61.7215985804
2015-12-14,61.9872582586
