date,AFL
2015-01-02,23.4279694957
2015-01-05,22.8142702293
2015-01-06,22.6109823473
2015-01-07,22.7529003026
2015-01-08,22.9753662867
2015-01-09,22.488242494
2015-01-12,22.3578313999
2015-01-13,22.2465984078
2015-01-14,22.0739954892
2015-01-15,22.0011187013
2015-01-16,22.3156395753
2015-01-20,22.2504340282
2015-01-21,22.284954612
2015-01-22,22.6876947556
2015-01-23,22.5265986981
2015-01-26,22.6378316902
2015-01-27,22.442215049
2015-01-28,22.0011187013
2015-01-29,22.1123516933
2015-01-30,21.8937213296
2015-02-02,22.3118039549
2015-02-03,22.6646810331
2015-02-04,23.2745446791
2015-02-05,23.3896132915
2015-02-06,23.504681904
2015-02-09,23.4509832182
2015-02-10,23.5698874511
2015-02-11,23.7156410268
2015-02-12,23.8537233618
2015-02-13,23.9810976127
2015-02-17,24.06601378
2015-02-18,23.8344242328
2015-02-19,23.8460037102
2015-02-20,23.9810976127
2015-02-23,23.7109098077
2015-02-24,23.9540788322
2015-02-25,23.9116207486
2015-02-26,24.0003967417
2015-02-27,24.0274155222
2015-03-02,24.1509299474
2015-03-03,24.0389949995
2015-03-04,24.06601378
2015-03-05,24.2397059404
2015-03-06,23.9926770901
2015-03-09,24.0467146511
2015-03-10,23.5642364278
2015-03-11,23.7340687624
2015-03-12,24.1818085536
2015-03-13,23.9810976127
2015-03-16,24.301463153
2015-03-17,24.2705845467
2015-03-18,24.556211655
2015-03-19,24.3516408883
2015-03-20,24.6604269512
2015-03-23,24.6488474738
2015-03-24,24.5484920034
2015-03-25,24.4519963587
2015-03-26,24.5098937455
2015-03-27,24.5291928744
2015-03-30,24.7800815506
2015-03-31,24.7067448606
2015-04-01,24.536912526
2015-04-02,24.5407723518
2015-04-06,24.6913055575
2015-04-07,24.6218286933
2015-04-08,24.7955208537
2015-04-09,24.9074558015
2015-04-10,24.9035959758
2015-04-13,24.845698589
2015-04-14,24.9190352789
2015-04-15,24.9807924915
2015-04-16,24.8881566726
2015-04-17,24.6951653833
2015-04-20,24.8765771953
2015-04-21,24.6488474738
2015-04-22,24.7299038154
2015-04-23,24.7685020732
2015-04-24,24.7762217248
2015-04-27,24.7106046864
2015-04-28,24.8649977179
2015-04-29,24.6488474738
2015-04-30,24.3323417593
2015-05-01,24.3593605398
2015-05-04,24.5176133971
2015-05-05,24.5986697386
2015-05-06,24.5253330487
2015-05-07,24.6063893902
2015-05-08,24.7878012022
2015-05-11,24.6604269512
2015-05-12,24.4597160103
2015-05-13,24.5484920034
2015-05-14,24.6141090418
2015-05-15,24.5755107839
2015-05-18,24.82639946
2015-05-19,24.9506673754
2015-05-20,25.1293025036
2015-05-21,24.4225287352
2015-05-22,24.3526280328
2015-05-26,23.9759409145
2015-05-27,24.255543724
2015-05-28,24.2943774475
2015-05-29,24.1623427875
2015-06-01,24.1157423192
2015-06-02,24.1778762769
2015-06-03,24.2749605857
2015-06-04,24.1196256916
2015-06-05,24.0031245209
2015-06-08,23.9293404462
2015-06-09,23.948757308
2015-06-10,24.2788439581
2015-06-11,24.4613624587
2015-06-12,24.2982608199
2015-06-15,24.0963254574
2015-06-16,24.2516603516
2015-06-17,24.2594270963
2015-06-18,24.5001961823
2015-06-19,24.2943774475
2015-06-22,24.3992285011
2015-06-23,24.4069952458
2015-06-24,24.2633104687
2015-06-25,24.5972804911
2015-06-26,24.7331985235
2015-06-29,23.8594397438
2015-06-30,24.1545760428
2015-07-01,24.2438936069
2015-07-02,24.0613751063
2015-07-06,23.9138069568
2015-07-07,23.9875910315
2015-07-08,23.4788692531
2015-07-09,23.5565367002
2015-07-10,23.9642907974
2015-07-13,23.8516729991
2015-07-14,23.8477896268
2015-07-15,23.9953577762
2015-07-16,24.1623427875
2015-07-17,23.9176903292
2015-07-20,23.9060402121
2015-07-21,23.9992411486
2015-07-22,24.0303081274
